FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-09 00:00:00.000000,0.00565196,0.04087756,0.15002321,0,3,11,0,1,5,0.00310908,0.02088754,0.07561678,0.37277727,0.49485618,0.65413771
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-10 00:00:00.000000,0.00585836,0.04297677,0.14734210,0,3,11,0,1,6,0.00306541,0.02224938,0.08006055,0.37276386,0.49473141,0.65413575
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-11 00:00:00.000000,0.00612941,0.04610815,0.14859766,0,3,11,0,1,6,0.00311996,0.02398462,0.07893308,0.37273976,0.49446956,0.65412894
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-12 00:00:00.000000,0.00651962,0.04969817,0.15962714,0,3,12,0,1,6,0.00322466,0.02491137,0.08236036,0.37269648,0.49392083,0.65410536
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-13 00:00:00.000000,0.00694445,0.05197888,0.16683562,0,4,12,0,2,6,0.00341976,0.02602937,0.08730137,0.37261874,0.49278031,0.65401746
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-14 00:00:00.000000,0.00739738,0.05315323,0.16920558,0,4,13,0,2,6,0.00370291,0.02746781,0.08934475,0.37247924,0.49190488,0.65363089
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-15 00:00:00.000000,0.00787818,0.05567032,0.17154810,0,4,13,0,2,7,0.00398524,0.02857121,0.09272862,0.37148104,0.49153290,0.65246595
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-16 00:00:00.000000,0.01372103,0.07380291,0.18560554,1,5,14,0,2,7,0.00427200,0.03004020,0.09607622,0.35911047,0.48651769,0.64879951
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-17 00:00:00.000000,0.01999434,0.09206006,0.19968024,1,7,15,0,3,7,0.00640282,0.04015979,0.10291481,0.35335313,0.47694659,0.63756522
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-18 00:00:00.000000,0.02565085,0.10813572,0.21432067,1,8,16,0,3,8,0.00923427,0.04909784,0.11127521,0.31976603,0.47001576,0.62827107
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-19 00:00:00.000000,0.03075213,0.12695530,0.24447747,2,9,18,0,4,9,0.01241614,0.05773613,0.12034012,0.29952132,0.45643260,0.59534425
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-20 00:00:00.000000,0.03627769,0.14776168,0.30195211,2,11,23,1,5,10,0.01557937,0.06836393,0.13522793,0.29656623,0.42821265,0.55003905
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-21 00:00:00.000000,0.04221859,0.16373226,0.35940265,3,12,27,1,6,12,0.01908757,0.07854163,0.16380289,0.28113478,0.38938664,0.51362721
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-22 00:00:00.000000,0.04818996,0.17535191,0.39839739,3,13,30,1,6,14,0.02244131,0.08740851,0.18696773,0.27519308,0.37431651,0.49897960
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-23 00:00:00.000000,0.06980638,0.18799482,0.42945904,5,14,33,1,7,15,0.02577431,0.09646764,0.20014284,0.27451098,0.35218440,0.48946290
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-24 00:00:00.000000,0.09304687,0.20598381,0.45786466,7,15,35,2,8,16,0.03272365,0.10399034,0.21518663,0.26436516,0.34492525,0.48168616
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-25 00:00:00.000000,0.10315712,0.21704861,0.47809356,7,16,37,3,8,17,0.04216507,0.11265694,0.23008770,0.24564278,0.32890921,0.46366747
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-26 00:00:00.000000,0.11982379,0.23589207,0.48919306,9,18,37,4,9,18,0.05270127,0.11920359,0.24342309,0.23113824,0.31970776,0.44816983
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-27 00:00:00.000000,0.13627103,0.24376724,0.49812332,10,18,38,4,9,20,0.05836516,0.12782574,0.26080699,0.21814972,0.30819547,0.43034287
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-28 00:00:00.000000,0.15227694,0.25259206,0.50237483,11,19,38,5,10,21,0.06748152,0.13682331,0.27818436,0.20685901,0.30099286,0.42774636
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-29 00:00:00.000000,0.15699548,0.26706985,0.50671657,12,20,39,5,11,22,0.07638876,0.14641921,0.28749243,0.20334141,0.29053477,0.42363641
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-30 00:00:00.000000,0.16708290,0.28125753,0.50485929,12,21,39,6,11,22,0.08461175,0.15044818,0.29532077,0.20070429,0.27677239,0.40033794
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-03-31 00:00:00.000000,0.17707912,0.28924809,0.50237892,13,22,38,7,12,23,0.09068826,0.15606949,0.29775399,0.19806492,0.27155346,0.38041190
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-01 00:00:00.000000,0.17861202,0.30074733,0.50151766,13,23,38,7,12,23,0.09601042,0.16304177,0.29685389,0.18987788,0.26366624,0.36320291
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-02 00:00:00.000000,0.17855473,0.30980891,0.50866525,13,24,39,7,12,22,0.10027757,0.16672971,0.29525811,0.16921973,0.25477139,0.34886555
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-03 00:00:00.000000,0.18901454,0.31803847,0.51471916,14,24,39,7,13,23,0.09686339,0.17220697,0.29791325,0.16181739,0.24946329,0.33131803
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-04 00:00:00.000000,0.18874633,0.32553583,0.51865913,14,25,40,7,13,23,0.10036236,0.17711575,0.30187890,0.15991048,0.23828068,0.32032498
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-05 00:00:00.000000,0.18649198,0.32363738,0.52273147,14,25,40,7,14,24,0.10111841,0.18115353,0.30991337,0.15085118,0.23616814,0.31538089
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-06 00:00:00.000000,0.18612217,0.33282315,0.52649813,14,25,40,7,14,23,0.09988548,0.18308076,0.30932554,0.15028505,0.22950783,0.30750998
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-07 00:00:00.000000,0.20720476,0.33095055,0.54589729,16,25,42,7,14,24,0.09939982,0.18330367,0.31430777,0.15012692,0.22595755,0.30612779
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-08 00:00:00.000000,0.20626468,0.32958405,0.55019032,15,25,42,8,14,25,0.10951076,0.18638214,0.32754840,0.14250673,0.22269137,0.30395180
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-09 00:00:00.000000,0.19986582,0.32680508,0.58112822,15,25,45,8,14,27,0.10838302,0.19064655,0.35528809,0.13435919,0.22210325,0.30056737
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-10 00:00:00.000000,0.19282378,0.33005972,0.61082659,14,25,47,8,14,27,0.10723160,0.19089442,0.35880348,0.13372032,0.21956749,0.29570987
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-11 00:00:00.000000,0.18560294,0.34342885,0.63729582,14,26,49,8,14,27,0.10616035,0.19106177,0.35784327,0.13181556,0.21659132,0.29440084
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-12 00:00:00.000000,0.17974072,0.34548566,0.65454744,13,26,50,8,15,28,0.10525559,0.19393579,0.37021528,0.12392464,0.21559682,0.28257423
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-13 00:00:00.000000,0.18138429,0.34248469,0.64948746,14,26,50,8,15,29,0.10457580,0.19509671,0.38246244,0.12102912,0.21300699,0.27628784
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-14 00:00:00.000000,0.18155068,0.34030619,0.63966357,14,26,49,8,15,29,0.10374288,0.19533405,0.38451289,0.12052401,0.20172818,0.28935039
5101,0,USArkansasNewton,Arkansas,Newton,2021-01-21 04:45:14.916008,2020-04-15 00:00:00.000000,0.17405146,0.35080909,0.62704507,13,27,48,8,15,29,0.10368166,0.19393288,0.38082824,0.12123444,0.19603558,0.29269918
