FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-09 00:00:00.000000,0.00310515,0.01804077,0.06814249,0,3,12,0,1,7,0.00183917,0.01034302,0.04291409,0.36822923,0.46193598,0.65389737
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-10 00:00:00.000000,0.00343619,0.01976426,0.07209826,0,3,13,0,1,7,0.00180720,0.01019088,0.04074643,0.36820156,0.46139960,0.65320917
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-11 00:00:00.000000,0.00377685,0.02154992,0.07629727,0,3,13,0,1,7,0.00185526,0.01067021,0.04121688,0.36815141,0.46091497,0.65190652
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-12 00:00:00.000000,0.00408568,0.02342933,0.08060441,0,4,14,0,2,7,0.00194982,0.01125661,0.04296470,0.36806045,0.46091421,0.64945764
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-13 00:00:00.000000,0.00439230,0.02516191,0.08496827,0,4,15,0,2,8,0.00207314,0.01198922,0.04532340,0.36789527,0.46091197,0.64491246
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-14 00:00:00.000000,0.00471553,0.02670579,0.08930849,0,4,16,0,2,8,0.00221592,0.01301523,0.04796036,0.36733538,0.46090540,0.63667367
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-15 00:00:00.000000,0.00505562,0.02833102,0.09354741,0,5,16,0,2,9,0.00237339,0.01411841,0.05066951,0.34859699,0.45957187,0.63510937
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-16 00:00:00.000000,0.00816693,0.03587783,0.10570157,1,6,19,0,2,9,0.00254304,0.01507475,0.05336696,0.33133462,0.44545944,0.63504785
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-17 00:00:00.000000,0.01159770,0.04512507,0.12703242,2,8,22,0,3,10,0.00336749,0.01753102,0.05693548,0.30277323,0.43150376,0.61877377
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-18 00:00:00.000000,0.01441356,0.05509020,0.15022716,2,9,27,0,3,10,0.00477961,0.02077089,0.06091434,0.25835531,0.42655341,0.61849497
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-19 00:00:00.000000,0.01779394,0.06415736,0.16297782,3,11,29,1,4,11,0.00660827,0.02595529,0.06646915,0.25628110,0.41405212,0.61810052
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-20 00:00:00.000000,0.02134280,0.07323579,0.18536122,3,13,33,1,5,14,0.00789837,0.03076649,0.07821323,0.25603330,0.40042469,0.61224565
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-21 00:00:00.000000,0.02504623,0.08334993,0.20894287,4,15,37,1,6,16,0.00943326,0.03557815,0.09114759,0.24765654,0.35771550,0.56621134
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-22 00:00:00.000000,0.02889220,0.08994654,0.21450542,5,16,38,2,7,18,0.01130993,0.04151179,0.10245577,0.23142506,0.33756134,0.54470230
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-23 00:00:00.000000,0.03375143,0.10269264,0.22333479,6,18,40,2,8,20,0.01328451,0.04721301,0.11311220,0.22568263,0.33045814,0.51359950
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-24 00:00:00.000000,0.03873591,0.11466151,0.23650108,6,20,42,2,9,22,0.01555225,0.05254329,0.12392653,0.21469544,0.31974657,0.46863365
6027,0,USCaliforniaInyo,California,Inyo,2021-10-14 20:07:37.890560,2020-03-25 00:00:00.000000,0.04385912,0.12750666,0.25325630,7,23,45,3,10,23,0.01802367,0.05966632,0.13150091,0.20010382,0.30702156,0.43381979
