FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-09 00:00:00.000000,0.00050981,0.00162267,0.00525346,0,2,8,0,1,3,0.00009469,0.00067998,0.00220076,0.31980451,0.45236753,0.59667237
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-10 00:00:00.000000,0.00071885,0.00231517,0.00643606,1,3,10,0,1,3,0.00017351,0.00080392,0.00230832,0.31980268,0.45236060,0.59667206
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-11 00:00:00.000000,0.00092199,0.00287129,0.00722464,1,4,11,0,1,4,0.00027746,0.00103305,0.00259114,0.31979954,0.45234766,0.59667131
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-12 00:00:00.000000,0.00121571,0.00366545,0.00799425,1,5,12,0,2,4,0.00040454,0.00130389,0.00297206,0.31979413,0.45232270,0.59666955
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-13 00:00:00.000000,0.00153610,0.00424287,0.00966830,2,6,15,0,2,5,0.00049441,0.00159921,0.00338021,0.31978473,0.45227240,0.59666545
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-14 00:00:00.000000,0.00188736,0.00490667,0.01147010,2,7,18,0,3,6,0.00060004,0.00192781,0.00393458,0.31976819,0.45216554,0.59665599
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-15 00:00:00.000000,0.00227348,0.00568037,0.01296307,3,8,20,1,3,7,0.00075633,0.00237301,0.00477645,0.31973847,0.45182600,0.59663418
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-16 00:00:00.000000,0.00331414,0.00672307,0.01410550,5,10,22,1,4,9,0.00092670,0.00277935,0.00576006,0.31968316,0.44907194,0.59658354
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-17 00:00:00.000000,0.00405591,0.00791277,0.01570894,6,12,24,1,5,10,0.00120439,0.00329843,0.00669903,0.31141101,0.43843961,0.59308181
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-18 00:00:00.000000,0.00469097,0.00904483,0.01752077,7,14,27,2,6,12,0.00160861,0.00389290,0.00764185,0.30250425,0.42619329,0.58355093
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-19 00:00:00.000000,0.00536014,0.01017750,0.01908691,8,16,30,3,7,13,0.00206246,0.00455981,0.00861425,0.23695815,0.40946930,0.56383944
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-20 00:00:00.000000,0.00603380,0.01149860,0.02145355,9,18,33,3,8,15,0.00254102,0.00515589,0.00995317,0.20909006,0.38465057,0.52799063
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-21 00:00:00.000000,0.00688966,0.01275315,0.02348242,10,20,36,4,9,17,0.00299555,0.00574819,0.01109942,0.20536778,0.35812179,0.49786550
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-22 00:00:00.000000,0.00776571,0.01391510,0.02493515,12,21,39,5,10,19,0.00334955,0.00653986,0.01226223,0.20469517,0.32806161,0.46856330
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-23 00:00:00.000000,0.00902958,0.01523672,0.02703306,14,23,42,5,11,21,0.00370168,0.00717408,0.01338754,0.20030323,0.30810680,0.44257036
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-24 00:00:00.000000,0.01023825,0.01667984,0.03004537,16,26,47,6,12,23,0.00416771,0.00807344,0.01469847,0.19421214,0.29329953,0.41150038
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-25 00:00:00.000000,0.01132325,0.01769487,0.03318953,17,27,52,7,14,24,0.00465438,0.00895401,0.01570910,0.18581069,0.27748860,0.40701203
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-26 00:00:00.000000,0.01170248,0.01906202,0.03561579,18,29,56,7,15,26,0.00501694,0.00975375,0.01684341,0.17785243,0.26281590,0.40320395
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-27 00:00:00.000000,0.01245003,0.02063138,0.03754592,19,32,59,8,16,28,0.00541795,0.01037820,0.01797474,0.16103657,0.24484929,0.38944239
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-28 00:00:00.000000,0.01321528,0.02166776,0.03919663,20,34,61,9,17,30,0.00576375,0.01107973,0.01911644,0.14188010,0.22967325,0.37373593
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-29 00:00:00.000000,0.01345454,0.02251131,0.04067601,21,35,63,9,18,32,0.00618350,0.01153711,0.02062888,0.12955245,0.22446309,0.34566650
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-30 00:00:00.000000,0.01414820,0.02321851,0.04252910,22,36,66,10,19,35,0.00658292,0.01218768,0.02234436,0.12326857,0.21526749,0.33773791
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-03-31 00:00:00.000000,0.01483615,0.02383218,0.04406753,23,37,69,11,19,37,0.00703063,0.01261988,0.02391914,0.12346258,0.20946159,0.30768438
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-01 00:00:00.000000,0.01552944,0.02433966,0.04521456,24,38,71,11,20,39,0.00731716,0.01306434,0.02536574,0.12426929,0.20790432,0.30416362
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-02 00:00:00.000000,0.01606640,0.02487596,0.04613555,25,39,72,11,21,41,0.00749534,0.01361162,0.02638652,0.12058661,0.20446179,0.28985373
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-03 00:00:00.000000,0.01656209,0.02576099,0.04689638,26,40,73,12,22,41,0.00765307,0.01438226,0.02667764,0.11163106,0.20147161,0.28526835
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-04 00:00:00.000000,0.01682423,0.02682043,0.04750228,26,42,74,12,23,42,0.00779163,0.01475498,0.02699489,0.11085384,0.18999541,0.27089992
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-05 00:00:00.000000,0.01737508,0.02786374,0.04862181,27,43,76,12,24,45,0.00790842,0.01534977,0.02860728,0.10873875,0.18252565,0.26397458
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-06 00:00:00.000000,0.01778879,0.02806888,0.05062036,27,44,79,12,24,46,0.00800616,0.01582747,0.02930436,0.10809849,0.17409367,0.25497514
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-07 00:00:00.000000,0.01887624,0.02864501,0.05127359,29,45,80,12,25,46,0.00825553,0.01623359,0.02971729,0.10789831,0.17058394,0.25373966
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-08 00:00:00.000000,0.01959827,0.02885201,0.05128238,30,45,80,13,25,47,0.00861463,0.01651475,0.02999508,0.10783344,0.16858546,0.24971903
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-09 00:00:00.000000,0.02014579,0.02914795,0.05118268,31,45,80,14,26,47,0.00905246,0.01678795,0.03015144,0.10782239,0.16731753,0.24507025
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-10 00:00:00.000000,0.01982871,0.02933416,0.05102528,31,46,80,15,26,47,0.00954473,0.01704677,0.03021315,0.10745195,0.16238961,0.24039756
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-11 00:00:00.000000,0.01948348,0.02996633,0.05083502,30,47,79,14,27,47,0.00951484,0.01728249,0.03020576,0.10301883,0.16122491,0.23644736
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-12 00:00:00.000000,0.01958536,0.03060839,0.05078728,30,48,79,15,27,48,0.00963937,0.01751109,0.03079493,0.09920918,0.15977982,0.23272348
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-13 00:00:00.000000,0.02005033,0.03060337,0.05099011,31,48,80,15,27,49,0.00986873,0.01777310,0.03153554,0.09875127,0.16126886,0.22948458
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-14 00:00:00.000000,0.02049645,0.03062642,0.05194589,32,48,81,15,28,50,0.01015717,0.01825041,0.03201134,0.09797309,0.16005417,0.22675937
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-15 00:00:00.000000,0.02089985,0.03141996,0.05363310,32,49,84,16,29,50,0.01048030,0.01847505,0.03231488,0.09761154,0.15750540,0.22452106
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-16 00:00:00.000000,0.02123720,0.03215058,0.05531193,33,50,87,17,29,51,0.01082104,0.01849937,0.03250548,0.09747773,0.15573846,0.22270616
6039,0,USCaliforniaMadera,California,Madera,2021-10-29 02:06:25.495885,2020-04-17 00:00:00.000000,0.02154840,0.03249936,0.05691682,33,51,89,17,29,51,0.01117240,0.01864095,0.03261882,0.09742289,0.15421975,0.22116027
