FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-09 00:00:00.000000,0.00029426,0.00138817,0.00392663,1,6,17,0,2,8,0.00007190,0.00057656,0.00193241,0.39503950,0.56141211,0.80792501
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-10 00:00:00.000000,0.00046152,0.00173698,0.00459545,2,7,19,0,2,7,0.00009301,0.00058612,0.00183813,0.39503943,0.56140301,0.80792143
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-11 00:00:00.000000,0.00063552,0.00216952,0.00538869,2,9,23,0,2,8,0.00013335,0.00063318,0.00193029,0.39503919,0.56136661,0.80791397
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-12 00:00:00.000000,0.00078136,0.00265953,0.00624770,3,11,27,0,3,9,0.00018719,0.00071260,0.00210024,0.39503848,0.56122124,0.80789845
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-13 00:00:00.000000,0.00092166,0.00304872,0.00699856,4,13,30,1,3,10,0.00025095,0.00084249,0.00232333,0.39503627,0.56064574,0.80786612
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-14 00:00:00.000000,0.00107084,0.00351642,0.00795242,4,15,34,1,4,11,0.00031959,0.00097664,0.00257972,0.39502931,0.55773777,0.80779876
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-15 00:00:00.000000,0.00122998,0.00396257,0.00899046,5,17,39,1,4,12,0.00037617,0.00113850,0.00285808,0.39500734,0.55470114,0.80765815
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-16 00:00:00.000000,0.00149275,0.00449487,0.00999480,6,19,43,1,5,13,0.00043842,0.00136279,0.00315212,0.39493764,0.54806296,0.80736334
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-17 00:00:00.000000,0.00176592,0.00506314,0.01105290,7,21,47,2,6,15,0.00054543,0.00155459,0.00357447,0.38406252,0.54093739,0.80673807
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-18 00:00:00.000000,0.00205004,0.00569083,0.01206888,8,24,52,2,7,17,0.00067951,0.00178668,0.00404947,0.36764471,0.52150487,0.80537345
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-19 00:00:00.000000,0.00238578,0.00633676,0.01297974,10,27,56,3,8,19,0.00078888,0.00201312,0.00454491,0.35343259,0.50635490,0.80219485
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-20 00:00:00.000000,0.00277880,0.00697996,0.01384409,12,30,60,3,9,21,0.00090519,0.00230003,0.00502812,0.33210398,0.49598454,0.79383019
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-21 00:00:00.000000,0.00310515,0.00768271,0.01518332,13,33,65,4,11,23,0.00102819,0.00255428,0.00548445,0.32193912,0.47631498,0.76857909
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-22 00:00:00.000000,0.00343537,0.00835249,0.01598388,14,36,69,5,12,25,0.00115786,0.00287131,0.00591983,0.32022898,0.46581350,0.69802048
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-23 00:00:00.000000,0.00393099,0.00902934,0.01747862,17,39,75,5,13,27,0.00129434,0.00316512,0.00634368,0.31656561,0.44827436,0.59843378
6053,0,USCaliforniaMonterey,California,Monterey,2021-02-17 19:13:50.085627,2020-03-24 00:00:00.000000,0.00443401,0.00970737,0.01917730,19,42,83,6,15,30,0.00146063,0.00347926,0.00703342,0.29302085,0.44705300,0.57571503
