FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-09 00:00:00.000000,0.00254480,0.00658998,0.01383167,1,4,8,0,1,3,0.00055564,0.00219020,0.00535937,0.38438109,0.52695547,0.75062691
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-10 00:00:00.000000,0.00363595,0.00940521,0.01807187,2,5,11,0,1,3,0.00097638,0.00257807,0.00567255,0.38438108,0.52686193,0.75002344
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-11 00:00:00.000000,0.00476464,0.01281170,0.02448092,2,8,15,0,2,4,0.00142811,0.00341392,0.00666761,0.38438107,0.52683884,0.74908419
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-12 00:00:00.000000,0.00585605,0.01614569,0.03196829,3,10,20,1,2,5,0.00188240,0.00470886,0.00835059,0.38438102,0.52683874,0.74762678
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-13 00:00:00.000000,0.00703577,0.01941719,0.03989449,4,12,25,1,3,6,0.00237578,0.00621689,0.01092900,0.38438079,0.52683844,0.74537597
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-14 00:00:00.000000,0.00822075,0.02273814,0.04833724,5,14,30,1,4,8,0.00278745,0.00754603,0.01380991,0.38437942,0.52653074,0.74192501
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-15 00:00:00.000000,0.00932449,0.02616501,0.05732400,5,16,36,2,5,10,0.00338748,0.00894677,0.01677854,0.38437037,0.52512948,0.73669252
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-16 00:00:00.000000,0.01213456,0.03065159,0.06307852,7,19,39,2,6,12,0.00395761,0.01072943,0.02010237,0.38430959,0.52388589,0.73329170
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-17 00:00:00.000000,0.01469600,0.03453764,0.07023076,9,21,44,3,7,14,0.00489441,0.01240878,0.02322021,0.38390163,0.52378304,0.73186303
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-18 00:00:00.000000,0.01716108,0.03938556,0.07731710,10,24,48,3,9,16,0.00606589,0.01439791,0.02628270,0.38033606,0.51578667,0.73113239
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-19 00:00:00.000000,0.02040122,0.04632102,0.08610691,12,29,54,4,10,18,0.00731863,0.01653192,0.02937379,0.36257026,0.49741474,0.70934494
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-20 00:00:00.000000,0.02385122,0.05235515,0.09480680,14,32,59,5,11,20,0.00882494,0.01888181,0.03335165,0.33394367,0.46637759,0.66691422
6069,0,USCaliforniaSanBenito,California,San Benito,2021-01-06 03:45:54.904624,2020-03-21 00:00:00.000000,0.02750122,0.05704253,0.10373149,17,35,65,6,13,24,0.01035495,0.02137853,0.03928310,0.31242803,0.45527499,0.64437227
