FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-09 00:00:00.000000,0.00565285,0.01218227,0.03482093,1,3,9,0,1,3,0.00115853,0.00464777,0.01293205,0.39796219,0.49495304,0.65778382
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-10 00:00:00.000000,0.00874288,0.01767542,0.04390620,2,4,11,0,1,3,0.00204545,0.00526027,0.01361527,0.39794661,0.49495195,0.65778319
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-11 00:00:00.000000,0.01181484,0.02365701,0.05213117,3,6,13,0,1,4,0.00294778,0.00646055,0.01584513,0.39789146,0.49494884,0.65778181
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-12 00:00:00.000000,0.01487750,0.03001335,0.06061307,3,8,16,1,2,4,0.00403909,0.00862471,0.01858242,0.39769652,0.49493991,0.65777880
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-13 00:00:00.000000,0.01826956,0.03691988,0.06970344,4,9,18,1,3,5,0.00519021,0.01127298,0.02173689,0.39701062,0.49479353,0.65777219
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-14 00:00:00.000000,0.02193785,0.04309157,0.08007605,5,11,21,1,3,7,0.00654033,0.01416419,0.02700994,0.39463619,0.49430118,0.65775763
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-15 00:00:00.000000,0.02505335,0.04987790,0.09240382,6,13,24,2,4,8,0.00822272,0.01722436,0.03232640,0.38686116,0.49275462,0.65772530
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-16 00:00:00.000000,0.03199310,0.05689112,0.10261607,8,15,27,2,5,10,0.00961883,0.02038264,0.03793345,0.38362072,0.48342801,0.65765281
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-17 00:00:00.000000,0.03575772,0.06468625,0.11821642,9,17,31,3,6,12,0.01126214,0.02407888,0.04615804,0.37027947,0.48077939,0.65737570
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-18 00:00:00.000000,0.03931664,0.07396173,0.13553835,10,19,36,3,7,13,0.01325099,0.02788325,0.05220815,0.35486952,0.46598277,0.63721025
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-19 00:00:00.000000,0.04283193,0.08186249,0.15461904,11,21,41,4,8,15,0.01554221,0.03137733,0.05751170,0.31244099,0.45026985,0.57324879
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-20 00:00:00.000000,0.04685081,0.09040755,0.17515056,12,24,46,4,9,17,0.01802140,0.03671393,0.06614537,0.28343643,0.42750821,0.56786496
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-21 00:00:00.000000,0.05055004,0.09797038,0.19602845,13,26,52,5,11,20,0.02062702,0.04129388,0.07607453,0.27434348,0.39541441,0.55999821
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-22 00:00:00.000000,0.05409841,0.10699473,0.20634793,14,28,55,6,12,24,0.02330178,0.04626740,0.09210932,0.25199407,0.36800834,0.52186733
8039,0,USColoradoElbert,Colorado,Elbert,2021-12-12 19:05:50.005348,2020-03-23 00:00:00.000000,0.06273245,0.11834044,0.21483911,16,31,57,6,13,26,0.02556042,0.05145385,0.10013485,0.24488450,0.35394518,0.48817617
