FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-09 00:00:00.000000,0.00071078,0.00419238,0.02925005,0,0,6,0,0,3,0.00035766,0.00221944,0.01508554,0.47354555,0.66499830,0.87256126
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-10 00:00:00.000000,0.00084010,0.00479782,0.03361076,0,1,7,0,0,3,0.00040774,0.00244592,0.01589485,0.47354555,0.66587903,0.87256084
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-11 00:00:00.000000,0.00099109,0.00550320,0.03824052,0,1,8,0,0,3,0.00047599,0.00279694,0.01741510,0.47354556,0.66705192,0.87255958
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-12 00:00:00.000000,0.00116940,0.00632682,0.04330274,0,1,9,0,0,4,0.00055353,0.00323072,0.01944259,0.47354557,0.66860423,0.87255587
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-13 00:00:00.000000,0.00134488,0.00726880,0.04892259,0,1,10,0,0,4,0.00064779,0.00373196,0.02188505,0.47354561,0.67064179,0.87254485
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-14 00:00:00.000000,0.00159990,0.00834690,0.05520924,0,1,12,0,0,5,0.00076085,0.00430292,0.02471231,0.47354571,0.67245072,0.87251196
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-15 00:00:00.000000,0.00190366,0.00953373,0.06226859,0,2,13,0,1,6,0.00087108,0.00490964,0.02793003,0.47354602,0.67237480,0.87241345
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-16 00:00:00.000000,0.00369718,0.01618074,0.07863037,0,3,17,0,1,7,0.00103368,0.00556592,0.03156582,0.47354708,0.67217178,0.87211754
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-17 00:00:00.000000,0.00560660,0.02146771,0.09599748,1,4,21,0,1,8,0.00163752,0.00771616,0.03740511,0.47355092,0.67131458,0.86808210
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-18 00:00:00.000000,0.00779383,0.02862156,0.11519468,1,6,25,0,2,10,0.00260282,0.01085916,0.04494939,0.47356703,0.65738666,0.84047912
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-19 00:00:00.000000,0.01011939,0.03725159,0.13666286,2,8,30,0,3,12,0.00375564,0.01470705,0.05399301,0.47365244,0.64154758,0.81482135
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-20 00:00:00.000000,0.01280905,0.04652895,0.16085344,2,10,36,1,4,14,0.00490294,0.01994227,0.06450145,0.47316852,0.62993024,0.78118955
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-21 00:00:00.000000,0.01579276,0.05624550,0.18827263,3,12,42,1,5,17,0.00640359,0.02533107,0.07655116,0.48011423,0.61768497,0.79310028
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-22 00:00:00.000000,0.01915262,0.06631597,0.21944910,4,14,49,1,6,20,0.00809547,0.03112463,0.09030121,0.47566358,0.60403501,0.78013590
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-23 00:00:00.000000,0.02697375,0.07794229,0.25278957,6,17,56,2,8,23,0.01000078,0.03634188,0.10596904,0.46702187,0.59818341,0.81521268
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-24 00:00:00.000000,0.03460505,0.09293168,0.29073945,7,20,65,2,9,27,0.01263964,0.04354091,0.12337197,0.46341138,0.58907869,0.84329181
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-25 00:00:00.000000,0.04336953,0.11052035,0.33337714,9,24,74,3,11,32,0.01598345,0.05098153,0.14288760,0.46769885,0.58912217,0.86021748
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-26 00:00:00.000000,0.05430281,0.12888385,0.38023997,12,28,85,4,13,36,0.02027755,0.06219787,0.16479571,0.46295660,0.57150273,0.86227376
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-27 00:00:00.000000,0.06709403,0.14828874,0.42676081,15,33,95,5,16,42,0.02579424,0.07417897,0.18928995,0.45890306,0.57667290,0.87028483
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-28 00:00:00.000000,0.08067189,0.17311699,0.47750525,18,38,107,7,19,48,0.03230160,0.08495029,0.21654879,0.45499443,0.57935027,0.87490634
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-29 00:00:00.000000,0.09770745,0.19785420,0.53312958,21,44,119,8,21,55,0.03996327,0.09689610,0.24684708,0.44391608,0.58598891,0.90552799
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-30 00:00:00.000000,0.12080222,0.22776116,0.59222284,27,51,132,10,24,62,0.04896436,0.11150706,0.28057729,0.44023319,0.58128434,0.90289602
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-03-31 00:00:00.000000,0.14059493,0.26745786,0.65762006,31,59,147,13,29,71,0.06081716,0.13117816,0.31764746,0.44160040,0.59466854,0.88237191
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-01 00:00:00.000000,0.16569933,0.32036344,0.72990744,37,71,163,16,33,80,0.07405978,0.14824125,0.35874346,0.45218971,0.59835606,0.88224192
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-02 00:00:00.000000,0.19463199,0.37353829,0.80997925,43,83,181,19,38,90,0.08662738,0.17368846,0.40448131,0.46389489,0.60846775,0.87674688
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-03 00:00:00.000000,0.22746641,0.44016653,0.89914055,50,98,201,22,47,102,0.10157103,0.20983212,0.45541417,0.48203320,0.62994901,0.87953094
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-04 00:00:00.000000,0.26627186,0.51488007,0.99922003,59,115,223,26,55,114,0.11885873,0.24608831,0.51201019,0.50505868,0.66214988,0.88832150
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-05 00:00:00.000000,0.31670309,0.59917762,1.11370091,70,134,249,31,64,128,0.13908575,0.28861123,0.57467998,0.51857300,0.66951617,0.90029807
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-06 00:00:00.000000,0.37786236,0.69662667,1.24684577,84,156,279,36,75,144,0.16423149,0.33495902,0.64392697,0.52544369,0.68513909,0.93390355
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-07 00:00:00.000000,0.44925082,0.81729309,1.41035368,100,183,316,43,87,161,0.19508646,0.38909253,0.72107488,0.53027515,0.69829929,0.94912583
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-08 00:00:00.000000,0.51764559,0.93605859,1.59810274,115,209,358,51,100,180,0.23185526,0.45028536,0.80682099,0.55631121,0.70259601,0.94933327
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-09 00:00:00.000000,0.59323089,1.08249490,1.80995110,132,242,405,61,115,202,0.27523108,0.51676596,0.90205377,0.56628081,0.71444667,0.94315696
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-10 00:00:00.000000,0.70751534,1.26334868,2.04817333,158,283,458,73,135,225,0.32622953,0.60460435,1.00777921,0.56873916,0.71891666,0.92571824
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-11 00:00:00.000000,0.84907528,1.46799715,2.31168628,190,328,518,86,159,252,0.38595210,0.71146433,1.12508636,0.56876935,0.72257657,0.92728475
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-12 00:00:00.000000,1.01484690,1.70734173,2.60939150,227,382,584,101,187,281,0.45189420,0.83587838,1.25509413,0.56668997,0.73078576,0.94145937
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-13 00:00:00.000000,1.19786208,1.95404414,2.98155033,268,437,668,116,217,314,0.52144673,0.97010440,1.40210465,0.56122908,0.72279078,0.93044051
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-14 00:00:00.000000,1.39924041,2.26442874,3.35348194,313,507,751,138,246,351,0.61623905,1.10198974,1.56787816,0.55640421,0.71489066,0.91743199
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-15 00:00:00.000000,1.63616969,2.61284624,3.88775295,366,585,871,163,283,406,0.73026043,1.26567539,1.81506866,0.54787222,0.71839988,0.91731908
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-16 00:00:00.000000,1.95145614,2.95973738,4.46759141,437,663,1001,191,328,460,0.85278356,1.46419367,2.05603598,0.54474314,0.71078009,0.91380831
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-17 00:00:00.000000,2.32143260,3.46267922,5.06332052,520,775,1134,223,375,527,0.99888936,1.67615124,2.35446764,0.52019629,0.70328684,0.91132612
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-18 00:00:00.000000,2.70753829,3.88478192,5.58250818,606,870,1250,263,435,600,1.17612981,1.94414702,2.68051667,0.51367593,0.70242815,0.90766904
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-19 00:00:00.000000,3.07115165,4.34739969,5.98323561,688,974,1340,310,500,665,1.38401854,2.23187783,2.97002341,0.47346478,0.69833725,0.89431443
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-20 00:00:00.000000,3.46349814,4.84800879,6.47408940,776,1086,1450,365,570,744,1.62940512,2.54799395,3.32189934,0.46425875,0.64396586,0.87902988
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-21 00:00:00.000000,3.99544017,5.46621905,7.10915410,895,1224,1593,430,639,834,1.92069816,2.85455778,3.72259443,0.36703581,0.56431155,0.85690896
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-22 00:00:00.000000,4.53366559,5.87980513,7.58105899,1015,1317,1698,502,701,923,2.24382225,3.12950111,4.12135462,0.25224406,0.52030777,0.77108713
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-23 00:00:00.000000,4.95531710,6.37147762,7.85099760,1110,1427,1759,579,777,993,2.58591479,3.47117359,4.43501617,0.21035441,0.39605449,0.67800633
8075,0,USColoradoLogan,Colorado,Logan,2021-11-27 17:48:16.071446,2020-04-24 00:00:00.000000,5.20580119,6.59172387,7.97884317,1166,1477,1787,657,842,1040,2.93236951,3.76027826,4.64311904,0.19791523,0.33448973,0.61434232
