FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-09 00:00:00.000000,0.00696355,0.01711207,0.03281929,2,4,9,0,1,3,0.00088706,0.00485511,0.01254964,0.51541904,0.76191518,1.07305605
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-10 00:00:00.000000,0.01080459,0.02530635,0.04490128,3,7,13,0,1,4,0.00275927,0.00687500,0.01576915,0.51545733,0.76191521,1.07305393
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-11 00:00:00.000000,0.01467460,0.03513176,0.05796014,4,10,16,1,3,5,0.00466717,0.01070449,0.02038816,0.51553031,0.76191531,1.07304853
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-12 00:00:00.000000,0.01890430,0.04487374,0.07753087,5,13,22,2,4,8,0.00693093,0.01517910,0.02755253,0.51566930,0.76191563,1.07303478
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-13 00:00:00.000000,0.02371529,0.05649520,0.09684934,6,16,28,2,5,10,0.00943897,0.02026406,0.03593490,0.51593353,0.76191659,1.07299981
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-14 00:00:00.000000,0.02919211,0.06864652,0.11902986,8,19,34,3,7,13,0.01227552,0.02607137,0.04626598,0.51643407,0.76191919,1.07291097
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-15 00:00:00.000000,0.03543275,0.08256041,0.14461545,10,23,42,4,9,16,0.01529160,0.03261527,0.05757672,0.51737613,0.76192611,1.07268595
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-16 00:00:00.000000,0.04733954,0.09794088,0.16929371,13,28,49,5,11,20,0.01873069,0.03983670,0.07022759,0.51912751,0.76487680,1.07212025
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-17 00:00:00.000000,0.05750674,0.11656586,0.19458709,16,33,56,7,14,24,0.02416412,0.04824409,0.08503515,0.52231031,0.76491970,1.07072451
8087,0,USColoradoMorgan,Colorado,Morgan,2021-02-17 18:03:10.183219,2020-03-18 00:00:00.000000,0.06876859,0.13925391,0.22217562,19,40,64,8,16,29,0.02978195,0.05801480,0.10058165,0.52786275,0.76502234,1.06743417
