FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-09 00:00:00.000000,0.01802010,0.05296492,0.16708292,1,4,13,0,1,7,0.00414061,0.02181708,0.09027255,0.34618453,0.43188914,0.58911845
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-10 00:00:00.000000,0.02438593,0.06479402,0.18472934,1,5,15,0,2,7,0.00680575,0.02543265,0.09219609,0.34618453,0.43187146,0.58904057
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-11 00:00:00.000000,0.03292295,0.08043383,0.21113042,2,6,17,0,2,8,0.01019896,0.03129164,0.10146088,0.34618453,0.43183351,0.58884352
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-12 00:00:00.000000,0.04202841,0.09930979,0.24690988,3,8,20,1,3,9,0.01473747,0.03983698,0.11084686,0.34618453,0.43175200,0.58834030
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-13 00:00:00.000000,0.05159674,0.11912629,0.28445505,4,9,23,1,4,9,0.01971325,0.05011391,0.11853778,0.34618452,0.43157701,0.58776549
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-14 00:00:00.000000,0.06160799,0.13765251,0.32266810,5,11,26,2,4,11,0.02499709,0.06090641,0.13586533,0.34618445,0.43120167,0.58775138
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-15 00:00:00.000000,0.07206286,0.15417469,0.34624314,5,12,28,2,5,12,0.03055286,0.07067965,0.15625925,0.34618410,0.43039874,0.58771448
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-16 00:00:00.000000,0.08827130,0.17627778,0.38522668,7,14,31,2,6,14,0.03618373,0.08129313,0.17699837,0.32198953,0.42904246,0.58757144
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-17 00:00:00.000000,0.10008238,0.20064303,0.41835310,8,16,34,3,7,16,0.04247750,0.09245968,0.19745014,0.31994391,0.42069213,0.57002121
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-18 00:00:00.000000,0.10807404,0.22343122,0.44846490,8,18,36,4,8,17,0.05009662,0.10450525,0.21816576,0.30848882,0.40719185,0.55903726
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-19 00:00:00.000000,0.12201130,0.24459353,0.47723440,9,20,39,4,9,19,0.05785704,0.11594189,0.23916039,0.24211862,0.38533811,0.55324583
8113,0,USColoradoSanMiguel,Colorado,San Miguel,2021-10-14 18:55:13.713313,2020-03-20 00:00:00.000000,0.13947018,0.26925198,0.50505887,11,22,41,5,10,21,0.06324293,0.12913426,0.26787749,0.22068355,0.36456649,0.54200061
