FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-09 00:00:00.000000,0.00966714,0.02705158,0.08218776,2,6,20,1,3,9,0.00522326,0.01356115,0.03865090,0.39254053,0.55992238,0.74854655
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-10 00:00:00.000000,0.01103174,0.03013994,0.08767070,2,7,22,1,3,10,0.00518139,0.01344415,0.03951033,0.39254054,0.55992237,0.74854654
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-11 00:00:00.000000,0.01243585,0.03357932,0.09317038,3,8,23,1,3,10,0.00542759,0.01429274,0.04106827,0.39254053,0.55992236,0.74854653
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-12 00:00:00.000000,0.01390307,0.03662626,0.09873808,3,9,25,1,4,10,0.00585845,0.01619302,0.04307619,0.39254044,0.55992232,0.74854652
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-13 00:00:00.000000,0.01545249,0.03965743,0.10441576,3,10,26,1,4,11,0.00641458,0.01803785,0.04537710,0.39254012,0.55992216,0.74854648
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-14 00:00:00.000000,0.01692577,0.04309448,0.11023893,4,10,27,1,5,12,0.00690187,0.01986052,0.04801130,0.39253898,0.55992155,0.74854635
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-15 00:00:00.000000,0.01828507,0.04680849,0.11623857,4,11,29,1,5,13,0.00740428,0.02140990,0.05213407,0.39253517,0.55675773,0.74854578
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-16 00:00:00.000000,0.02630576,0.05770947,0.12755497,6,14,32,2,5,14,0.00792281,0.02329804,0.05663364,0.39252244,0.55579710,0.74854262
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-17 00:00:00.000000,0.03519355,0.06914478,0.14370419,8,17,36,2,6,16,0.01043509,0.02702464,0.06443934,0.39247987,0.55501898,0.74852243
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-18 00:00:00.000000,0.04421133,0.08146737,0.16453551,11,20,41,3,8,18,0.01307155,0.03206730,0.07401587,0.38410363,0.54715978,0.74781730
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-19 00:00:00.000000,0.05021485,0.09560853,0.18667816,12,24,47,4,9,21,0.01697043,0.03731718,0.08492481,0.38244094,0.52704260,0.72541992
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-20 00:00:00.000000,0.05597266,0.11145541,0.20881688,14,28,53,5,11,23,0.02171531,0.04428354,0.09441957,0.38035563,0.49776444,0.66773830
8119,0,USColoradoTeller,Colorado,Teller,2021-02-10 12:38:18.581448,2020-03-21 00:00:00.000000,0.06194421,0.12275028,0.22863781,15,31,58,6,12,25,0.02458648,0.05091271,0.09984505,0.35966636,0.47919397,0.65516496
