FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-09 00:00:00.000000,0.00018057,0.00051336,0.00106607,1,3,6,0,1,2,0.00004779,0.00019373,0.00044635,0.34360425,0.49151747,0.62487195
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-10 00:00:00.000000,0.00029240,0.00071461,0.00130659,1,4,7,0,1,2,0.00005881,0.00021448,0.00045880,0.34360423,0.49151750,0.62487132
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-11 00:00:00.000000,0.00037246,0.00089932,0.00156226,2,5,9,0,1,3,0.00008636,0.00027260,0.00053565,0.34360414,0.49151727,0.62486960
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-12 00:00:00.000000,0.00045733,0.00112283,0.00183899,2,6,11,0,2,4,0.00013473,0.00033769,0.00066921,0.34360381,0.49129420,0.62486486
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-13 00:00:00.000000,0.00055059,0.00134761,0.00213307,3,8,12,0,2,4,0.00016493,0.00039438,0.00071877,0.34360261,0.48996070,0.62485124
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-14 00:00:00.000000,0.00066861,0.00157059,0.00253069,4,9,15,1,2,5,0.00019981,0.00045919,0.00084308,0.34359818,0.48940962,0.62481054
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-15 00:00:00.000000,0.00079494,0.00181779,0.00306323,4,10,18,1,3,6,0.00023859,0.00057052,0.00108648,0.34358191,0.48865884,0.62468359
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-16 00:00:00.000000,0.00102713,0.00206402,0.00366327,6,12,22,1,4,7,0.00028089,0.00069040,0.00131347,0.34352208,0.48570975,0.62185571
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-17 00:00:00.000000,0.00128485,0.00235004,0.00427413,7,14,25,2,4,9,0.00035347,0.00080222,0.00159905,0.34330510,0.47604140,0.61039254
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-18 00:00:00.000000,0.00152488,0.00264353,0.00482264,9,15,29,2,5,10,0.00044709,0.00092239,0.00182316,0.31779378,0.46909796,0.58624109
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-19 00:00:00.000000,0.00179555,0.00291623,0.00539602,10,17,32,3,6,12,0.00055622,0.00103392,0.00205363,0.28964888,0.45586539,0.56922508
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-20 00:00:00.000000,0.00197146,0.00326271,0.00610815,11,19,36,4,7,14,0.00067734,0.00117046,0.00239000,0.28392651,0.43981255,0.56290222
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-21 00:00:00.000000,0.00218136,0.00353054,0.00667305,13,21,40,4,7,16,0.00076903,0.00130871,0.00274622,0.27369862,0.41549877,0.54248524
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-22 00:00:00.000000,0.00230627,0.00383362,0.00714795,13,23,43,5,8,18,0.00089151,0.00144213,0.00311719,0.25848820,0.38497613,0.53534297
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-23 00:00:00.000000,0.00255459,0.00419536,0.00790245,15,25,47,5,9,21,0.00097890,0.00156271,0.00349958,0.23903222,0.35509824,0.53671268
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-24 00:00:00.000000,0.00280790,0.00447054,0.00847295,16,26,51,6,10,23,0.00108654,0.00171020,0.00382953,0.22519790,0.33989462,0.50965790
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-25 00:00:00.000000,0.00323293,0.00477979,0.00889744,19,28,53,7,11,24,0.00120680,0.00185881,0.00412618,0.21719071,0.32997918,0.50905075
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-26 00:00:00.000000,0.00368376,0.00509706,0.00943375,22,30,56,8,12,26,0.00133527,0.00203549,0.00439282,0.20957704,0.31753269,0.50744946
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-27 00:00:00.000000,0.00393028,0.00543291,0.01003234,23,32,60,8,13,27,0.00145610,0.00223476,0.00463013,0.20188999,0.30114548,0.48523439
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-28 00:00:00.000000,0.00416991,0.00582408,0.01059355,25,35,63,9,14,29,0.00158023,0.00243804,0.00484005,0.19334699,0.28823346,0.47944346
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-29 00:00:00.000000,0.00436968,0.00619648,0.01111644,26,37,66,10,15,30,0.00170666,0.00260658,0.00502029,0.18485988,0.26718919,0.46372567
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-30 00:00:00.000000,0.00459516,0.00653552,0.01132229,27,39,68,11,16,31,0.00183412,0.00276455,0.00517518,0.17169782,0.25937917,0.43238027
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-03-31 00:00:00.000000,0.00477921,0.00680364,0.01159863,28,40,69,11,17,32,0.00194453,0.00287155,0.00532245,0.17087499,0.25035715,0.42373194
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-01 00:00:00.000000,0.00495009,0.00708791,0.01174994,29,42,70,12,18,32,0.00206232,0.00304101,0.00546318,0.16938383,0.24526012,0.41553467
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-02 00:00:00.000000,0.00510257,0.00739581,0.01192400,30,44,71,13,19,34,0.00216821,0.00322868,0.00565317,0.16626956,0.23631131,0.39833666
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-03 00:00:00.000000,0.00522973,0.00774955,0.01249391,31,46,75,13,20,35,0.00227051,0.00335483,0.00594517,0.16336238,0.22666714,0.36363976
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-04 00:00:00.000000,0.00538551,0.00796815,0.01300635,32,47,78,14,20,37,0.00237007,0.00345663,0.00621172,0.15258025,0.21721539,0.34779658
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-05 00:00:00.000000,0.00539335,0.00817888,0.01348952,32,49,81,14,21,38,0.00246716,0.00362354,0.00643328,0.14584191,0.21246284,0.32462085
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-06 00:00:00.000000,0.00549710,0.00855593,0.01348919,33,51,81,15,22,39,0.00256188,0.00370373,0.00661712,0.14210906,0.20816605,0.30156536
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-07 00:00:00.000000,0.00562856,0.00876749,0.01378145,33,52,82,15,23,40,0.00263821,0.00384133,0.00679756,0.13756054,0.20536872,0.28876649
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-08 00:00:00.000000,0.00575590,0.00888053,0.01451237,34,53,87,16,23,42,0.00269096,0.00397330,0.00698288,0.13948514,0.19955868,0.28294012
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-09 00:00:00.000000,0.00587501,0.00915151,0.01471892,35,55,88,16,24,43,0.00273862,0.00407694,0.00716813,0.13929800,0.19704323,0.27624599
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-10 00:00:00.000000,0.00598285,0.00923740,0.01478597,36,55,89,16,25,44,0.00278163,0.00422198,0.00735178,0.13332917,0.19453264,0.27662364
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-11 00:00:00.000000,0.00599486,0.00923109,0.01483087,36,55,89,16,25,45,0.00281988,0.00431287,0.00753096,0.12661117,0.18975554,0.27183793
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-12 00:00:00.000000,0.00608641,0.00936447,0.01486567,36,56,89,17,26,46,0.00285331,0.00445534,0.00770029,0.12233577,0.18875870,0.27337275
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-13 00:00:00.000000,0.00618016,0.00963815,0.01503306,37,58,90,17,27,47,0.00289412,0.00450402,0.00785379,0.11641669,0.18857230,0.27525361
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-14 00:00:00.000000,0.00618067,0.00969540,0.01547364,37,58,93,17,27,47,0.00297040,0.00450914,0.00793133,0.11485744,0.18716482,0.27414054
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-15 00:00:00.000000,0.00617654,0.00998230,0.01576699,37,60,94,18,27,47,0.00299784,0.00457600,0.00795408,0.11476696,0.18679072,0.27204691
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-16 00:00:00.000000,0.00617913,0.01006056,0.01556555,37,60,93,18,27,49,0.00304112,0.00461322,0.00819178,0.11327207,0.18596690,0.26466063
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-17 00:00:00.000000,0.00618795,0.01017218,0.01564851,37,61,94,18,28,50,0.00310840,0.00474043,0.00843365,0.11042901,0.17975219,0.26203404
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-18 00:00:00.000000,0.00620281,0.01033061,0.01573016,37,62,94,18,29,52,0.00313556,0.00487132,0.00866106,0.11241964,0.17740895,0.25739427
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-19 00:00:00.000000,0.00626463,0.01041308,0.01573880,37,62,94,18,29,53,0.00315294,0.00498353,0.00886460,0.11512477,0.17584070,0.25654503
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-20 00:00:00.000000,0.00625683,0.01060968,0.01576287,37,63,94,19,30,54,0.00316543,0.00514321,0.00903954,0.11478829,0.17820055,0.25628821
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-21 00:00:00.000000,0.00624859,0.01086905,0.01582103,37,65,95,19,31,54,0.00319567,0.00528150,0.00912869,0.11384153,0.17929561,0.25398064
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-22 00:00:00.000000,0.00623776,0.01095851,0.01607012,37,65,96,19,32,55,0.00318984,0.00539122,0.00915426,0.11411370,0.17919529,0.24805185
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-23 00:00:00.000000,0.00622409,0.01090346,0.01628427,37,65,98,19,32,55,0.00318149,0.00544960,0.00927682,0.11641072,0.17988865,0.24578496
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-24 00:00:00.000000,0.00620771,0.01101706,0.01636970,37,66,98,19,32,55,0.00317067,0.00540599,0.00920387,0.11485238,0.17357188,0.24645162
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-25 00:00:00.000000,0.00618986,0.01114906,0.01618409,37,67,97,19,32,54,0.00315740,0.00539775,0.00912884,0.10874618,0.17859365,0.24734640
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-26 00:00:00.000000,0.00617137,0.01139090,0.01618143,37,68,97,18,32,54,0.00314986,0.00547366,0.00905440,0.10646287,0.18173545,0.24842186
12009,0,USFloridaBrevard,Florida,Brevard,2021-10-14 19:36:45.010759,2020-04-27 00:00:00.000000,0.00631042,0.01144350,0.01616764,37,68,97,18,33,54,0.00314534,0.00553777,0.00898187,0.10636711,0.17783491,0.25335917
