FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-09 00:00:00.000000,0.00245254,0.00752525,0.01525786,47,146,297,24,76,159,0.00123909,0.00390504,0.00815663,0.47532896,0.61750119,0.85898576
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-10 00:00:00.000000,0.00307821,0.00851695,0.01692874,60,166,330,26,80,163,0.00137316,0.00410521,0.00838822,0.47447408,0.61575264,0.85890740
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-11 00:00:00.000000,0.00369924,0.00965085,0.01812118,72,188,353,30,86,171,0.00157826,0.00442283,0.00879063,0.47233030,0.61317570,0.85874292
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-12 00:00:00.000000,0.00437286,0.01101569,0.01943833,85,215,379,36,96,181,0.00189385,0.00493222,0.00931583,0.46709257,0.60944635,0.85839799
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-13 00:00:00.000000,0.00513837,0.01215771,0.02149686,100,237,419,44,107,202,0.00227926,0.00550386,0.01037830,0.46323011,0.60710767,0.85767594
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-14 00:00:00.000000,0.00601412,0.01351295,0.02455554,117,263,479,53,121,220,0.00273350,0.00622660,0.01127908,0.46327313,0.60504670,0.85617029
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-15 00:00:00.000000,0.00701851,0.01511632,0.02793211,137,295,545,63,135,240,0.00326174,0.00696164,0.01230227,0.46336139,0.59593388,0.80762645
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-16 00:00:00.000000,0.00810935,0.01667836,0.03098132,158,325,604,75,149,262,0.00387256,0.00767802,0.01344165,0.46354082,0.59555686,0.79586903
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-17 00:00:00.000000,0.00937006,0.01831365,0.03473433,182,357,678,88,168,286,0.00451692,0.00862805,0.01468960,0.45967210,0.58894146,0.79450790
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-18 00:00:00.000000,0.01081700,0.01997385,0.03886130,211,390,758,101,186,322,0.00520399,0.00957109,0.01650117,0.45001899,0.57510654,0.79207043
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-19 00:00:00.000000,0.01247301,0.02192031,0.04281475,243,428,836,113,202,361,0.00583146,0.01034783,0.01850000,0.43538922,0.57197847,0.77374829
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-20 00:00:00.000000,0.01457692,0.02441001,0.04595765,284,476,897,127,221,403,0.00651427,0.01135056,0.02068424,0.43269941,0.56468719,0.76014267
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-21 00:00:00.000000,0.01701726,0.02705018,0.04993174,332,528,975,141,245,444,0.00725938,0.01255398,0.02274974,0.39923692,0.54596621,0.74722152
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-22 00:00:00.000000,0.01925256,0.02985847,0.05524214,375,583,1078,157,270,478,0.00807222,0.01387710,0.02448665,0.39820101,0.51988634,0.72327806
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-23 00:00:00.000000,0.02157328,0.03261943,0.05927033,421,636,1157,178,298,511,0.00916215,0.01527533,0.02617997,0.38378766,0.49748785,0.71161039
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-24 00:00:00.000000,0.02342984,0.03558216,0.06294398,457,694,1229,204,325,552,0.01048589,0.01664508,0.02827844,0.37233202,0.48080611,0.69239099
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-25 00:00:00.000000,0.02544211,0.03787550,0.06536525,496,739,1276,224,351,602,0.01150259,0.01802388,0.03086980,0.33555500,0.45698525,0.67592875
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-26 00:00:00.000000,0.02774261,0.04064544,0.06725888,541,793,1313,241,379,648,0.01236956,0.01945198,0.03321592,0.30227140,0.43650804,0.65647505
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-27 00:00:00.000000,0.03013838,0.04298673,0.06858360,588,839,1339,259,411,688,0.01328046,0.02108566,0.03526025,0.28688822,0.41846795,0.61021741
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-28 00:00:00.000000,0.03256438,0.04554045,0.07044508,635,889,1375,279,441,712,0.01430161,0.02261493,0.03647913,0.26166589,0.39874913,0.55659808
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-29 00:00:00.000000,0.03434180,0.04785643,0.07185191,670,934,1403,303,470,733,0.01553492,0.02407993,0.03756324,0.24576177,0.38175377,0.51937161
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-30 00:00:00.000000,0.03599802,0.04990247,0.07224315,702,974,1410,328,496,763,0.01680397,0.02540793,0.03912016,0.23895940,0.34746146,0.51178974
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-03-31 00:00:00.000000,0.03693061,0.05207478,0.07357081,721,1016,1436,353,524,787,0.01811570,0.02687883,0.04031164,0.23637394,0.33220794,0.50747522
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-04-01 00:00:00.000000,0.03764660,0.05419980,0.07520972,735,1058,1468,380,554,805,0.01948524,0.02841539,0.04126533,0.23452250,0.31938858,0.46972638
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-04-02 00:00:00.000000,0.03845139,0.05625671,0.07613761,750,1098,1486,401,578,821,0.02053997,0.02962927,0.04206888,0.21881681,0.30607926,0.43428169
12011,0,USFloridaBroward,Florida,Broward,2021-10-14 19:51:02.298634,2020-04-03 00:00:00.000000,0.03883988,0.05777094,0.07706310,758,1128,1504,409,604,835,0.02096810,0.03096727,0.04277025,0.20746959,0.29163803,0.41157099
