FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-09 00:00:00.000000,0.00275211,0.01823891,0.06083838,0,2,8,0,1,5,0.00141508,0.00944997,0.03694161,0.36089192,0.52309392,0.74607588
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-10 00:00:00.000000,0.00310243,0.01936289,0.06552943,0,2,9,0,1,5,0.00143787,0.00939179,0.03568359,0.36088827,0.52309357,0.74607588
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-11 00:00:00.000000,0.00345938,0.02114291,0.06981764,0,2,9,0,1,5,0.00152291,0.00950324,0.03566715,0.36088057,0.52309247,0.74607588
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-12 00:00:00.000000,0.00383170,0.02297790,0.07428653,0,3,10,0,1,5,0.00164834,0.00972308,0.03759922,0.36086412,0.52308898,0.74607587
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-13 00:00:00.000000,0.00422584,0.02476943,0.07896503,0,3,11,0,1,5,0.00180218,0.01014824,0.04073244,0.36082854,0.52307783,0.74607582
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-14 00:00:00.000000,0.00464699,0.02668944,0.08622959,0,3,12,0,1,6,0.00197820,0.01067943,0.04417599,0.36075097,0.51850749,0.74607540
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-15 00:00:00.000000,0.00509974,0.02869052,0.09417678,0,4,13,0,1,6,0.00217355,0.01185091,0.04737804,0.36058077,0.51662842,0.74607172
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-16 00:00:00.000000,0.01052157,0.03821978,0.10861158,1,5,15,0,1,7,0.00238734,0.01309638,0.05030999,0.34226520,0.51240242,0.74603971
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-17 00:00:00.000000,0.01598354,0.04588509,0.12376127,2,6,17,0,2,7,0.00356786,0.01639217,0.05599503,0.32591001,0.50759279,0.74576114
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-18 00:00:00.000000,0.02180721,0.05481120,0.14005416,3,7,19,0,2,8,0.00540496,0.01965389,0.06319537,0.30225976,0.49704945,0.74336019
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-19 00:00:00.000000,0.02807418,0.06600381,0.15792479,3,9,22,1,3,10,0.00772733,0.02444766,0.07117220,0.28056721,0.48039547,0.72432305
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-20 00:00:00.000000,0.03478858,0.07874268,0.17742108,4,11,25,1,4,11,0.01044368,0.02951610,0.07901751,0.26221982,0.45461035,0.68306079
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-21 00:00:00.000000,0.04120512,0.09132170,0.19771896,5,12,27,1,4,12,0.01349799,0.03533433,0.08856515,0.25440347,0.40984663,0.60266641
12013,0,USFloridaCalhoun,Florida,Calhoun,2021-01-06 02:48:45.608584,2020-03-22 00:00:00.000000,0.04722937,0.10366973,0.21438775,6,14,30,2,5,13,0.01679924,0.04174666,0.09790073,0.25217592,0.38698727,0.60243064
