FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-09 00:00:00.000000,0.00157785,0.01379420,0.05579822,0,1,4,0,0,3,0.00102731,0.00831827,0.03565130,0.31840614,0.43911160,0.59657438
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-10 00:00:00.000000,0.00161094,0.01533889,0.05718889,0,1,4,0,0,3,0.00105941,0.00960894,0.03773191,0.31840614,0.43872037,0.59639782
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-11 00:00:00.000000,0.00168080,0.01655404,0.06185579,0,1,5,0,0,3,0.00113028,0.01094744,0.04068474,0.31840612,0.43808945,0.59598487
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-12 00:00:00.000000,0.00176706,0.01768447,0.06742388,0,1,5,0,1,3,0.00121140,0.01220199,0.04391833,0.31840606,0.43729666,0.59545521
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-13 00:00:00.000000,0.00186530,0.01892877,0.07379385,0,1,6,0,1,4,0.00129760,0.01337866,0.04803516,0.31840579,0.43394402,0.59475443
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-14 00:00:00.000000,0.00197435,0.02028729,0.08097893,0,1,6,0,1,4,0.00138834,0.01463300,0.05345109,0.31840432,0.43167535,0.59376277
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-15 00:00:00.000000,0.00209384,0.02176069,0.08900984,0,1,7,0,1,4,0.00148403,0.01598962,0.05933252,0.31839347,0.42393635,0.58519511
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-16 00:00:00.000000,0.00229610,0.02357847,0.09787582,0,1,8,0,1,5,0.00158518,0.01738906,0.06572793,0.31829838,0.42004490,0.56706838
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-17 00:00:00.000000,0.00253779,0.02581696,0.10745213,0,2,9,0,1,6,0.00169223,0.01877559,0.07267960,0.31304849,0.41019986,0.55829542
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-18 00:00:00.000000,0.00279690,0.02804502,0.11712742,0,2,9,0,1,6,0.00186206,0.02027991,0.08013147,0.29586538,0.39347128,0.53829320
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-19 00:00:00.000000,0.00305926,0.03073820,0.12554335,0,2,10,0,1,7,0.00206172,0.02214057,0.08770856,0.26262468,0.37545288,0.51786287
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-20 00:00:00.000000,0.00330605,0.03335745,0.13165129,0,2,11,0,2,7,0.00226610,0.02417579,0.09451298,0.22435797,0.35926395,0.50610293
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-21 00:00:00.000000,0.00351783,0.03534043,0.13592245,0,2,11,0,2,8,0.00246179,0.02610742,0.09972788,0.20285917,0.34521757,0.49813088
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-22 00:00:00.000000,0.00368471,0.03799722,0.13929193,0,3,11,0,2,8,0.00263495,0.02794439,0.10349082,0.19235604,0.32243250,0.45838985
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-23 00:00:00.000000,0.01697090,0.05053721,0.15024585,1,4,12,0,2,8,0.00277691,0.03005685,0.10644793,0.18860639,0.30204157,0.42839436
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-24 00:00:00.000000,0.02647943,0.06170903,0.16195188,2,5,13,0,3,9,0.01074873,0.03882749,0.11383961,0.17458002,0.28593783,0.40130823
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-25 00:00:00.000000,0.03359148,0.07732950,0.18863282,2,6,15,1,4,10,0.01783949,0.04823561,0.12303222,0.17105378,0.27311126,0.40064080
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-26 00:00:00.000000,0.03965011,0.08941056,0.20815455,3,7,17,2,4,11,0.02495767,0.05921647,0.14114109,0.15442310,0.25611837,0.39625243
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-27 00:00:00.000000,0.04504861,0.10425669,0.24423751,3,8,20,2,5,13,0.02935417,0.06969463,0.16091739,0.14423652,0.24843392,0.35410629
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-28 00:00:00.000000,0.04936899,0.11815959,0.27839364,4,9,23,2,6,15,0.03386073,0.08010590,0.18037129,0.13565920,0.23164367,0.34043325
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-29 00:00:00.000000,0.05333427,0.12806465,0.30970701,4,10,26,3,7,17,0.03725870,0.08928295,0.20621741,0.13126707,0.21705211,0.31776553
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-30 00:00:00.000000,0.06287547,0.13886351,0.32939071,5,11,27,3,8,19,0.04043081,0.09882373,0.23016810,0.12783533,0.19992490,0.30702406
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-03-31 00:00:00.000000,0.07199186,0.15283726,0.34567123,6,12,29,3,9,20,0.04687637,0.10792359,0.24649623,0.12328311,0.19318920,0.28619441
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-01 00:00:00.000000,0.08090330,0.17009035,0.35879204,6,14,30,4,9,21,0.05393358,0.11824036,0.25924037,0.11336562,0.18487069,0.27322255
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-02 00:00:00.000000,0.08944278,0.18407476,0.37027100,7,15,31,5,10,22,0.06199029,0.12937247,0.27258673,0.10390655,0.17806581,0.25501737
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-03 00:00:00.000000,0.09891329,0.19917030,0.38273482,8,16,32,5,11,24,0.06982972,0.14008849,0.28723948,0.09705763,0.17327779,0.24281999
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-04 00:00:00.000000,0.10435458,0.20323471,0.39864930,8,17,33,6,12,25,0.07725344,0.15381001,0.30216093,0.09295355,0.16633295,0.23990556
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-05 00:00:00.000000,0.11111712,0.20602699,0.40337655,9,17,33,6,13,26,0.08248262,0.15947809,0.30877283,0.08995862,0.16020966,0.23093095
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-06 00:00:00.000000,0.10742473,0.20295853,0.39714835,9,17,33,7,13,26,0.08483658,0.16324908,0.31833267,0.08782844,0.14937517,0.21934901
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-07 00:00:00.000000,0.10490950,0.19974456,0.39085290,8,16,32,7,13,26,0.08401866,0.16154293,0.31725394,0.08789872,0.14598855,0.20728366
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-08 00:00:00.000000,0.10051942,0.19525872,0.38541372,8,16,32,6,13,26,0.08276181,0.15956217,0.31481371,0.08385831,0.14093001,0.20496490
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-09 00:00:00.000000,0.09808630,0.19164285,0.37902301,8,16,31,6,13,26,0.08140113,0.15575554,0.31162561,0.08062364,0.13423847,0.20454544
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-10 00:00:00.000000,0.09588216,0.18696427,0.37220444,8,15,31,6,12,25,0.07985495,0.15350613,0.30746740,0.07709514,0.12971956,0.20274050
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-11 00:00:00.000000,0.09364796,0.18195624,0.36541293,7,15,30,6,12,25,0.07821645,0.15050467,0.30162917,0.07508048,0.12289430,0.19553383
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-12 00:00:00.000000,0.09140423,0.17534951,0.35780763,7,14,30,6,12,24,0.07652019,0.14622510,0.29483183,0.07338522,0.11529587,0.17729534
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-13 00:00:00.000000,0.09777229,0.18340548,0.36243790,8,15,30,6,11,24,0.07478593,0.14023870,0.28778251,0.07322440,0.11309952,0.17487278
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-14 00:00:00.000000,0.10419395,0.19271873,0.36624042,8,16,30,6,12,24,0.07935181,0.14586198,0.29170434,0.07264489,0.11011646,0.17478917
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-15 00:00:00.000000,0.11110656,0.20395693,0.37478832,9,17,31,6,12,24,0.08282246,0.15268369,0.29665169,0.07260849,0.10735444,0.17476232
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-16 00:00:00.000000,0.11763240,0.20999091,0.38018226,9,17,32,7,13,25,0.08902313,0.15910163,0.30278331,0.07262573,0.10562767,0.17473456
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-17 00:00:00.000000,0.12366072,0.22237465,0.38332095,10,18,32,8,14,25,0.09574413,0.16793993,0.30613914,0.07057574,0.10302978,0.17467650
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-18 00:00:00.000000,0.12322270,0.23005288,0.39636332,10,19,33,8,14,26,0.10003541,0.17253519,0.30884211,0.06898442,0.10019641,0.17435830
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-19 00:00:00.000000,0.12365564,0.23717576,0.42958022,10,19,36,8,15,26,0.09922932,0.18092676,0.31062672,0.06791460,0.09745909,0.17178436
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-20 00:00:00.000000,0.14395538,0.25076831,0.42717448,12,21,35,8,15,27,0.09763151,0.18568714,0.32747501,0.06753219,0.09496395,0.15437862
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-21 00:00:00.000000,0.15102298,0.26732626,0.42325140,12,22,35,9,16,28,0.11269275,0.19724981,0.33535080,0.06594218,0.09421337,0.14103050
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-22 00:00:00.000000,0.15435339,0.26853998,0.41938523,12,22,35,10,17,28,0.12120633,0.20750035,0.33596285,0.06258938,0.09038377,0.13595155
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-23 00:00:00.000000,0.15735538,0.27215086,0.44491848,13,22,37,10,17,28,0.12381684,0.20883191,0.33375751,0.05972690,0.08657701,0.13086092
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-24 00:00:00.000000,0.15874167,0.27263341,0.45912045,13,22,38,10,18,29,0.12567891,0.21511073,0.34753505,0.05706340,0.08577523,0.12735984
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-25 00:00:00.000000,0.15539175,0.28513525,0.48382613,13,24,40,10,18,30,0.12641181,0.22091456,0.35979775,0.05457301,0.08447046,0.12482143
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-26 00:00:00.000000,0.15217559,0.29713497,0.50641215,12,25,42,10,19,32,0.12593717,0.22613096,0.38095724,0.05297987,0.08326476,0.12306432
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-27 00:00:00.000000,0.16329175,0.29551452,0.51613976,13,24,43,10,19,33,0.12336784,0.23489440,0.40004561,0.05247781,0.08220332,0.12231779
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-28 00:00:00.000000,0.16304586,0.29704518,0.52340842,13,25,44,11,19,34,0.13103147,0.23392472,0.40908104,0.05166031,0.08002668,0.12278670
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-29 00:00:00.000000,0.16264611,0.28974023,0.52912972,13,24,44,11,19,34,0.13083437,0.23430844,0.41545424,0.04936578,0.07897623,0.12428537
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-04-30 00:00:00.000000,0.16543597,0.28985320,0.53468347,13,24,45,10,19,35,0.13059302,0.23035178,0.42112357,0.04652296,0.07720908,0.12834081
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-01 00:00:00.000000,0.16356947,0.28935601,0.54697154,13,24,46,10,19,35,0.13058749,0.23114084,0.42655525,0.04493250,0.07579194,0.12784352
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-02 00:00:00.000000,0.16177268,0.29177633,0.58013179,13,24,48,11,19,36,0.13270692,0.23411858,0.43182574,0.04306666,0.07456063,0.12017097
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-03 00:00:00.000000,0.16117063,0.29380484,0.58933442,13,24,49,11,19,38,0.13213996,0.23480550,0.45964513,0.04274103,0.07295887,0.11402632
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-04 00:00:00.000000,0.16879644,0.30079802,0.57724383,14,25,48,11,19,39,0.13072421,0.23611951,0.46881502,0.04299197,0.07022165,0.10740207
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-05 00:00:00.000000,0.17628646,0.31026826,0.56432617,14,26,47,11,20,38,0.13533413,0.23833626,0.46187343,0.04361411,0.06964345,0.10740766
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-06 00:00:00.000000,0.17955773,0.31723237,0.55576919,15,26,46,11,20,38,0.14158675,0.24807513,0.45181130,0.04415872,0.06776039,0.10740049
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-07 00:00:00.000000,0.17574205,0.31952357,0.54675519,14,26,46,11,21,37,0.14113029,0.25124531,0.44161024,0.04417672,0.06699012,0.10735817
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-08 00:00:00.000000,0.17257268,0.32818085,0.52783586,14,27,44,11,21,37,0.13821225,0.25521165,0.44677759,0.04431775,0.06592917,0.10718534
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-09 00:00:00.000000,0.16791522,0.33448134,0.51394609,14,28,43,11,22,36,0.13770022,0.26192736,0.43581970,0.04190701,0.06488493,0.10149192
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-10 00:00:00.000000,0.16369821,0.33625381,0.50319017,13,28,42,11,22,35,0.13394378,0.26565377,0.42345727,0.04216557,0.06469898,0.10490727
12067,0,USFloridaLafayette,Florida,Lafayette,2021-11-27 16:37:16.559468,2020-05-11 00:00:00.000000,0.16848165,0.33740697,0.48958049,14,28,41,10,22,34,0.13034811,0.26976365,0.41197486,0.04250878,0.06356932,0.10523289
