FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-09 00:00:00.000000,0.00055979,0.00164136,0.00542788,1,3,10,0,1,4,0.00015594,0.00060687,0.00223211,0.34082043,0.48745021,0.63296814
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-10 00:00:00.000000,0.00084386,0.00220351,0.00655436,1,4,12,0,1,4,0.00025035,0.00073513,0.00245317,0.34082032,0.48738440,0.63293554
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-11 00:00:00.000000,0.00116178,0.00286607,0.00771343,2,5,14,0,1,5,0.00033602,0.00094841,0.00280495,0.34082004,0.48725366,0.63287685
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-12 00:00:00.000000,0.00145915,0.00353655,0.00993155,2,6,18,0,2,6,0.00045762,0.00122378,0.00325923,0.34081938,0.48699154,0.63276378
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-13 00:00:00.000000,0.00176624,0.00423985,0.01145329,3,7,21,1,2,8,0.00059591,0.00147006,0.00440127,0.34081776,0.48646230,0.63061144
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-14 00:00:00.000000,0.00209764,0.00499132,0.01301347,3,9,23,1,3,9,0.00075085,0.00180374,0.00529734,0.34081349,0.48538996,0.62328702
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-15 00:00:00.000000,0.00245607,0.00575026,0.01460140,4,10,26,1,3,11,0.00092065,0.00215420,0.00615843,0.34079962,0.48322218,0.61194651
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-16 00:00:00.000000,0.00318612,0.00669778,0.01528130,5,12,28,2,4,12,0.00110481,0.00253847,0.00703766,0.34073560,0.47801983,0.60770163
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-17 00:00:00.000000,0.00400756,0.00770452,0.01596090,7,14,29,2,5,14,0.00139945,0.00300453,0.00768736,0.34033421,0.46865992,0.60722314
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-18 00:00:00.000000,0.00484776,0.00906389,0.01760117,8,16,32,3,6,15,0.00169772,0.00354675,0.00820535,0.33404165,0.45253381,0.59064374
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-19 00:00:00.000000,0.00562522,0.00999952,0.01989213,10,18,36,3,7,17,0.00197304,0.00407910,0.00934820,0.31758072,0.43037106,0.57947082
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-20 00:00:00.000000,0.00640138,0.01080309,0.02194649,11,19,40,4,8,19,0.00227202,0.00467815,0.01068954,0.26844231,0.39970481,0.56037138
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-21 00:00:00.000000,0.00710496,0.01183558,0.02392232,13,21,44,4,9,22,0.00261342,0.00530876,0.01199506,0.23754021,0.36310341,0.51246526
12113,0,USFloridaSantaRosa,Florida,Santa Rosa,2021-10-28 23:13:26.703587,2020-03-22 00:00:00.000000,0.00772581,0.01286304,0.02588411,14,23,47,5,10,24,0.00307477,0.00585942,0.01318790,0.22576545,0.34491185,0.48107180
