FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-09 00:00:00.000000,0.04050074,0.07578546,0.14286259,43,81,153,19,39,83,0.01794119,0.03672346,0.07770618,0.42894983,0.59142334,0.72026474
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-10 00:00:00.000000,0.04991855,0.08614579,0.15508017,53,92,167,22,42,83,0.02044572,0.03900979,0.07748517,0.42894573,0.59136171,0.72020308
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-11 00:00:00.000000,0.05827440,0.09721635,0.16818712,62,104,181,26,45,91,0.02460339,0.04220194,0.08455695,0.42893804,0.59123474,0.72008718
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-12 00:00:00.000000,0.06496757,0.10978827,0.18221318,69,118,196,30,50,99,0.02816471,0.04668773,0.09235577,0.42892362,0.59097354,0.71986938
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-13 00:00:00.000000,0.07217374,0.12311535,0.19721401,77,132,212,33,55,108,0.03082573,0.05162576,0.10080531,0.42889665,0.59052562,0.71946042
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-14 00:00:00.000000,0.07997869,0.13682236,0.21426414,86,147,230,36,64,118,0.03399362,0.06020064,0.10989023,0.42886282,0.59052562,0.71869318
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-15 00:00:00.000000,0.08846669,0.15219831,0.23439845,95,163,252,40,74,128,0.03759115,0.06874667,0.11962369,0.42879732,0.58898171,0.71785046
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-16 00:00:00.000000,0.09838980,0.16944127,0.25157910,106,182,271,44,83,140,0.04159146,0.07742282,0.13001434,0.42859071,0.58778543,0.71736540
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-17 00:00:00.000000,0.10915105,0.18581989,0.27118546,117,200,292,49,93,151,0.04613217,0.08654087,0.14096356,0.40846966,0.57868119,0.71076436
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-18 00:00:00.000000,0.12087323,0.20591449,0.30498377,130,221,328,55,103,164,0.05187442,0.09650847,0.15306460,0.39191265,0.56829615,0.71039602
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-19 00:00:00.000000,0.13363129,0.22760208,0.34446520,143,245,371,63,115,180,0.05896713,0.10725074,0.16771440,0.32953454,0.54584550,0.70817932
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-20 00:00:00.000000,0.14980497,0.24539896,0.37777134,161,264,407,70,127,203,0.06585061,0.11864434,0.18934804,0.30521007,0.52029146,0.69462297
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-21 00:00:00.000000,0.16757276,0.26474187,0.40134652,180,285,432,77,137,228,0.07188404,0.12796705,0.21206419,0.30046331,0.48758893,0.63948675
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-22 00:00:00.000000,0.18200577,0.28132074,0.43971894,196,303,473,83,148,252,0.07787325,0.13800512,0.23476508,0.28945929,0.45341938,0.63791685
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-23 00:00:00.000000,0.19155363,0.29605391,0.46718833,206,318,503,90,159,276,0.08360263,0.14767016,0.25622870,0.28661273,0.40548544,0.63353812
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-24 00:00:00.000000,0.20532043,0.31183525,0.48594595,221,335,523,99,170,296,0.09217126,0.15811043,0.27555570,0.28142702,0.37874483,0.63314094
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-25 00:00:00.000000,0.20578752,0.32168214,0.49940864,221,346,538,110,181,315,0.10213274,0.16803722,0.29276675,0.27467032,0.36455849,0.58583978
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-26 00:00:00.000000,0.21244098,0.33201449,0.50715393,228,357,546,112,190,332,0.10446360,0.17700834,0.30815852,0.25700108,0.34514832,0.47636400
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-27 00:00:00.000000,0.21901139,0.34380614,0.51619690,235,370,556,112,199,346,0.10435912,0.18549416,0.32195356,0.22923973,0.33360289,0.44744459
13015,0,USGeorgiaBartow,Georgia,Bartow,2021-01-21 04:04:04.743622,2020-03-28 00:00:00.000000,0.21890049,0.35377177,0.52784585,235,381,568,113,208,359,0.10574091,0.19376510,0.33413267,0.21151664,0.31684752,0.43822444
