FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-09 00:00:00.000000,0.00493678,0.01750938,0.04803863,1,3,10,0,2,5,0.00280200,0.00942845,0.02648093,0.41640227,0.54474262,0.71225418
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-10 00:00:00.000000,0.00496341,0.01944707,0.05197328,1,4,11,0,2,6,0.00287279,0.01011664,0.02913175,0.41640259,0.54474229,0.71224117
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-11 00:00:00.000000,0.00509916,0.02097401,0.05843764,1,4,13,0,2,7,0.00300663,0.01150113,0.03185019,0.41640306,0.54474139,0.71220814
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-12 00:00:00.000000,0.00527622,0.02272105,0.06662662,1,5,14,0,2,7,0.00321101,0.01288535,0.03469708,0.41640373,0.54473901,0.71212420
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-13 00:00:00.000000,0.00547800,0.02485985,0.07600514,1,5,17,0,3,9,0.00333437,0.01416425,0.04085918,0.41640467,0.54473278,0.71191079
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-14 00:00:00.000000,0.00569969,0.02760960,0.08678368,1,6,19,0,3,10,0.00345551,0.01549586,0.04752459,0.41640598,0.54471665,0.71136741
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-15 00:00:00.000000,0.00593952,0.03038363,0.09915541,1,6,22,0,3,12,0.00359023,0.01720475,0.05490642,0.41640781,0.54462587,0.70998061
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-16 00:00:00.000000,0.01288406,0.03950614,0.11292231,2,8,25,0,4,14,0.00373729,0.01922228,0.06318636,0.41641047,0.54312859,0.70643442
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-17 00:00:00.000000,0.01769355,0.04907246,0.12331079,3,10,27,1,5,15,0.00595342,0.02303133,0.06892722,0.41641489,0.53426840,0.67721804
13033,0,USGeorgiaBurke,Georgia,Burke,2021-03-04 23:37:51.796757,2020-03-18 00:00:00.000000,0.02443054,0.05993619,0.13455850,5,13,30,2,6,16,0.00929846,0.02785767,0.07531193,0.41478475,0.52066592,0.66942498
