FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-09 00:00:00.000000,0.00375016,0.00934882,0.01727397,2,6,11,0,2,5,0.00140356,0.00385364,0.00850064,0.41289285,0.54799836,0.69898755
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-10 00:00:00.000000,0.00492888,0.01190739,0.02118961,3,7,13,1,2,5,0.00163059,0.00408997,0.00841295,0.41289067,0.54799758,0.69892042
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-11 00:00:00.000000,0.00614797,0.01477092,0.02669949,3,9,17,1,3,5,0.00201367,0.00467970,0.00899276,0.41288649,0.54760638,0.69882199
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-12 00:00:00.000000,0.00746298,0.01768235,0.03351295,4,11,21,1,3,6,0.00248916,0.00557056,0.01055113,0.41287819,0.54568216,0.69867771
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-13 00:00:00.000000,0.00887526,0.02037436,0.04075584,5,13,26,1,4,8,0.00306956,0.00688027,0.01334132,0.41038530,0.54281609,0.69846636
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-14 00:00:00.000000,0.01040047,0.02337258,0.04805729,6,15,30,2,5,10,0.00374300,0.00811624,0.01621249,0.41027669,0.54272726,0.69815704
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-15 00:00:00.000000,0.01205298,0.02616448,0.05569386,7,16,35,2,6,12,0.00450820,0.00967837,0.01982639,0.40344072,0.54242056,0.69770475
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-16 00:00:00.000000,0.01432530,0.03045920,0.06005250,9,19,38,3,7,15,0.00533419,0.01127978,0.02376325,0.39989459,0.53547734,0.69700837
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-17 00:00:00.000000,0.01632934,0.03561223,0.06479818,10,22,41,3,8,17,0.00621879,0.01325190,0.02734032,0.38085683,0.52616407,0.69593631
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-18 00:00:00.000000,0.01835180,0.04029105,0.07106544,11,25,45,4,9,19,0.00720504,0.01511908,0.03047042,0.37633875,0.51392496,0.69423193
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-19 00:00:00.000000,0.02031395,0.04491167,0.07931229,13,28,50,5,11,21,0.00828537,0.01720991,0.03400852,0.35332783,0.49861881,0.66897721
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-20 00:00:00.000000,0.02218907,0.04988658,0.08853492,14,32,56,6,12,24,0.00945752,0.01936076,0.03800712,0.31744802,0.48712594,0.66214699
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-21 00:00:00.000000,0.02472984,0.05580116,0.09860540,15,35,63,6,13,27,0.01060772,0.02137163,0.04250405,0.31688998,0.46577985,0.66241035
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-22 00:00:00.000000,0.02784932,0.06068525,0.10891790,17,39,70,7,15,30,0.01167585,0.02387226,0.04737061,0.29288279,0.43912359,0.66155726
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-23 00:00:00.000000,0.03282722,0.06535066,0.11704599,21,42,75,8,17,33,0.01273653,0.02700946,0.05260934,0.28232362,0.41511591,0.64420336
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-24 00:00:00.000000,0.03597263,0.07023083,0.12145372,23,45,78,8,18,37,0.01381185,0.02936737,0.05809194,0.26666507,0.40706845,0.62186706
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-25 00:00:00.000000,0.03957924,0.07514671,0.13070978,25,48,84,10,20,40,0.01647553,0.03197167,0.06351256,0.26290343,0.39327363,0.61187079
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-26 00:00:00.000000,0.04415348,0.07961695,0.14035611,28,51,90,11,22,44,0.01826846,0.03433789,0.06873122,0.26315553,0.37625256,0.59709142
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-27 00:00:00.000000,0.04896320,0.08439791,0.14974042,31,54,96,12,23,45,0.01991256,0.03726937,0.07147656,0.24359945,0.36500417,0.58446048
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-28 00:00:00.000000,0.05180616,0.08932042,0.15887207,33,57,102,13,25,47,0.02154435,0.04026934,0.07366624,0.21842123,0.35314483,0.56415894
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-29 00:00:00.000000,0.05409383,0.09288105,0.16804791,34,59,108,14,27,48,0.02310078,0.04263943,0.07546195,0.21490850,0.34322969,0.53961148
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-30 00:00:00.000000,0.05750051,0.09869301,0.17411767,36,63,111,15,28,49,0.02455160,0.04498834,0.07697947,0.21163481,0.33120340,0.52548697
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-03-31 00:00:00.000000,0.06093482,0.10382556,0.18299184,39,66,117,16,30,51,0.02619063,0.04734586,0.08075878,0.20829218,0.31365317,0.50421946
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-01 00:00:00.000000,0.06607048,0.10950658,0.18925185,42,70,121,18,31,56,0.02866277,0.04941353,0.08778611,0.20250013,0.30903015,0.48111113
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-02 00:00:00.000000,0.07332244,0.11606585,0.19536206,47,74,125,20,33,61,0.03128526,0.05270494,0.09522905,0.19566210,0.30603553,0.48120623
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-03 00:00:00.000000,0.07662015,0.12271778,0.20463100,49,78,131,21,36,65,0.03406396,0.05608393,0.10241414,0.19070360,0.30089303,0.43243600
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-04 00:00:00.000000,0.07877722,0.12947875,0.21191262,50,83,136,23,38,68,0.03695843,0.05916622,0.10615372,0.18439729,0.29080407,0.43111665
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-05 00:00:00.000000,0.07915261,0.13536827,0.21721898,50,87,139,24,40,70,0.03873476,0.06234963,0.10986911,0.17532280,0.28191470,0.41975209
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-06 00:00:00.000000,0.08309215,0.14084398,0.22702004,53,90,145,25,42,73,0.04033101,0.06567888,0.11357788,0.17233257,0.27460337,0.41744731
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-07 00:00:00.000000,0.08688517,0.14322696,0.23692094,55,92,152,26,44,75,0.04173779,0.06881096,0.11740702,0.17152068,0.26191345,0.39986508
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-08 00:00:00.000000,0.09049107,0.14586391,0.24734780,58,93,159,27,45,77,0.04339738,0.07140354,0.12131279,0.17130964,0.25279102,0.39956300
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-09 00:00:00.000000,0.09331430,0.14848648,0.25750683,59,95,165,28,47,80,0.04487789,0.07319637,0.12522040,0.17035904,0.24550124,0.39881176
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-10 00:00:00.000000,0.09578598,0.15409358,0.26818603,61,99,172,29,48,82,0.04569109,0.07576701,0.12903447,0.15826903,0.24484628,0.39647947
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-11 00:00:00.000000,0.09803895,0.15733746,0.27899833,63,101,179,29,50,85,0.04653275,0.07803379,0.13272779,0.14869966,0.24311356,0.37314520
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-12 00:00:00.000000,0.09718951,0.16297735,0.28955421,62,104,186,30,52,87,0.04743920,0.08107537,0.13623437,0.14574185,0.23732770,0.36758154
13103,0,USGeorgiaEffingham,Georgia,Effingham,2021-01-21 03:45:43.314985,2020-04-13 00:00:00.000000,0.09962136,0.16855442,0.29485878,64,108,189,31,53,89,0.04835929,0.08260127,0.13951196,0.14521769,0.23038903,0.36658529
