FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-09 00:00:00.000000,0.00086525,0.00788198,0.02493742,0,2,6,0,1,3,0.00045887,0.00430615,0.01389999,0.37808621,0.48969194,0.68963025
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-10 00:00:00.000000,0.00100445,0.00886167,0.02669815,0,2,6,0,1,3,0.00046644,0.00428812,0.01466458,0.37808615,0.48969190,0.68962995
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-11 00:00:00.000000,0.00112545,0.01004207,0.02989152,0,2,7,0,1,3,0.00049832,0.00450395,0.01517081,0.37808601,0.48969182,0.68962935
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-12 00:00:00.000000,0.00124959,0.01123011,0.03259012,0,2,8,0,1,3,0.00054607,0.00503008,0.01527158,0.37808565,0.48969162,0.68962787
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-13 00:00:00.000000,0.00138129,0.01218920,0.03552294,0,3,9,0,1,4,0.00060416,0.00555208,0.01689585,0.37629341,0.48969111,0.68962279
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-14 00:00:00.000000,0.00152275,0.01350793,0.03871501,0,3,10,0,1,5,0.00066967,0.00583220,0.01919023,0.37050634,0.48968949,0.68959768
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-15 00:00:00.000000,0.00167574,0.01496145,0.04218696,0,3,11,0,1,5,0.00074110,0.00637202,0.02153096,0.36073600,0.48615518,0.68944455
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-16 00:00:00.000000,0.00637758,0.01954899,0.05096031,1,5,13,0,1,6,0.00081777,0.00701307,0.02343023,0.34720972,0.48234252,0.68842804
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-17 00:00:00.000000,0.00831326,0.02454901,0.05975460,2,6,15,0,2,6,0.00177617,0.00842203,0.02664269,0.34623254,0.48021756,0.68160401
13111,0,USGeorgiaFannin,Georgia,Fannin,2021-09-16 08:22:35.383010,2020-03-18 00:00:00.000000,0.01001532,0.03197473,0.06909198,2,8,18,0,2,8,0.00303514,0.01053522,0.03066577,0.34407556,0.45826570,0.65000166
