FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-09 00:00:00.000000,0.00305105,0.01132232,0.04179540,0,3,12,0,1,7,0.00184256,0.00617168,0.02439624,0.35750142,0.48213560,0.61142106
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-10 00:00:00.000000,0.00323620,0.01220050,0.04515484,0,3,13,0,1,7,0.00190375,0.00666190,0.02541844,0.35750012,0.48144969,0.61141465
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-11 00:00:00.000000,0.00343645,0.01318928,0.04871753,1,3,14,0,2,7,0.00200914,0.00733211,0.02682014,0.35749714,0.48097063,0.61140066
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-12 00:00:00.000000,0.00365012,0.01428352,0.05250926,1,4,15,0,2,8,0.00213728,0.00809615,0.02850643,0.35749026,0.47999329,0.61137021
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-13 00:00:00.000000,0.00387606,0.01549279,0.05655616,1,4,16,0,2,9,0.00227879,0.00883891,0.03042964,0.35747444,0.47999317,0.61130431
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-14 00:00:00.000000,0.00411140,0.01679947,0.06088454,1,5,18,0,2,9,0.00242957,0.00962414,0.03256764,0.35743805,0.47999226,0.61116368
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-15 00:00:00.000000,0.00434872,0.01823372,0.06552087,1,5,19,0,3,10,0.00258754,0.01046775,0.03491261,0.35735446,0.47947995,0.61087239
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-16 00:00:00.000000,0.00909409,0.02353701,0.08337507,2,7,24,0,3,11,0.00274969,0.01154062,0.03746511,0.35716315,0.47256852,0.60333709
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-17 00:00:00.000000,0.01227994,0.02992446,0.09615046,3,8,28,1,4,13,0.00463675,0.01406103,0.04377706,0.35073170,0.46622575,0.60317999
13143,0,USGeorgiaHaralson,Georgia,Haralson,2021-07-21 20:00:37.812508,2020-03-18 00:00:00.000000,0.01527633,0.03709754,0.10949792,4,11,32,2,5,15,0.00702313,0.01695397,0.05244870,0.34287983,0.45478572,0.60168772
