FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-09 00:00:00.000000,0.00168140,0.00775435,0.02780429,0,2,7,0,1,4,0.00103530,0.00439806,0.01705446,0.34412830,0.47731865,0.61988036
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-10 00:00:00.000000,0.00188339,0.00878974,0.02957008,0,2,7,0,1,4,0.00100423,0.00455717,0.01624721,0.34412376,0.47698337,0.61986489
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-11 00:00:00.000000,0.00209623,0.00985320,0.03174890,0,2,8,0,1,4,0.00102011,0.00480259,0.01618030,0.34411590,0.47697146,0.61983230
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-12 00:00:00.000000,0.00232412,0.01089692,0.03398158,0,2,8,0,1,4,0.00106496,0.00519415,0.01658008,0.34410231,0.47666744,0.61976376
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-13 00:00:00.000000,0.00257041,0.01179969,0.03629230,0,3,9,0,1,4,0.00112921,0.00578658,0.01733178,0.34407884,0.47618041,0.61962009
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-14 00:00:00.000000,0.00283810,0.01274904,0.03869978,0,3,10,0,1,4,0.00120723,0.00647738,0.01833729,0.34403833,0.47582445,0.60927551
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-15 00:00:00.000000,0.00313005,0.01397088,0.04121938,0,3,10,0,1,5,0.00129559,0.00712835,0.01929186,0.34396858,0.47504335,0.60430428
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-16 00:00:00.000000,0.00681036,0.01960339,0.04719855,1,5,12,0,2,5,0.00139269,0.00768396,0.02048997,0.34384907,0.46695376,0.60126374
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-17 00:00:00.000000,0.00907443,0.02571780,0.05511044,2,6,14,0,2,6,0.00279445,0.00915234,0.02447579,0.33192036,0.46012757,0.59872035
13147,0,USGeorgiaHart,Georgia,Hart,2021-11-27 17:46:54.927727,2020-03-18 00:00:00.000000,0.01082631,0.03026633,0.06549969,2,7,17,0,2,7,0.00358714,0.01117338,0.02787059,0.31753589,0.45090509,0.59818609
