FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-09 00:00:00.000000,0.00723409,0.02997390,0.09553875,0,3,12,0,2,7,0.00414647,0.01583098,0.05711511,0.49058795,0.63602299,0.87910685
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-10 00:00:00.000000,0.00821108,0.03441301,0.10726999,1,4,13,0,2,7,0.00429680,0.01730716,0.05930516,0.49058727,0.63602296,0.87910655
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-11 00:00:00.000000,0.00938172,0.03985718,0.11781111,1,5,15,0,2,8,0.00467851,0.01999628,0.06286236,0.49058596,0.63602290,0.87910602
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-12 00:00:00.000000,0.01068061,0.04598121,0.12999732,1,5,16,0,2,8,0.00529690,0.02249689,0.06777206,0.49058349,0.63602275,0.87910470
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-13 00:00:00.000000,0.01211252,0.05131033,0.14448128,1,6,18,0,3,9,0.00604344,0.02533110,0.07303971,0.49057903,0.63602240,0.87909918
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-14 00:00:00.000000,0.01369723,0.05674297,0.16052049,1,7,20,0,3,10,0.00686256,0.02845675,0.08149741,0.48113986,0.63602145,0.87906517
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-15 00:00:00.000000,0.01545855,0.06283759,0.17829427,2,8,23,1,4,11,0.00776694,0.03171172,0.09079522,0.46728074,0.63601842,0.87882501
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-16 00:00:00.000000,0.02583493,0.08035090,0.21022178,3,10,27,1,4,13,0.00877062,0.03516606,0.10099942,0.45264952,0.63600751,0.87707650
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-17 00:00:00.000000,0.03405677,0.10241739,0.24411217,4,13,31,1,5,15,0.01325282,0.04223620,0.11598649,0.44742523,0.62791605,0.86466767
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-18 00:00:00.000000,0.04347117,0.13007572,0.28499173,5,16,36,2,6,17,0.01742086,0.05259123,0.13863998,0.43873503,0.62038288,0.82811987
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-19 00:00:00.000000,0.05397553,0.16166608,0.32449921,6,20,42,2,8,21,0.02238212,0.06756090,0.16237755,0.42774775,0.61926127,0.82717709
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-20 00:00:00.000000,0.06558743,0.19087335,0.37119614,8,24,48,3,10,25,0.02849139,0.08354730,0.19480132,0.40931950,0.60204486,0.82525065
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-21 00:00:00.000000,0.07843814,0.22381178,0.42266138,10,28,54,4,13,28,0.03511475,0.10326393,0.22253931,0.38407341,0.59657321,0.82137997
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-22 00:00:00.000000,0.09259498,0.25495159,0.49160003,11,33,63,5,15,32,0.04247591,0.12113436,0.25178292,0.36979751,0.57852303,0.78767034
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-23 00:00:00.000000,0.12265658,0.29506532,0.57116135,15,38,73,6,18,37,0.05094531,0.14055114,0.28619138,0.36653734,0.55268307,0.78484154
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-24 00:00:00.000000,0.14794837,0.34535670,0.64689971,19,44,83,8,21,41,0.06730000,0.16311997,0.32008098,0.36746902,0.53924794,0.77450741
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-25 00:00:00.000000,0.17598239,0.40341840,0.70936107,22,52,91,10,24,47,0.08277138,0.19047053,0.36687878,0.37360322,0.53694106,0.75403316
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-26 00:00:00.000000,0.20657473,0.45612119,0.77642875,26,59,100,12,28,54,0.10028714,0.22014285,0.41772384,0.36607957,0.53495535,0.73208610
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-27 00:00:00.000000,0.23987976,0.50580657,0.84814017,31,65,109,15,32,61,0.11955273,0.25126674,0.47155885,0.34854643,0.53027709,0.71777063
13193,0,USGeorgiaMacon,Georgia,Macon,2021-12-12 07:19:05.370199,2020-03-28 00:00:00.000000,0.27771808,0.56403457,0.92424690,35,73,119,18,36,68,0.14048004,0.28089287,0.52859778,0.35037232,0.52557323,0.71768412
