FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-09 00:00:00.000000,0.00187053,0.02110165,0.05880794,0,4,11,0,2,6,0.00095125,0.01156625,0.03462223,0.36682929,0.48231358,0.67846826
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-10 00:00:00.000000,0.00208747,0.02237229,0.06167190,0,4,11,0,2,6,0.00106348,0.01189734,0.03319354,0.36682912,0.48230464,0.67846803
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-11 00:00:00.000000,0.00228189,0.02449963,0.06555304,0,4,12,0,2,6,0.00118017,0.01267745,0.03604111,0.36682872,0.48228736,0.67846738
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-12 00:00:00.000000,0.00248977,0.02810767,0.07007832,0,5,13,0,2,7,0.00130657,0.01422938,0.03977381,0.36682765,0.48225385,0.67846546
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-13 00:00:00.000000,0.00270646,0.03112091,0.07513150,0,5,14,0,3,8,0.00143942,0.01615878,0.04362761,0.36682468,0.48218871,0.67845963
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-14 00:00:00.000000,0.00292878,0.03337619,0.08068186,0,6,15,0,3,9,0.00157599,0.01815788,0.04672811,0.36681606,0.48206183,0.67844136
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-15 00:00:00.000000,0.00314989,0.03490316,0.08503550,0,6,16,0,3,9,0.00171502,0.02028295,0.04884334,0.36679022,0.48181446,0.67838123
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-16 00:00:00.000000,0.00874399,0.04478545,0.09480379,1,8,18,0,4,9,0.00185362,0.02187628,0.05102775,0.36671096,0.48036706,0.67816957
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-17 00:00:00.000000,0.01423264,0.05411725,0.10618143,2,10,20,0,4,10,0.00417577,0.02563055,0.05462869,0.36646438,0.47720285,0.67736252
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-18 00:00:00.000000,0.01851433,0.06311223,0.12188851,3,12,23,1,5,12,0.00839742,0.03112309,0.06468752,0.34316436,0.46771592,0.65215376
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-19 00:00:00.000000,0.02326094,0.07344279,0.14552942,4,14,28,2,7,14,0.01106248,0.03710025,0.07550598,0.31680502,0.45923771,0.64237025
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-20 00:00:00.000000,0.03010084,0.08533663,0.15909086,5,16,30,2,8,15,0.01511060,0.04307959,0.08152935,0.26558905,0.43619507,0.59859684
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-21 00:00:00.000000,0.03722674,0.09438120,0.16962326,7,18,32,3,9,18,0.01974759,0.05100407,0.09440199,0.24496610,0.41361809,0.53993339
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-22 00:00:00.000000,0.04438301,0.10142009,0.18444790,8,19,35,4,10,21,0.02378431,0.05689049,0.11137814,0.23481436,0.39650530,0.51138390
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-23 00:00:00.000000,0.04874930,0.11283397,0.19118833,9,21,36,5,11,22,0.02671402,0.06100331,0.11808193,0.21058258,0.37568079,0.50378917
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-24 00:00:00.000000,0.05654925,0.12458490,0.20844083,10,24,40,5,12,23,0.02843182,0.06680641,0.12306715,0.20066314,0.35332921,0.48961453
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-25 00:00:00.000000,0.06467266,0.13516704,0.22104683,12,26,42,6,14,25,0.03432786,0.07352969,0.13110115,0.19999092,0.33721367,0.48532415
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-26 00:00:00.000000,0.07151639,0.14737213,0.23487445,13,28,45,7,15,26,0.03791892,0.08124165,0.13756144,0.20439008,0.32401421,0.45355784
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-27 00:00:00.000000,0.07842151,0.15537526,0.24586441,15,29,47,8,17,28,0.04328690,0.08936715,0.14964789,0.20383941,0.30746261,0.44542705
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-28 00:00:00.000000,0.08509695,0.16157428,0.26347476,16,31,50,9,18,31,0.04958194,0.09728660,0.16178555,0.19654236,0.29548981,0.44151237
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-29 00:00:00.000000,0.09000351,0.17399763,0.28458873,17,33,54,10,19,32,0.05439206,0.10169582,0.16907510,0.19583718,0.28205547,0.42318172
13211,0,USGeorgiaMorgan,Georgia,Morgan,2021-02-17 17:26:37.813552,2020-03-30 00:00:00.000000,0.10254799,0.18405143,0.30764930,19,35,59,11,21,33,0.05791311,0.10906277,0.17418989,0.18704643,0.27404604,0.39052300
