FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-09 00:00:00.000000,0.00175268,0.00476120,0.00978198,1,5,10,0,1,4,0.00018426,0.00131499,0.00405342,0.45082649,0.64958922,0.82497250
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-10 00:00:00.000000,0.00269501,0.00670692,0.01466953,3,7,16,0,2,5,0.00076167,0.00204357,0.00517720,0.45084746,0.64953635,0.82495523
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-11 00:00:00.000000,0.00354036,0.00880402,0.01976759,3,9,22,1,3,7,0.00126672,0.00312722,0.00701437,0.45088420,0.64945851,0.82491772
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-12 00:00:00.000000,0.00450162,0.01068375,0.02557808,5,11,28,2,4,11,0.00187718,0.00445046,0.01047270,0.45095058,0.64934331,0.82483639
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-13 00:00:00.000000,0.00558193,0.01306655,0.03217196,6,14,35,2,6,15,0.00230993,0.00575393,0.01380865,0.45107410,0.64920717,0.82466148
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-14 00:00:00.000000,0.00679478,0.01544996,0.03966769,7,17,44,3,7,19,0.00291315,0.00692204,0.01763832,0.45130972,0.64920499,0.82429199
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-15 00:00:00.000000,0.00815596,0.01843676,0.04820896,9,20,53,3,9,24,0.00348158,0.00834929,0.02202230,0.45176676,0.64862173,0.82353724
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-16 00:00:00.000000,0.01045189,0.02329166,0.05534479,11,26,61,4,11,30,0.00412152,0.01012016,0.02702926,0.45265404,0.64439069,0.82206898
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-17 00:00:00.000000,0.01293061,0.02722436,0.06374591,14,30,71,6,13,35,0.00540101,0.01201096,0.03185426,0.46382357,0.64185491,0.80596456
13217,0,USGeorgiaNewton,Georgia,Newton,2021-02-23 03:11:47.846251,2020-03-18 00:00:00.000000,0.01571791,0.03212211,0.07303847,17,35,81,7,16,41,0.00708102,0.01437882,0.03699518,0.48142627,0.63670039,0.80528935
