FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-09 00:00:00.000000,0.00278214,0.01272412,0.02812100,0,2,5,0,1,3,0.00168959,0.00740159,0.01829511,0.31128244,0.44024554,0.55258853
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-10 00:00:00.000000,0.00293196,0.01331053,0.03042415,0,2,5,0,1,3,0.00186141,0.00792951,0.01991018,0.30977510,0.44024358,0.55221200
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-11 00:00:00.000000,0.00326329,0.01472603,0.03282045,0,2,6,0,1,4,0.00202361,0.00869529,0.02153166,0.30795250,0.44023612,0.55154849
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-12 00:00:00.000000,0.00363306,0.01656266,0.03558915,0,3,6,0,1,4,0.00218081,0.00972155,0.02311420,0.30577493,0.44020492,0.55038302
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-13 00:00:00.000000,0.00400822,0.01824899,0.03935361,0,3,7,0,2,4,0.00236057,0.01105750,0.02490372,0.30321016,0.44006608,0.54866381
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-14 00:00:00.000000,0.00423637,0.02010499,0.04429241,0,3,8,0,2,5,0.00254982,0.01254434,0.02833041,0.30023962,0.43636075,0.54853775
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-15 00:00:00.000000,0.00448171,0.02212808,0.04985285,0,4,9,0,2,6,0.00274474,0.01396725,0.03213353,0.29686496,0.43581629,0.54800080
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-16 00:00:00.000000,0.01019167,0.02800403,0.06212020,1,5,11,0,2,6,0.00294497,0.01539046,0.03636056,0.29311365,0.43179523,0.54571616
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-17 00:00:00.000000,0.01433808,0.03382343,0.07776228,2,6,14,1,3,8,0.00596856,0.01900474,0.04380719,0.28904124,0.42544347,0.53949600
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-18 00:00:00.000000,0.01834241,0.04117127,0.09505455,3,7,18,1,4,9,0.00852566,0.02321813,0.05248851,0.27299103,0.40969631,0.53343854
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-19 00:00:00.000000,0.02114045,0.04911528,0.11316880,4,9,21,2,5,11,0.01144407,0.02932623,0.06269388,0.24912113,0.39170590,0.52190432
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-20 00:00:00.000000,0.02368947,0.05838283,0.12746096,4,11,24,2,6,13,0.01453262,0.03546371,0.07284334,0.23626986,0.36508776,0.49556357
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-21 00:00:00.000000,0.02611746,0.06828064,0.14125036,4,12,26,3,7,15,0.01641797,0.04199373,0.08295562,0.22810068,0.34430271,0.45760589
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-22 00:00:00.000000,0.02849147,0.07616748,0.15450542,5,14,29,3,9,18,0.01820970,0.04840055,0.09588566,0.21860645,0.31658596,0.42560061
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-23 00:00:00.000000,0.03652759,0.08315959,0.16224591,6,15,30,3,10,20,0.01996134,0.05494897,0.10714230,0.20843943,0.29173840,0.39375706
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-24 00:00:00.000000,0.04641346,0.09282556,0.17592990,8,17,33,4,11,22,0.02393136,0.06053859,0.11792314,0.19534392,0.28054570,0.37060552
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-25 00:00:00.000000,0.05652522,0.10425257,0.19167689,10,19,36,5,12,24,0.03078652,0.06689313,0.12685032,0.18420724,0.27016121,0.36764976
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-26 00:00:00.000000,0.06524150,0.11419021,0.20354245,12,21,38,7,14,25,0.03791292,0.07396226,0.13588690,0.17125907,0.25636894,0.34872562
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-27 00:00:00.000000,0.06873591,0.12590223,0.20756633,13,23,39,8,15,27,0.04497239,0.08063388,0.14444796,0.15262625,0.24380228,0.34584155
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-28 00:00:00.000000,0.07223702,0.13547481,0.21993282,13,25,41,9,16,28,0.05024836,0.08833704,0.15266478,0.15034721,0.23385233,0.33247038
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-29 00:00:00.000000,0.07574686,0.14351141,0.22818979,14,27,43,10,18,30,0.05287685,0.09651633,0.16012690,0.14979262,0.22660555,0.31534477
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-30 00:00:00.000000,0.09211565,0.14898091,0.23713592,17,28,44,10,19,31,0.05550796,0.10182161,0.16724354,0.14783149,0.21683938,0.28381624
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-03-31 00:00:00.000000,0.09313798,0.15548013,0.24540766,17,29,46,12,20,32,0.06713236,0.10602404,0.17109446,0.14608748,0.21312390,0.27686094
13231,0,USGeorgiaPike,Georgia,Pike,2021-10-14 18:05:54.938297,2020-04-01 00:00:00.000000,0.09226475,0.16260547,0.25335403,17,30,48,13,21,32,0.07068977,0.11291918,0.17384440,0.14320784,0.20864035,0.27606362
