FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-09 00:00:00.000000,0.00394831,0.01359248,0.03285328,2,9,23,0,4,13,0.00067001,0.00584333,0.01910224,0.38972741,0.50688336,0.64527412
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-10 00:00:00.000000,0.00593142,0.01631410,0.03610822,4,11,26,1,4,13,0.00157593,0.00665801,0.01860734,0.38972168,0.50649445,0.64527402
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-11 00:00:00.000000,0.00810492,0.01937244,0.03955713,5,14,28,1,5,14,0.00252150,0.00784540,0.02014834,0.38971037,0.50648466,0.64527381
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-12 00:00:00.000000,0.01044979,0.02262086,0.04350822,7,16,31,2,7,15,0.00361772,0.00984008,0.02200456,0.38968746,0.50647535,0.64527331
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-13 00:00:00.000000,0.01274656,0.02597793,0.05450222,9,18,39,3,8,17,0.00463989,0.01167017,0.02402879,0.38963979,0.50644768,0.64527178
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-14 00:00:00.000000,0.01403063,0.03020480,0.06563261,10,21,47,4,9,18,0.00617606,0.01355710,0.02616847,0.38953779,0.50636562,0.64526539
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-15 00:00:00.000000,0.01538370,0.03420064,0.07197940,11,24,52,4,11,23,0.00682560,0.01599720,0.03193647,0.38931355,0.50395093,0.64523272
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-16 00:00:00.000000,0.02132425,0.04182750,0.07851754,15,30,56,5,13,27,0.00750827,0.01865530,0.03833286,0.38693501,0.49916039,0.64504828
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-17 00:00:00.000000,0.02705888,0.04905233,0.08518117,19,35,61,7,15,30,0.01025383,0.02080399,0.04185422,0.36561041,0.49426959,0.64397240
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-18 00:00:00.000000,0.03387744,0.05541825,0.09175604,24,40,66,9,17,32,0.01277187,0.02376553,0.04552158,0.35199262,0.48846554,0.63787448
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-19 00:00:00.000000,0.03983663,0.06267335,0.09793179,28,45,70,11,19,35,0.01616662,0.02725494,0.04924279,0.32802756,0.46965528,0.59747433
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-20 00:00:00.000000,0.04332009,0.06867328,0.10879141,31,49,78,13,23,39,0.01898984,0.03196545,0.05430081,0.31689950,0.45607269,0.58546348
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-21 00:00:00.000000,0.04646677,0.07528158,0.11286208,33,54,81,15,25,41,0.02168123,0.03575250,0.05714918,0.29329532,0.42411528,0.58536530
15007,0,USHawaiiKauai,Hawaii,Kauai,2021-01-21 03:06:00.849441,2020-03-22 00:00:00.000000,0.04976094,0.08249259,0.12380654,35,59,89,17,28,43,0.02412933,0.03879322,0.06084915,0.26804859,0.39622182,0.55798923
