FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-09 00:00:00.000000,0.00187098,0.00997515,0.02906222,0,2,8,0,1,5,0.00122356,0.00564717,0.01949766,0.36883311,0.46705376,0.59937384
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-10 00:00:00.000000,0.00197738,0.01065018,0.03224632,0,3,9,0,1,5,0.00114926,0.00562302,0.01913214,0.36883238,0.46689895,0.59937147
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-11 00:00:00.000000,0.00208816,0.01155718,0.03542907,0,3,10,0,1,5,0.00116107,0.00596099,0.01892823,0.36882944,0.46641976,0.59936551
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-12 00:00:00.000000,0.00220430,0.01247586,0.03870004,0,3,11,0,1,5,0.00121162,0.00627917,0.01990679,0.36881619,0.46521568,0.59935049
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-13 00:00:00.000000,0.00232652,0.01335687,0.04211177,0,3,12,0,2,6,0.00124816,0.00672599,0.02128269,0.36875381,0.46323950,0.59931262
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-14 00:00:00.000000,0.00245535,0.01455972,0.04568672,0,4,13,0,2,6,0.00129783,0.00721474,0.02293947,0.36845642,0.46234534,0.59921701
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-15 00:00:00.000000,0.00259125,0.01597056,0.04961277,0,4,14,0,2,7,0.00135707,0.00767722,0.02480955,0.36704718,0.45919290,0.59897561
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-16 00:00:00.000000,0.00628234,0.02196310,0.06011583,1,6,17,0,2,8,0.00142382,0.00847732,0.02684917,0.35472535,0.45296743,0.59836655
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-17 00:00:00.000000,0.00886793,0.02693239,0.07084668,2,8,21,0,2,9,0.00228795,0.00983621,0.03051649,0.34226345,0.44844386,0.59683598
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-18 00:00:00.000000,0.01049655,0.03214902,0.07949554,3,9,23,0,3,10,0.00319979,0.01239875,0.03493802,0.33416690,0.44455590,0.59091662
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-19 00:00:00.000000,0.01222224,0.03694287,0.08829801,3,11,26,1,4,11,0.00434115,0.01450166,0.04001081,0.30634079,0.42757586,0.57334280
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-20 00:00:00.000000,0.01404761,0.04190332,0.09742940,4,12,29,1,5,13,0.00511696,0.01699804,0.04512471,0.27739599,0.40559509,0.55089800
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-21 00:00:00.000000,0.01593823,0.04791490,0.10614249,4,14,31,1,5,14,0.00614644,0.01947160,0.05010561,0.25740824,0.37190114,0.52123702
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-22 00:00:00.000000,0.01776804,0.05335870,0.11335151,5,15,33,2,6,16,0.00742277,0.02179391,0.05491666,0.24429582,0.34814687,0.49085891
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-23 00:00:00.000000,0.02054947,0.05833147,0.12179074,6,17,36,2,7,17,0.00870317,0.02509944,0.05958289,0.23325405,0.32954786,0.47873490
16051,0,USIdahoJefferson,Idaho,Jefferson,2021-07-21 19:30:35.374857,2020-03-24 00:00:00.000000,0.02326413,0.06231289,0.12961752,6,18,38,3,8,19,0.01016333,0.02801215,0.06458224,0.22948367,0.30851566,0.44365945
