FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-09 00:00:00.000000,0.00027772,0.00523403,0.04083434,0,0,5,0,0,2,0.00016626,0.00288638,0.02284748,0.36148666,0.52861076,0.73707937
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-10 00:00:00.000000,0.00030706,0.00587207,0.04377038,0,0,5,0,0,2,0.00015682,0.00280889,0.02246462,0.36148247,0.52859182,0.73570181
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-11 00:00:00.000000,0.00033603,0.00645804,0.04688315,0,0,6,0,0,2,0.00015802,0.00293252,0.02325755,0.36147461,0.52856070,0.73552884
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-12 00:00:00.000000,0.00036562,0.00700892,0.05018291,0,0,6,0,0,3,0.00016438,0.00316212,0.02467609,0.36145985,0.52850907,0.73529071
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-13 00:00:00.000000,0.00039645,0.00756256,0.05368354,0,0,6,0,0,3,0.00017347,0.00351882,0.02644358,0.36143208,0.52842243,0.73497149
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-14 00:00:00.000000,0.00042895,0.00814997,0.05740031,0,1,7,0,0,3,0.00018418,0.00392762,0.02842698,0.36137975,0.52808896,0.71925666
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-15 00:00:00.000000,0.00046346,0.00887030,0.06134731,0,1,7,0,0,3,0.00019604,0.00437446,0.03056631,0.36056639,0.52705582,0.71565811
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-16 00:00:00.000000,0.00050024,0.00963884,0.06553261,0,1,8,0,0,4,0.00021364,0.00477072,0.03283795,0.35801137,0.52477902,0.69318756
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-17 00:00:00.000000,0.00053952,0.01044010,0.06995453,0,1,9,0,0,4,0.00023352,0.00515491,0.03523465,0.35588077,0.52264133,0.68869357
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-18 00:00:00.000000,0.00058141,0.01108816,0.07461551,0,1,9,0,0,4,0.00025438,0.00560283,0.03775443,0.34605470,0.50903874,0.67926787
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-19 00:00:00.000000,0.00062590,0.01190286,0.07911117,0,1,10,0,0,5,0.00027630,0.00608968,0.04039883,0.32023467,0.48964386,0.66048990
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-20 00:00:00.000000,0.00067265,0.01272808,0.07890191,0,1,10,0,0,5,0.00029933,0.00655944,0.04263742,0.28083221,0.46755482,0.62791358
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-21 00:00:00.000000,0.00072086,0.01364563,0.08132026,0,1,10,0,0,5,0.00032347,0.00700458,0.04577558,0.27156549,0.45485585,0.58716937
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-22 00:00:00.000000,0.00076928,0.01465130,0.08649595,0,1,11,0,0,6,0.00034854,0.00747707,0.04909679,0.27026033,0.42887380,0.54852235
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-23 00:00:00.000000,0.00081669,0.01539077,0.09121148,0,1,11,0,1,6,0.00037418,0.00794785,0.05196381,0.26987026,0.41188809,0.53118377
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-24 00:00:00.000000,0.00086259,0.01616203,0.09474593,0,2,12,0,1,7,0.00039993,0.00831833,0.05437381,0.25303863,0.39459765,0.52823965
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-25 00:00:00.000000,0.00090684,0.01708809,0.09663548,0,2,12,0,1,7,0.00042541,0.00883085,0.05636473,0.25261355,0.39250840,0.54239146
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-26 00:00:00.000000,0.00094882,0.01789939,0.09721577,0,2,12,0,1,7,0.00045034,0.00936866,0.05804546,0.23260232,0.37571142,0.53754511
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-27 00:00:00.000000,0.00098653,0.01844026,0.09704791,0,2,12,0,1,7,0.00047445,0.00993619,0.05952251,0.22721006,0.36607850,0.52186213
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-28 00:00:00.000000,0.00101771,0.01942314,0.09648421,0,2,12,0,1,7,0.00049718,0.01045500,0.06086906,0.22278775,0.35124795,0.50004933
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-29 00:00:00.000000,0.00104260,0.02002116,0.09568614,0,2,12,0,1,7,0.00051767,0.01060835,0.06078702,0.21264730,0.33071955,0.49994264
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-30 00:00:00.000000,0.00106283,0.01994424,0.09468365,0,2,12,0,1,7,0.00053554,0.01085891,0.06041055,0.20239896,0.32007085,0.49728493
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-03-31 00:00:00.000000,0.00108055,0.01991617,0.09339184,0,2,12,0,1,7,0.00055082,0.01111239,0.05987117,0.21014503,0.31186744,0.48824351
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-04-01 00:00:00.000000,0.00118236,0.02043705,0.09163244,0,2,11,0,1,7,0.00059215,0.01132460,0.05916275,0.20992268,0.30835148,0.46763456
16079,0,USIdahoShoshone,Idaho,Shoshone,2021-08-18 11:28:45.917499,2020-04-02 00:00:00.000000,0.00130515,0.02101039,0.09226282,0,2,11,0,1,7,0.00064948,0.01154181,0.05821267,0.19711884,0.30496545,0.45727349
