FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-09 00:00:00.000000,0.00948231,0.02366579,0.05177868,1,2,6,0,1,2,0.00153206,0.00839981,0.02335735,0.28229646,0.44212529,0.68522556
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-10 00:00:00.000000,0.01444973,0.03221752,0.06673838,1,3,8,0,1,2,0.00270361,0.01018692,0.02463361,0.28229351,0.44192902,0.68507691
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-11 00:00:00.000000,0.02017073,0.03975231,0.08009282,2,4,9,0,1,3,0.00494283,0.01330450,0.02779902,0.28228803,0.44157196,0.68473939
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-12 00:00:00.000000,0.02479334,0.04857126,0.09794123,3,5,11,0,2,4,0.00759932,0.01689648,0.03358554,0.28227786,0.44106739,0.68397392
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-13 00:00:00.000000,0.02790405,0.05868159,0.11691026,3,7,14,1,2,5,0.00995737,0.02093976,0.04201823,0.28225885,0.43825833,0.68224347
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-14 00:00:00.000000,0.03112382,0.06959301,0.13876896,3,8,16,1,3,6,0.01165607,0.02565375,0.05181682,0.28222297,0.43077554,0.67836184
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-15 00:00:00.000000,0.03446099,0.08075863,0.16197343,4,9,19,1,3,7,0.01437927,0.03051510,0.06185503,0.28215399,0.42753406,0.66383915
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-16 00:00:00.000000,0.04204339,0.09434679,0.18315097,5,11,22,2,4,8,0.01688702,0.03689715,0.07313481,0.28201674,0.42316916,0.62959177
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-17 00:00:00.000000,0.04976148,0.10654282,0.20334632,6,12,24,2,5,10,0.01973190,0.04357034,0.08491817,0.28172696,0.41658413,0.61646953
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-18 00:00:00.000000,0.05787307,0.12024034,0.22170266,7,14,26,2,6,11,0.02324950,0.04997793,0.09296959,0.26612180,0.41162558,0.57301315
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-19 00:00:00.000000,0.06519910,0.13235147,0.23941529,7,16,29,3,6,12,0.02722210,0.05549512,0.10063838,0.24536433,0.39439741,0.56305317
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-20 00:00:00.000000,0.07156273,0.14802719,0.26756413,8,17,32,3,7,13,0.03153370,0.06214961,0.11454213,0.23709633,0.37455638,0.50818754
16081,0,USIdahoTeton,Idaho,Teton,2021-10-28 21:01:53.763664,2020-03-21 00:00:00.000000,0.07807437,0.16058376,0.29149100,9,19,35,4,8,15,0.03545300,0.06869305,0.12805653,0.22530314,0.34855172,0.47927961
