FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-09 00:00:00.000000,0.00167655,0.01068554,0.06615356,0,1,6,0,0,4,0.00088025,0.00667151,0.04348962,0.33322297,0.45205387,0.65851001
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-10 00:00:00.000000,0.00193189,0.01191046,0.06958913,0,1,7,0,0,4,0.00096443,0.00699793,0.04434678,0.33322286,0.45202979,0.65850986
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-11 00:00:00.000000,0.00220410,0.01319181,0.07322964,0,1,7,0,0,4,0.00111802,0.00759169,0.04496245,0.33322210,0.45197547,0.65850935
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-12 00:00:00.000000,0.00249907,0.01456766,0.07822036,0,1,7,0,0,4,0.00131065,0.00808123,0.04638414,0.33321713,0.45184952,0.65850761
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-13 00:00:00.000000,0.00282165,0.01620736,0.08496988,0,1,8,0,0,5,0.00153623,0.00883211,0.04907899,0.33318435,0.45154788,0.65850168
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-14 00:00:00.000000,0.00325748,0.01800762,0.09225205,0,1,9,0,0,5,0.00179664,0.00980778,0.05271959,0.33296873,0.45079992,0.65848147
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-15 00:00:00.000000,0.00378160,0.01991464,0.10010071,0,2,10,0,1,5,0.00209672,0.01080680,0.05687076,0.32444652,0.44888836,0.65841251
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-16 00:00:00.000000,0.00776307,0.02967910,0.11519760,0,3,11,0,1,6,0.00244288,0.01208656,0.06149273,0.32283137,0.44511497,0.65817724
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-17 00:00:00.000000,0.01096530,0.03634999,0.13082969,1,3,13,0,1,6,0.00389625,0.01556538,0.06828304,0.29812552,0.43601138,0.65737640
16087,0,USIdahoWashington,Idaho,Washington,2021-09-29 17:41:42.483148,2020-03-18 00:00:00.000000,0.01436493,0.04529764,0.14724134,1,4,15,0,2,7,0.00590438,0.01974527,0.07660134,0.28955184,0.42715648,0.65467571
