FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-09 00:00:00.000000,0.00071170,0.01086559,0.06052376,0,0,3,0,0,2,0.00044902,0.00608904,0.03926521,0.38843040,0.52839057,0.77062753
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-10 00:00:00.000000,0.00079902,0.01213750,0.06578527,0,0,4,0,0,2,0.00042624,0.00593534,0.03859267,0.38843033,0.52823338,0.77062534
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-11 00:00:00.000000,0.00090506,0.01339362,0.07156916,0,0,4,0,0,2,0.00043313,0.00614278,0.03898574,0.38843017,0.52796622,0.77061933
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-12 00:00:00.000000,0.00103943,0.01466576,0.07666143,0,0,4,0,0,2,0.00048962,0.00648736,0.03877528,0.38842984,0.52751400,0.77060280
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-13 00:00:00.000000,0.00118459,0.01597691,0.08185956,0,1,5,0,0,2,0.00055849,0.00695323,0.03897044,0.38842914,0.52675376,0.77055739
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-14 00:00:00.000000,0.00134331,0.01734439,0.08771196,0,1,5,0,0,2,0.00063775,0.00750602,0.04191652,0.38842765,0.52549033,0.77043259
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-15 00:00:00.000000,0.00151810,0.01881911,0.09605467,0,1,6,0,0,2,0.00072685,0.00817259,0.04516125,0.38842447,0.52322161,0.77008979
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-16 00:00:00.000000,0.00171146,0.02050740,0.10425868,0,1,6,0,0,3,0.00082606,0.00886237,0.04862250,0.38159720,0.51530345,0.76796391
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-17 00:00:00.000000,0.00192606,0.02221685,0.11210822,0,1,7,0,0,3,0.00093614,0.00962464,0.05207318,0.37651805,0.50436814,0.71482542
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-18 00:00:00.000000,0.00216481,0.02354493,0.12048293,0,1,7,0,0,3,0.00105825,0.01034515,0.05572119,0.36549134,0.49765041,0.69934757
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-19 00:00:00.000000,0.00243105,0.02553394,0.12934106,0,1,8,0,0,3,0.00119382,0.01095453,0.05994765,0.35198926,0.48864662,0.69846198
17047,0,USIllinoisEdwards,Illinois,Edwards,2021-10-28 20:54:38.616345,2020-03-20 00:00:00.000000,0.00272857,0.02753208,0.13843012,0,1,8,0,0,4,0.00134458,0.01189411,0.06400861,0.31834038,0.48171537,0.68855194
