FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-09 00:00:00.000000,0.00238820,0.01390794,0.05192393,0,1,6,0,1,4,0.00133405,0.00852500,0.03627334,0.34872563,0.45161189,0.53856158
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-10 00:00:00.000000,0.00274311,0.01537099,0.05579366,0,1,7,0,1,4,0.00137868,0.00843106,0.03496981,0.34872553,0.45161184,0.53856106
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-11 00:00:00.000000,0.00312277,0.01686438,0.05917099,0,2,7,0,1,4,0.00148754,0.00892866,0.03560927,0.34872532,0.45161173,0.53855921
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-12 00:00:00.000000,0.00353754,0.01834918,0.06238879,0,2,8,0,1,4,0.00169815,0.00968579,0.03731674,0.34872488,0.45161142,0.53855241
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-13 00:00:00.000000,0.00399529,0.02009525,0.06580705,0,2,8,0,1,5,0.00194447,0.01060186,0.03966579,0.34872394,0.45161052,0.53852654
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-14 00:00:00.000000,0.00450293,0.02205386,0.07132540,0,2,9,0,1,5,0.00221958,0.01180903,0.04193505,0.34872193,0.44814748,0.53842692
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-15 00:00:00.000000,0.00506691,0.02419325,0.07856643,0,3,10,0,1,5,0.00252401,0.01295517,0.04480957,0.34871762,0.44391048,0.53804166
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-16 00:00:00.000000,0.01178609,0.03382486,0.08995555,1,4,11,0,1,6,0.00286032,0.01430456,0.04909059,0.34781573,0.44120497,0.53689583
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-17 00:00:00.000000,0.01814116,0.04260216,0.10488129,2,5,13,0,2,6,0.00566931,0.01823373,0.05348632,0.34683816,0.43660066,0.53464093
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-18 00:00:00.000000,0.02364054,0.05289185,0.12244561,3,6,15,1,2,8,0.00899116,0.02270286,0.06232598,0.33663302,0.41548526,0.52921609
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-19 00:00:00.000000,0.02804138,0.06428506,0.14478023,3,8,18,1,3,9,0.01248139,0.02806154,0.06987035,0.29851231,0.39886489,0.51680815
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-20 00:00:00.000000,0.03250255,0.07720050,0.16763929,4,10,21,1,4,10,0.01502843,0.03397068,0.07807856,0.24676736,0.37695765,0.50260986
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-21 00:00:00.000000,0.03696187,0.08834684,0.18927987,4,11,24,2,5,11,0.01773824,0.03981733,0.08875310,0.21492301,0.34423050,0.47341670
17053,0,USIllinoisFord,Illinois,Ford,2021-10-28 20:39:33.556629,2020-03-22 00:00:00.000000,0.04164484,0.10047898,0.20997412,5,13,27,2,6,13,0.02054010,0.04691453,0.10192093,0.20530524,0.31472569,0.43219820
