FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-09 00:00:00.000000,0.00107591,0.00777845,0.02815140,0,3,13,0,2,8,0.00063001,0.00440737,0.01677330,0.36793454,0.48579984,0.62758777
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-10 00:00:00.000000,0.00125163,0.00849608,0.03145366,0,4,15,0,2,8,0.00063796,0.00454137,0.01762488,0.36791476,0.48574704,0.62758771
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-11 00:00:00.000000,0.00142825,0.00918943,0.03496369,0,4,17,0,2,9,0.00067523,0.00491615,0.01878507,0.36787526,0.48570327,0.62758759
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-12 00:00:00.000000,0.00161263,0.00996279,0.03876078,0,4,18,0,2,9,0.00073035,0.00533100,0.02013518,0.36779652,0.48568087,0.62758724
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-13 00:00:00.000000,0.00180050,0.01100624,0.04290436,0,5,20,0,2,10,0.00079770,0.00593397,0.02162348,0.36764008,0.48563016,0.62758594
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-14 00:00:00.000000,0.00200248,0.01211088,0.04744568,0,5,23,0,3,11,0.00090998,0.00657193,0.02323585,0.36733139,0.48551153,0.62757910
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-15 00:00:00.000000,0.00222536,0.01317222,0.05243328,1,6,25,0,3,12,0.00103505,0.00717544,0.02625596,0.36673042,0.48465848,0.62753535
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-16 00:00:00.000000,0.00448554,0.01674137,0.05902153,2,8,28,0,3,14,0.00116977,0.00772727,0.02966772,0.36559038,0.48253212,0.62722870
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-17 00:00:00.000000,0.00710001,0.02101959,0.06685605,3,10,32,0,4,16,0.00194421,0.00910764,0.03404407,0.36374613,0.47782852,0.62501223
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-18 00:00:00.000000,0.00898334,0.02476726,0.07377037,4,12,36,1,5,19,0.00311132,0.01152438,0.03916622,0.36212695,0.47113937,0.61812067
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-19 00:00:00.000000,0.01159728,0.02924010,0.08062888,5,14,39,2,6,22,0.00442103,0.01396995,0.04499424,0.34098933,0.45657996,0.60596934
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-20 00:00:00.000000,0.01445080,0.03386536,0.08494405,7,16,41,2,7,25,0.00544840,0.01604163,0.05150615,0.30993799,0.42128760,0.59035383
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-21 00:00:00.000000,0.01650631,0.03850945,0.08859760,8,18,43,3,8,27,0.00659440,0.01837313,0.05660699,0.27910005,0.38835048,0.56455678
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-22 00:00:00.000000,0.01827349,0.04194266,0.09438365,8,20,46,3,10,29,0.00785316,0.02194626,0.06026827,0.26209218,0.36730521,0.55593618
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-23 00:00:00.000000,0.02251387,0.04708211,0.10272023,11,23,50,4,12,31,0.00921680,0.02523172,0.06370182,0.25506873,0.34869224,0.52330093
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-24 00:00:00.000000,0.02489825,0.05362279,0.11206743,12,26,54,5,13,33,0.01144150,0.02854355,0.06898345,0.25003486,0.33564412,0.48312652
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-25 00:00:00.000000,0.02670144,0.06130937,0.12255942,13,29,59,6,15,36,0.01332475,0.03170721,0.07510421,0.24635192,0.31964574,0.46228984
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-26 00:00:00.000000,0.02849936,0.06739197,0.13608531,13,32,66,7,17,37,0.01504281,0.03548881,0.07748997,0.22633741,0.31002440,0.44698887
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-27 00:00:00.000000,0.03030716,0.07139616,0.14946298,14,34,73,8,18,40,0.01722660,0.03843558,0.08221214,0.18158604,0.29145005,0.42524022
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-28 00:00:00.000000,0.03212380,0.07540047,0.15386159,15,36,75,9,20,44,0.01844771,0.04145032,0.09039971,0.16808310,0.28010445,0.42122713
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-29 00:00:00.000000,0.03391860,0.08006783,0.16447977,16,39,80,9,21,47,0.01966454,0.04467877,0.09744301,0.16594925,0.26855212,0.40185163
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-30 00:00:00.000000,0.04113286,0.08531258,0.16977070,20,41,83,10,23,50,0.02087210,0.04792869,0.10348545,0.16558988,0.25931694,0.38915729
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-03-31 00:00:00.000000,0.04677318,0.09197039,0.17450162,22,44,85,11,25,54,0.02363318,0.05126713,0.11060146,0.16552751,0.25661983,0.37526505
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-01 00:00:00.000000,0.04800204,0.09739524,0.17832408,23,47,87,12,26,56,0.02633428,0.05400088,0.11587817,0.16551758,0.25332806,0.37537194
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-02 00:00:00.000000,0.05341926,0.10223917,0.18123370,26,50,88,13,28,58,0.02840849,0.05729788,0.11946124,0.16552467,0.24547230,0.37288145
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-03 00:00:00.000000,0.05827833,0.10448228,0.18388964,28,51,89,15,29,59,0.03180233,0.05984723,0.12227404,0.15838652,0.23571654,0.36447675
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-04 00:00:00.000000,0.06074209,0.11013031,0.19988425,29,53,97,16,30,60,0.03398681,0.06212686,0.12437432,0.14780678,0.22335662,0.31825110
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-05 00:00:00.000000,0.06340115,0.11163465,0.21596565,31,54,105,17,31,61,0.03551017,0.06368203,0.12650890,0.14164573,0.21416625,0.32212479
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-06 00:00:00.000000,0.06673344,0.11654379,0.22254678,32,57,108,18,31,67,0.03702641,0.06536257,0.13773259,0.13610560,0.20618065,0.33594688
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-07 00:00:00.000000,0.06969422,0.11863401,0.22917618,34,58,112,19,33,71,0.03958691,0.06792286,0.14620319,0.13437283,0.19727775,0.33275009
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-08 00:00:00.000000,0.07262832,0.12015173,0.23548556,35,58,115,20,34,73,0.04267237,0.07045889,0.14981596,0.13127774,0.19151973,0.31472482
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-09 00:00:00.000000,0.07543652,0.12188507,0.24135601,36,59,118,21,35,74,0.04380914,0.07308364,0.15203377,0.12129486,0.18373925,0.30633896
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-10 00:00:00.000000,0.07537019,0.12434991,0.24632754,36,60,120,21,36,74,0.04488007,0.07530460,0.15326406,0.11050971,0.17844104,0.29884835
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-11 00:00:00.000000,0.07692313,0.12615008,0.25012727,37,61,122,21,37,75,0.04459404,0.07616236,0.15357612,0.11594042,0.17839528,0.29284256
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-12 00:00:00.000000,0.07808459,0.12658132,0.25059219,38,61,122,22,38,74,0.04589917,0.07799456,0.15329464,0.11723765,0.17457997,0.28285575
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-13 00:00:00.000000,0.07853539,0.12723683,0.24836642,38,62,121,22,38,75,0.04697485,0.07800517,0.15401249,0.11301036,0.17098026,0.27022964
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-14 00:00:00.000000,0.07753477,0.12868898,0.24871308,37,62,121,23,38,76,0.04747846,0.07849949,0.15740482,0.11120005,0.16768150,0.26751522
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-15 00:00:00.000000,0.07821406,0.13024170,0.24834663,38,63,121,22,38,77,0.04668521,0.07911011,0.15933827,0.11039410,0.16354726,0.26513343
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-16 00:00:00.000000,0.07873849,0.13283290,0.24762933,38,64,121,22,39,78,0.04575964,0.08067253,0.16026774,0.10552801,0.16241772,0.26011946
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-17 00:00:00.000000,0.07741447,0.13374976,0.24698997,37,65,120,21,39,78,0.04477920,0.08164948,0.16055291,0.09958650,0.15749036,0.24956113
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-18 00:00:00.000000,0.07529474,0.13402561,0.24742086,36,65,121,21,40,78,0.04406643,0.08271353,0.16043459,0.08900647,0.15464818,0.23778832
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-19 00:00:00.000000,0.07281156,0.13526901,0.25270316,35,66,123,21,40,78,0.04430056,0.08344208,0.16006068,0.08746304,0.14991697,0.23596854
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-20 00:00:00.000000,0.07128081,0.13512294,0.25097461,34,66,122,21,41,78,0.04437820,0.08394361,0.15951316,0.08732377,0.14578515,0.23156041
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-21 00:00:00.000000,0.06968500,0.13466650,0.24881821,34,65,121,21,40,77,0.04410490,0.08317686,0.15929689,0.08726619,0.14360066,0.22882664
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-22 00:00:00.000000,0.06815066,0.13487329,0.24648261,33,65,120,21,40,77,0.04299407,0.08300537,0.15870337,0.08730976,0.13802173,0.22742147
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-23 00:00:00.000000,0.06663297,0.13517378,0.24381994,32,66,119,20,41,77,0.04135755,0.08465452,0.15802551,0.08721897,0.13748964,0.22610113
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-24 00:00:00.000000,0.06513232,0.13573369,0.24042323,31,66,117,19,41,76,0.03983180,0.08447530,0.15679513,0.08578199,0.13561603,0.21894018
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-25 00:00:00.000000,0.06368600,0.13610267,0.23589066,31,66,115,18,40,76,0.03840240,0.08375751,0.15610994,0.08522252,0.13328533,0.20867901
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-26 00:00:00.000000,0.06183006,0.13476791,0.23237927,30,65,113,18,41,75,0.03722501,0.08580162,0.15467528,0.08494364,0.12956594,0.20370299
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-27 00:00:00.000000,0.06081806,0.13568514,0.22900677,29,66,112,17,41,74,0.03676159,0.08514034,0.15291516,0.08489305,0.12702447,0.19791197
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-28 00:00:00.000000,0.06097386,0.13807905,0.22783402,29,67,111,17,41,73,0.03658949,0.08418473,0.15095549,0.08411527,0.12571406,0.19782042
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-29 00:00:00.000000,0.06126133,0.13696261,0.24143269,29,66,118,17,41,72,0.03658991,0.08490129,0.14884532,0.08244481,0.12479453,0.19278891
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-04-30 00:00:00.000000,0.06150921,0.13280634,0.25461183,30,64,124,17,42,75,0.03649929,0.08592798,0.15534697,0.08056245,0.12359602,0.19027849
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-05-01 00:00:00.000000,0.05959855,0.12899217,0.26429417,29,63,129,17,41,78,0.03539351,0.08487388,0.16139151,0.07880586,0.12382041,0.19183056
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-05-02 00:00:00.000000,0.05774753,0.12707891,0.26092357,28,62,127,16,40,78,0.03430669,0.08224900,0.16083948,0.07475710,0.12029954,0.18218252
17073,0,USIllinoisHenry,Illinois,Henry,2021-03-04 22:56:52.986049,2020-05-03 00:00:00.000000,0.05598283,0.12619337,0.25707741,27,61,125,16,39,78,0.03324667,0.08066405,0.15973065,0.07480089,0.11857568,0.18364024
