FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-09 00:00:00.000000,0.00368380,0.00935945,0.02605152,2,5,14,0,2,6,0.00120386,0.00378304,0.01146180,0.46314850,0.60163394,0.82757302
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-10 00:00:00.000000,0.00532587,0.01245562,0.03121774,3,7,17,0,2,7,0.00152971,0.00440064,0.01319764,0.46314821,0.60163303,0.82757285
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-11 00:00:00.000000,0.00706961,0.01547207,0.03758864,4,8,21,1,3,8,0.00209044,0.00571718,0.01542434,0.46314677,0.60163136,0.82757230
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-12 00:00:00.000000,0.00848435,0.01911020,0.04377911,4,10,24,1,4,10,0.00285511,0.00724074,0.01784224,0.46314077,0.60162822,0.82757058
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-13 00:00:00.000000,0.01006281,0.02282873,0.05056759,5,12,28,1,5,11,0.00351964,0.00899338,0.02015611,0.46311691,0.60162213,0.82756524
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-14 00:00:00.000000,0.01189101,0.02687121,0.05798761,6,15,32,2,6,13,0.00446296,0.01110028,0.02382214,0.46302370,0.60163469,0.82754861
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-15 00:00:00.000000,0.01346036,0.03138865,0.06604726,7,17,37,3,7,15,0.00554638,0.01329353,0.02813484,0.46113964,0.60156777,0.82749734
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-16 00:00:00.000000,0.01572907,0.03604965,0.07279002,8,20,41,3,8,18,0.00678614,0.01561802,0.03222687,0.45766651,0.60101473,0.82302781
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-17 00:00:00.000000,0.01819192,0.04249658,0.07988435,10,24,45,4,10,20,0.00876464,0.01839662,0.03612177,0.45384314,0.59771642,0.81484745
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-18 00:00:00.000000,0.02084310,0.04897752,0.08814159,11,27,50,5,12,22,0.01054125,0.02125750,0.03999115,0.41822784,0.59106411,0.80961755
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-19 00:00:00.000000,0.02370581,0.05588415,0.09903543,13,31,56,6,13,25,0.01218072,0.02418400,0.04577060,0.40137601,0.58056587,0.79483521
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-20 00:00:00.000000,0.02680223,0.06279084,0.11066620,15,35,62,7,15,30,0.01398004,0.02812752,0.05355884,0.38793466,0.57105299,0.79227272
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-21 00:00:00.000000,0.03015288,0.07079399,0.12553515,17,40,71,9,17,35,0.01595656,0.03129965,0.06169239,0.38331423,0.55628201,0.77453172
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-22 00:00:00.000000,0.03377870,0.07863357,0.14524701,19,44,82,10,20,40,0.01810142,0.03549640,0.07158720,0.38195895,0.54605764,0.71434798
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-23 00:00:00.000000,0.03979734,0.08726063,0.16434057,22,49,93,11,22,46,0.02042473,0.04037620,0.08180064,0.38158535,0.53536220,0.69839988
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-24 00:00:00.000000,0.04610904,0.09911702,0.18362754,26,56,104,13,25,52,0.02347934,0.04542509,0.09277173,0.37942090,0.51941311,0.70090555
17077,0,USIllinoisJackson,Illinois,Jackson,2021-01-29 23:46:38.910252,2020-03-25 00:00:00.000000,0.05290926,0.11075341,0.20253657,30,62,114,14,28,59,0.02620328,0.05086112,0.10449144,0.37820924,0.51169829,0.71473759
