FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-09 00:00:00.000000,0.00265778,0.00698400,0.01403220,2,7,15,0,2,5,0.00041579,0.00195652,0.00533160,0.59594681,0.76038873,1.02946450
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-10 00:00:00.000000,0.00400168,0.01030803,0.01787497,4,11,19,1,3,6,0.00106809,0.00293799,0.00630123,0.59594597,0.76038785,1.02946210
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-11 00:00:00.000000,0.00558108,0.01350965,0.02323509,6,14,25,1,4,9,0.00166171,0.00454608,0.00831958,0.59594435,0.76038564,1.02945753
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-12 00:00:00.000000,0.00774286,0.01756445,0.03036624,8,19,33,2,6,12,0.00252315,0.00618431,0.01101375,0.59594124,0.76037988,1.02944885
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-13 00:00:00.000000,0.01023262,0.02160312,0.03875159,11,23,42,3,8,15,0.00332300,0.00817055,0.01397543,0.59593526,0.76036428,1.02943230
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-14 00:00:00.000000,0.01307197,0.02714296,0.04787813,14,29,52,5,11,20,0.00460177,0.01045467,0.01857044,0.59592375,0.76032092,1.02940058
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-15 00:00:00.000000,0.01583712,0.03298314,0.05826529,17,36,64,6,14,24,0.00618289,0.01305032,0.02263338,0.59590145,0.76019789,1.02933904
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-16 00:00:00.000000,0.01983129,0.04050352,0.06552934,21,44,71,8,17,31,0.00790218,0.01602687,0.02836759,0.59585753,0.75960898,1.02921433
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-17 00:00:00.000000,0.02443466,0.04922697,0.07422475,26,54,81,10,21,37,0.00984564,0.01979832,0.03414442,0.59576696,0.75884661,1.02889005
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-18 00:00:00.000000,0.02985425,0.05852050,0.08704870,32,64,95,13,26,44,0.01222123,0.02423991,0.04052553,0.59555851,0.75804727,1.02716553
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-19 00:00:00.000000,0.03646513,0.06912423,0.10279107,40,75,112,16,32,52,0.01506093,0.02963735,0.04810802,0.59497229,0.75176002,1.00486337
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-20 00:00:00.000000,0.04447106,0.08143398,0.11972398,48,89,131,20,39,61,0.01843268,0.03579249,0.05625463,0.58662928,0.74878171,1.00230348
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-21 00:00:00.000000,0.05308509,0.09480227,0.13896469,58,104,152,24,47,71,0.02242680,0.04282395,0.06524809,0.57109771,0.74355573,1.00667246
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-22 00:00:00.000000,0.06328916,0.10984107,0.16015129,69,120,175,29,54,83,0.02715416,0.05003293,0.07582915,0.55402378,0.74542781,0.99470853
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-23 00:00:00.000000,0.07484192,0.12871043,0.18334994,82,141,201,35,64,97,0.03274752,0.05851015,0.08852741,0.51386373,0.72881430,0.96810699
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-24 00:00:00.000000,0.08867244,0.14913222,0.20897319,97,163,229,42,75,113,0.03912210,0.06864347,0.10327448,0.48672136,0.72173772,0.93239136
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-25 00:00:00.000000,0.10438665,0.17066239,0.23667357,114,187,260,51,88,133,0.04655711,0.08054379,0.12124202,0.46419055,0.69247271,0.91422788
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-26 00:00:00.000000,0.12201823,0.19236694,0.26857278,134,211,295,60,103,153,0.05505357,0.09426655,0.13980714,0.46834585,0.67165927,0.90948409
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-27 00:00:00.000000,0.14154790,0.21846820,0.31362327,155,240,344,68,117,174,0.06251452,0.10709367,0.15900885,0.44453050,0.64398258,0.89412025
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-28 00:00:00.000000,0.16299957,0.24970491,0.35089594,179,274,385,77,133,197,0.07097416,0.12165100,0.17941048,0.43488705,0.61940406,0.87891630
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-29 00:00:00.000000,0.18508079,0.28297154,0.39067546,203,310,429,91,150,221,0.08342837,0.13664768,0.20144429,0.43257069,0.60302562,0.87897917
17091,0,USIllinoisKankakee,Illinois,Kankakee,2021-02-17 16:15:15.114092,2020-03-30 00:00:00.000000,0.21032489,0.31872873,0.43792065,231,350,481,107,170,247,0.09801344,0.15538864,0.22514293,0.43030599,0.58495687,0.87247454
