FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-09 00:00:00.000000,0.00373523,0.01600356,0.06642881,0,2,8,0,1,5,0.00207461,0.00950254,0.04075341,0.36614009,0.46374759,0.62792729
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-10 00:00:00.000000,0.00402641,0.01730524,0.06980850,0,2,9,0,1,5,0.00205304,0.00931006,0.03831171,0.36614021,0.46373140,0.62792186
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-11 00:00:00.000000,0.00433113,0.01936625,0.07530065,0,2,10,0,1,5,0.00209806,0.00958475,0.03808718,0.36614058,0.46369554,0.62790126
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-12 00:00:00.000000,0.00465336,0.02071690,0.07982533,0,2,10,0,1,5,0.00218743,0.01001113,0.04007985,0.36614185,0.46361334,0.62782013
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-13 00:00:00.000000,0.00499393,0.02174411,0.08467237,0,2,11,0,1,5,0.00230808,0.01083434,0.04277565,0.36614605,0.46341941,0.62749621
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-14 00:00:00.000000,0.00534931,0.02345533,0.08874839,0,3,11,0,1,6,0.00245205,0.01197011,0.04597661,0.36387109,0.46295191,0.62620122
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-15 00:00:00.000000,0.00570886,0.02561371,0.09130966,0,3,12,0,1,6,0.00261370,0.01277849,0.04955487,0.34744948,0.46181119,0.62108596
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-16 00:00:00.000000,0.01557903,0.03336918,0.10972567,2,4,14,0,1,7,0.00278740,0.01356035,0.05276050,0.34660329,0.45237795,0.61627888
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-17 00:00:00.000000,0.02223219,0.04119073,0.12841428,2,5,17,0,2,7,0.00552970,0.01609197,0.05710631,0.34630273,0.44446828,0.61602500
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-18 00:00:00.000000,0.02766429,0.05246859,0.14737546,3,7,19,1,2,8,0.00802488,0.01961427,0.06247043,0.32592713,0.42117295,0.61356937
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-19 00:00:00.000000,0.03308777,0.05962402,0.16617233,4,7,22,1,3,9,0.01083580,0.02422102,0.06808834,0.29329604,0.39991309,0.56581185
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-20 00:00:00.000000,0.03783119,0.07195380,0.18040536,5,9,24,1,3,10,0.01344641,0.02906655,0.07696894,0.26821708,0.38164521,0.53178923
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-21 00:00:00.000000,0.04399957,0.08432301,0.19360830,5,11,25,2,4,11,0.01585932,0.03387985,0.08781096,0.25266985,0.35457496,0.52251163
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-22 00:00:00.000000,0.05235542,0.09354914,0.20567290,6,12,27,2,5,13,0.01858181,0.03907641,0.09804165,0.22619466,0.33702680,0.50465214
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-23 00:00:00.000000,0.05970317,0.10801259,0.22311433,7,14,29,2,5,14,0.02109238,0.04453385,0.10562650,0.21320729,0.31956033,0.47570646
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-24 00:00:00.000000,0.06651365,0.12030306,0.22721692,8,16,30,3,6,15,0.02441918,0.05001612,0.11419776,0.20062978,0.31306824,0.44263339
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-25 00:00:00.000000,0.07338480,0.13013389,0.24009558,9,17,32,3,7,16,0.02774547,0.05787922,0.12136869,0.18877541,0.30220154,0.43005842
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-26 00:00:00.000000,0.08014688,0.13970909,0.26255620,10,18,35,4,8,16,0.03084081,0.06605746,0.12645658,0.17422674,0.28892188,0.41499035
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-27 00:00:00.000000,0.08513936,0.15311555,0.26952716,11,20,36,4,9,17,0.03420670,0.07353339,0.13056683,0.15682599,0.27103521,0.39638299
17125,0,USIllinoisMason,Illinois,Mason,2021-08-18 10:37:15.422438,2020-03-28 00:00:00.000000,0.08883792,0.16923078,0.28144850,11,22,37,5,10,18,0.03850389,0.08132612,0.13674147,0.15254152,0.25327496,0.37182283
