FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-09 00:00:00.000000,0.00666173,0.03814773,0.20608550,0,1,8,0,0,4,0.00358678,0.01977345,0.10087940,0.40033623,0.55097434,0.70471981
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-10 00:00:00.000000,0.00739969,0.04237745,0.21652995,0,1,9,0,0,4,0.00363221,0.01950673,0.09651366,0.40033623,0.55097384,0.70470086
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-11 00:00:00.000000,0.00816473,0.04550090,0.22719350,0,1,9,0,0,4,0.00381779,0.02054039,0.09946583,0.40033623,0.55097095,0.70463241
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-12 00:00:00.000000,0.00895890,0.04900871,0.23128964,0,2,9,0,0,4,0.00411326,0.02200834,0.10671163,0.40033622,0.55095398,0.70438531
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-13 00:00:00.000000,0.00978660,0.05354397,0.23484598,0,2,9,0,1,4,0.00447118,0.02454274,0.10852922,0.40033619,0.55085331,0.70349611
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-14 00:00:00.000000,0.01065324,0.05812910,0.24570320,0,2,10,0,1,4,0.00486937,0.02684329,0.11512067,0.40033609,0.55025391,0.70033151
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-15 00:00:00.000000,0.01156468,0.06390476,0.26622578,0,2,11,0,1,5,0.00529830,0.02905766,0.12391148,0.40033570,0.54926220,0.69240762
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-16 00:00:00.000000,0.01275419,0.07015597,0.28851931,0,2,12,0,1,5,0.00575480,0.03108659,0.13379211,0.38757906,0.54328606,0.69126850
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-17 00:00:00.000000,0.01426606,0.07578894,0.30489243,0,3,12,0,1,6,0.00623886,0.03368968,0.14471122,0.38681418,0.52112726,0.69122250
17151,0,USIllinoisPope,Illinois,Pope,2021-02-23 02:05:08.739413,2020-03-18 00:00:00.000000,0.01550535,0.08066534,0.32008244,0,3,13,0,1,6,0.00675195,0.03702836,0.15660270,0.35825459,0.50621941,0.69101349
