FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-09 00:00:00.000000,0.00036401,0.00533183,0.01894390,0,2,8,0,1,4,0.00018321,0.00298465,0.01023262,0.38377963,0.54369388,0.72267030
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-10 00:00:00.000000,0.00040183,0.00591118,0.02018826,0,2,8,0,1,4,0.00020004,0.00307869,0.01040344,0.38377982,0.54369275,0.72266832
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-11 00:00:00.000000,0.00044251,0.00652608,0.02140417,0,2,9,0,1,4,0.00022015,0.00321016,0.01086660,0.38378018,0.54368842,0.72266319
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-12 00:00:00.000000,0.00048651,0.00708694,0.02315114,0,3,10,0,1,5,0.00024274,0.00343878,0.01149937,0.38378087,0.54367193,0.72264959
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-13 00:00:00.000000,0.00053426,0.00771466,0.02471497,0,3,10,0,1,5,0.00026755,0.00375405,0.01235790,0.38378221,0.54360897,0.72261179
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-14 00:00:00.000000,0.00058620,0.00833335,0.02637164,0,3,11,0,1,5,0.00029458,0.00402987,0.01329364,0.38378479,0.54144017,0.72249747
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-15 00:00:00.000000,0.00064281,0.00913305,0.02812812,0,4,12,0,1,6,0.00032396,0.00433907,0.01427605,0.38378976,0.53807722,0.72210423
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-16 00:00:00.000000,0.00336639,0.01324642,0.03283611,1,5,14,0,2,6,0.00035592,0.00473053,0.01530308,0.38379914,0.53666634,0.72053013
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-17 00:00:00.000000,0.00515338,0.01700449,0.03765445,2,7,16,0,2,7,0.00111447,0.00581736,0.01722011,0.38381547,0.52412048,0.70204855
17177,0,USIllinoisStephenson,Illinois,Stephenson,2021-10-14 17:28:16.896737,2020-03-18 00:00:00.000000,0.00698531,0.02013710,0.04278191,3,8,19,0,3,8,0.00189469,0.00755218,0.01965456,0.37087593,0.52267311,0.68253743
