FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-09 00:00:00.000000,0.00064735,0.00145048,0.00369501,1,4,10,0,1,4,0.00006792,0.00048739,0.00173972,0.51074272,0.72141610,0.93583931
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-10 00:00:00.000000,0.00102282,0.00215491,0.00466379,2,6,13,0,1,5,0.00017761,0.00064121,0.00202040,0.51074272,0.72138737,0.93583851
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-11 00:00:00.000000,0.00136248,0.00274995,0.00626748,3,7,17,0,2,6,0.00032975,0.00086686,0.00244416,0.51074273,0.72133992,0.93583634
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-12 00:00:00.000000,0.00175987,0.00354843,0.00753768,4,10,21,1,3,8,0.00048604,0.00116025,0.00296949,0.51074275,0.72126181,0.93583050
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-13 00:00:00.000000,0.00222568,0.00432566,0.00920502,6,12,26,1,4,10,0.00067692,0.00150627,0.00358592,0.51074280,0.72113389,0.93581510
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-14 00:00:00.000000,0.00277199,0.00532972,0.01105675,7,15,31,2,5,12,0.00090140,0.00189183,0.00435496,0.51074292,0.72092621,0.93577638
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-15 00:00:00.000000,0.00337552,0.00643459,0.01311925,9,18,37,3,6,14,0.00116050,0.00239896,0.00520568,0.51074327,0.72059379,0.93568880
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-16 00:00:00.000000,0.00431782,0.00792122,0.01516222,12,22,42,4,8,17,0.00145671,0.00295298,0.00621292,0.51074444,0.72007359,0.93554617
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-17 00:00:00.000000,0.00542500,0.00945493,0.01747215,15,26,49,5,10,21,0.00181232,0.00360949,0.00745562,0.51074897,0.71684543,0.93236229
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-18 00:00:00.000000,0.00651912,0.01107749,0.02005742,18,31,56,6,12,25,0.00222747,0.00431748,0.00890509,0.51076930,0.71365923,0.92303782
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-19 00:00:00.000000,0.00786110,0.01283350,0.02290774,22,36,64,7,14,29,0.00270454,0.00520475,0.01028268,0.50877454,0.70554777,0.92062021
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-20 00:00:00.000000,0.00940794,0.01517843,0.02590711,26,42,73,9,17,33,0.00347281,0.00617031,0.01184510,0.51119684,0.69347528,0.91617713
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-21 00:00:00.000000,0.01119399,0.01776359,0.02900931,31,50,81,12,20,39,0.00437574,0.00735405,0.01380744,0.51420460,0.68651509,0.93188375
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-22 00:00:00.000000,0.01305950,0.02037307,0.03307570,36,57,93,14,24,44,0.00509518,0.00866229,0.01587742,0.49552576,0.66659548,0.94386508
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-23 00:00:00.000000,0.01518575,0.02368135,0.03680370,42,66,103,16,28,51,0.00584510,0.01007961,0.01806107,0.48506716,0.66130764,0.94888302
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-24 00:00:00.000000,0.01777165,0.02761414,0.04085639,50,78,115,19,33,57,0.00673358,0.01180940,0.02045925,0.48524296,0.65618809,0.94831963
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-25 00:00:00.000000,0.02120481,0.03153666,0.04692491,59,89,132,21,38,65,0.00776343,0.01361791,0.02308848,0.47839473,0.65455158,0.98176376
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-26 00:00:00.000000,0.02371680,0.03561164,0.05368134,67,100,151,26,44,73,0.00933585,0.01570182,0.02595658,0.48120882,0.65656590,0.98943709
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-27 00:00:00.000000,0.02646339,0.04125685,0.06196761,74,116,175,30,49,82,0.01077483,0.01766736,0.02905844,0.48293449,0.65858468,0.97938449
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-28 00:00:00.000000,0.03012575,0.04696413,0.07188678,85,132,203,34,56,91,0.01206270,0.01998993,0.03238132,0.48037492,0.65065078,0.94480827
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-29 00:00:00.000000,0.03419520,0.05322109,0.08314889,96,150,234,38,63,101,0.01373940,0.02260993,0.03604848,0.47911643,0.64559291,0.92009714
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-30 00:00:00.000000,0.03988624,0.05988056,0.09335039,112,169,263,44,71,118,0.01563286,0.02546881,0.04178055,0.47154576,0.63768854,0.90634958
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-03-31 00:00:00.000000,0.04530163,0.06781905,0.10438238,128,191,294,50,81,136,0.01799846,0.02866734,0.04821509,0.46608246,0.64176377,0.89762654
17201,0,USIllinoisWinnebago,Illinois,Winnebago,2021-01-21 02:55:12.900682,2020-04-01 00:00:00.000000,0.05274630,0.07633652,0.11668006,149,215,329,59,92,156,0.02113823,0.03281412,0.05537519,0.44800725,0.64555948,0.89261363
