FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-09 00:00:00.000000,0.00051499,0.00206456,0.00528261,1,4,10,0,1,5,0.00014087,0.00083745,0.00282893,0.44410381,0.56393589,0.76634882
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-10 00:00:00.000000,0.00083950,0.00285053,0.00617831,1,5,12,0,2,6,0.00022215,0.00097018,0.00301785,0.44410381,0.56393589,0.76626663
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-11 00:00:00.000000,0.00119708,0.00365299,0.00758996,2,7,15,0,2,6,0.00034199,0.00124354,0.00337128,0.44410381,0.56393589,0.76604907
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-12 00:00:00.000000,0.00157813,0.00462835,0.00938609,3,9,19,1,3,7,0.00049861,0.00162801,0.00383669,0.44410382,0.56377827,0.76547542
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-13 00:00:00.000000,0.00193205,0.00563352,0.01163773,3,11,24,1,4,9,0.00067693,0.00204001,0.00452064,0.44410383,0.56304332,0.76524815
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-14 00:00:00.000000,0.00232599,0.00668970,0.01412952,4,13,29,1,5,11,0.00089495,0.00260636,0.00546398,0.44410386,0.56304324,0.76523435
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-15 00:00:00.000000,0.00276563,0.00786745,0.01688938,5,16,34,2,6,13,0.00113169,0.00318410,0.00654367,0.44410394,0.56267803,0.76518825
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-16 00:00:00.000000,0.00452101,0.00948144,0.01916333,9,19,39,2,7,16,0.00139556,0.00373433,0.00776701,0.44136798,0.56113612,0.76502818
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-17 00:00:00.000000,0.00550131,0.01121898,0.02278667,11,23,47,4,9,18,0.00197070,0.00445953,0.00910473,0.43062046,0.56267344,0.76440194
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-18 00:00:00.000000,0.00646884,0.01361459,0.02692856,13,28,55,5,11,22,0.00257865,0.00533856,0.01082092,0.41055474,0.55977713,0.74514510
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-19 00:00:00.000000,0.00755376,0.01621850,0.03114873,15,33,64,6,13,26,0.00330264,0.00653308,0.01290884,0.40264926,0.53956817,0.72539713
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-20 00:00:00.000000,0.00865753,0.01844914,0.03485627,17,38,71,8,16,31,0.00398777,0.00782575,0.01509190,0.39815773,0.53127175,0.71541495
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-21 00:00:00.000000,0.00966029,0.02066045,0.03795822,19,42,78,9,18,34,0.00453570,0.00920740,0.01656878,0.39532964,0.51611395,0.69398314
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-22 00:00:00.000000,0.01120779,0.02292497,0.04131230,23,47,85,10,21,39,0.00513829,0.01032474,0.01917823,0.39346563,0.50054980,0.69408849
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-23 00:00:00.000000,0.01408063,0.02553776,0.04517009,29,52,93,11,24,45,0.00579841,0.01171775,0.02202564,0.38093881,0.48473798,0.68376167
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-24 00:00:00.000000,0.01681430,0.02851410,0.05018749,34,58,103,13,27,51,0.00665763,0.01317235,0.02511236,0.36659919,0.47160294,0.66380811
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-25 00:00:00.000000,0.01978223,0.03161370,0.05604800,40,65,115,15,30,58,0.00775165,0.01470783,0.02847562,0.36488138,0.46603044,0.62446173
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-26 00:00:00.000000,0.02246606,0.03470329,0.06094094,46,71,125,18,34,66,0.00890491,0.01661653,0.03204338,0.35433996,0.45113659,0.60791181
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-27 00:00:00.000000,0.02462253,0.03818626,0.06555909,50,78,135,20,37,73,0.01007065,0.01832711,0.03545215,0.33695371,0.43890856,0.58898497
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-28 00:00:00.000000,0.02698601,0.04214427,0.07049665,55,86,145,23,41,79,0.01144291,0.02014490,0.03868180,0.30773272,0.42843427,0.57534933
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-29 00:00:00.000000,0.02956843,0.04589692,0.07715910,61,94,159,26,45,86,0.01265136,0.02227467,0.04187462,0.29497515,0.42485354,0.56647925
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-30 00:00:00.000000,0.03286919,0.04979123,0.08489617,67,102,175,28,50,93,0.01388355,0.02435007,0.04513284,0.29067043,0.41946149,0.56159199
18039,0,USIndianaElkhart,Indiana,Elkhart,2021-10-28 21:07:11.997725,2020-03-31 00:00:00.000000,0.03488155,0.05542169,0.09326680,71,114,192,31,55,100,0.01530719,0.02669509,0.04848905,0.28975032,0.41726635,0.56077634
