FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-09 00:00:00.000000,0.00569878,0.01663181,0.03878386,4,13,30,1,5,12,0.00136852,0.00652887,0.01660318,0.55912578,0.72165252,0.93136962
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-10 00:00:00.000000,0.00794912,0.02291864,0.04904942,6,17,38,1,5,13,0.00219773,0.00761848,0.01780209,0.55912580,0.72165039,0.93133327
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-11 00:00:00.000000,0.01127260,0.03008052,0.06512981,8,23,50,2,7,16,0.00301908,0.00966131,0.02138552,0.55912585,0.72164428,0.93119573
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-12 00:00:00.000000,0.01490680,0.03793872,0.08255464,11,29,64,3,9,21,0.00450900,0.01253097,0.02697989,0.55912593,0.72154742,0.93066375
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-13 00:00:00.000000,0.01850902,0.04511986,0.10143128,14,35,79,4,12,28,0.00636721,0.01632669,0.03604508,0.55912610,0.72099140,0.92859731
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-14 00:00:00.000000,0.02258436,0.05470356,0.12193705,17,42,95,6,16,34,0.00843898,0.02047773,0.04459290,0.55912642,0.72096865,0.92312958
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-15 00:00:00.000000,0.02719868,0.06577932,0.14434497,21,51,112,8,19,42,0.01071539,0.02445974,0.05433148,0.55912703,0.72010585,0.92293543
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-16 00:00:00.000000,0.03830415,0.07555625,0.15861923,29,59,123,10,22,51,0.01320032,0.02906331,0.06561049,0.55912819,0.71909795,0.92256358
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-17 00:00:00.000000,0.04897688,0.08781292,0.18350960,38,68,143,12,26,61,0.01653417,0.03374542,0.07813118,0.55913037,0.71793853,0.92185521
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-18 00:00:00.000000,0.05772994,0.10115722,0.20687434,45,79,161,15,32,69,0.02001099,0.04136196,0.08894414,0.53730983,0.69925026,0.91467290
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-19 00:00:00.000000,0.06517965,0.11768809,0.24348812,50,91,190,18,37,81,0.02302894,0.04759604,0.10366043,0.53520992,0.68493795,0.89813029
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-20 00:00:00.000000,0.07335714,0.13493272,0.28629705,57,105,223,22,41,96,0.02924730,0.05315836,0.12304343,0.53126587,0.68047478,0.90455436
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-21 00:00:00.000000,0.08399564,0.15211512,0.32399583,65,118,253,25,47,113,0.03261247,0.06030041,0.14528811,0.52787357,0.66896524,0.90670702
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-22 00:00:00.000000,0.09250400,0.17287227,0.35912854,72,135,280,28,54,131,0.03615075,0.07034711,0.16857064,0.48503664,0.65071863,0.89260284
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-23 00:00:00.000000,0.10657472,0.19255004,0.39717831,83,150,310,31,64,147,0.03992486,0.08235939,0.18811399,0.46881262,0.63020594,0.86795853
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-24 00:00:00.000000,0.12213701,0.21715440,0.43868105,95,169,342,34,72,163,0.04410423,0.09217094,0.20913497,0.47359791,0.60997922,0.82919139
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-25 00:00:00.000000,0.13926780,0.24171825,0.48402564,108,188,378,38,79,181,0.04968983,0.10231606,0.23187111,0.46625000,0.59242005,0.82064700
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-26 00:00:00.000000,0.15805883,0.27204800,0.53338455,123,212,416,44,89,200,0.05644848,0.11473494,0.25656524,0.44940541,0.57237802,0.80927206
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-27 00:00:00.000000,0.17861009,0.29878657,0.58648551,139,233,458,49,101,221,0.06384469,0.12939826,0.28341021,0.42263817,0.55046462,0.76971848
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-28 00:00:00.000000,0.19947713,0.32818291,0.64207474,155,256,501,56,113,244,0.07193016,0.14529002,0.31246663,0.39003774,0.53577696,0.75446890
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-29 00:00:00.000000,0.21088109,0.35700172,0.69659207,164,279,544,63,126,268,0.08073517,0.16169898,0.34350272,0.34156694,0.50758018,0.73374819
18059,0,USIndianaHancock,Indiana,Hancock,2021-01-05 23:59:52.287205,2020-03-30 00:00:00.000000,0.22336751,0.38467802,0.73705577,174,300,576,70,139,293,0.09021325,0.17841056,0.37560583,0.31312551,0.48151401,0.71374730
