FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-09 00:00:00.000000,0.00142849,0.00715119,0.02629103,0,2,9,0,1,5,0.00070736,0.00378206,0.01389819,0.39583326,0.50628701,0.67518526
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-10 00:00:00.000000,0.00161560,0.00803488,0.02967887,0,2,10,0,1,4,0.00072813,0.00363823,0.01319516,0.39564269,0.50628395,0.67516733
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-11 00:00:00.000000,0.00180729,0.00880814,0.03299276,0,3,12,0,1,4,0.00079921,0.00374543,0.01324322,0.39525103,0.50627528,0.67513007
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-12 00:00:00.000000,0.00200974,0.00979304,0.03599188,0,3,13,0,1,5,0.00089890,0.00407428,0.01376439,0.39444914,0.50625074,0.67505199
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-13 00:00:00.000000,0.00222784,0.01081946,0.03709834,0,3,13,0,1,5,0.00098033,0.00439099,0.01452391,0.39282033,0.50618131,0.67488707
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-14 00:00:00.000000,0.00242633,0.01180022,0.03825290,0,4,13,0,1,5,0.00101523,0.00487256,0.01551832,0.38956442,0.50466511,0.67262876
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-15 00:00:00.000000,0.00258921,0.01265910,0.04171278,0,4,15,0,1,6,0.00106072,0.00537881,0.01668714,0.38683463,0.50211468,0.66103855
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-16 00:00:00.000000,0.00398891,0.01584731,0.04775408,1,5,17,0,2,6,0.00111488,0.00572338,0.01805275,0.37199257,0.49639242,0.64171041
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-17 00:00:00.000000,0.00563572,0.01948509,0.05415516,2,7,19,0,2,7,0.00132098,0.00643104,0.01988957,0.37150576,0.49339613,0.64066882
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-18 00:00:00.000000,0.00790906,0.02346475,0.06103092,2,8,22,0,2,8,0.00179439,0.00745177,0.02211560,0.34362719,0.48536279,0.63835823
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-19 00:00:00.000000,0.01035993,0.02746507,0.06837387,3,10,24,0,3,9,0.00256382,0.00874698,0.02468226,0.30664310,0.46446819,0.63331860
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-20 00:00:00.000000,0.01285097,0.03149240,0.07828156,4,11,28,1,3,10,0.00332658,0.01020394,0.02756287,0.29346055,0.44207744,0.62283662
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-21 00:00:00.000000,0.01471062,0.03698848,0.09062644,5,13,33,1,4,11,0.00411239,0.01206242,0.03074307,0.26314641,0.41862823,0.61247866
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-22 00:00:00.000000,0.01666426,0.04102490,0.09462513,6,14,34,1,5,13,0.00480169,0.01401372,0.03570643,0.26051790,0.39159178,0.59270881
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-23 00:00:00.000000,0.01896983,0.04672583,0.10790097,6,17,39,2,5,15,0.00555162,0.01589430,0.04128162,0.25243741,0.36621140,0.54883568
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-24 00:00:00.000000,0.02139814,0.05208900,0.11653832,7,19,42,2,6,16,0.00638686,0.01801079,0.04517847,0.24008813,0.34443481,0.52290732
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-25 00:00:00.000000,0.02567599,0.05761605,0.13691490,9,21,50,2,7,19,0.00730384,0.02043861,0.05213702,0.23769015,0.33644693,0.50766994
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-26 00:00:00.000000,0.02834174,0.06255813,0.15699569,10,22,57,3,8,20,0.00829794,0.02284554,0.05669189,0.22349884,0.32914566,0.47373113
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-27 00:00:00.000000,0.03079234,0.06791621,0.17248709,11,24,62,3,9,22,0.01012773,0.02555473,0.06098532,0.19491212,0.31281818,0.45794582
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-28 00:00:00.000000,0.03338192,0.07208109,0.18578986,12,26,67,4,9,23,0.01179965,0.02718206,0.06506291,0.18196415,0.29791944,0.44093580
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-29 00:00:00.000000,0.03607209,0.07633651,0.19773397,13,27,72,4,10,25,0.01285055,0.02957726,0.07054611,0.18119186,0.28912383,0.41746654
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-30 00:00:00.000000,0.04154560,0.08169127,0.19986913,15,29,72,5,11,27,0.01390247,0.03241735,0.07620444,0.18121018,0.27707022,0.39018037
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-03-31 00:00:00.000000,0.04801637,0.08849329,0.20175439,17,32,73,5,12,29,0.01487253,0.03547176,0.08098540,0.17411972,0.26638529,0.37635193
18069,0,USIndianaHuntington,Indiana,Huntington,2021-02-10 11:06:25.842814,2020-04-01 00:00:00.000000,0.05190296,0.09432369,0.20327425,18,34,74,6,13,31,0.01664030,0.03825687,0.08510619,0.16173816,0.25544466,0.36199837
