FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-09 00:00:00.000000,0.00045811,0.00242264,0.01024053,0,1,4,0,0,2,0.00020881,0.00139616,0.00531570,0.34218744,0.47565993,0.61470399
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-10 00:00:00.000000,0.00048952,0.00276065,0.01116589,0,1,5,0,0,2,0.00022180,0.00144825,0.00578857,0.34218735,0.47569744,0.61448262
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-11 00:00:00.000000,0.00052202,0.00306413,0.01188177,0,1,5,0,0,2,0.00024325,0.00150036,0.00633059,0.34218706,0.47573950,0.61408002
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-12 00:00:00.000000,0.00055615,0.00340913,0.01270036,0,1,5,0,0,3,0.00027029,0.00160270,0.00694259,0.34218613,0.47578211,0.61334964
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-13 00:00:00.000000,0.00059212,0.00373331,0.01410566,0,1,6,0,0,3,0.00030145,0.00182412,0.00763464,0.34218305,0.47581216,0.61203040
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-14 00:00:00.000000,0.00062993,0.00407965,0.01563719,0,1,7,0,0,3,0.00033598,0.00208235,0.00822650,0.34217289,0.47260907,0.60966629
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-15 00:00:00.000000,0.00066936,0.00447732,0.01731500,0,2,8,0,1,4,0.00036409,0.00236498,0.00868371,0.34213922,0.47069966,0.60548923
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-16 00:00:00.000000,0.00259647,0.00684295,0.02153990,1,3,9,0,1,4,0.00038534,0.00258328,0.00947666,0.34202738,0.45574332,0.60282865
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-17 00:00:00.000000,0.00352705,0.00913831,0.02433573,1,4,11,0,1,5,0.00089265,0.00320579,0.01112918,0.33879455,0.45324769,0.60229065
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-18 00:00:00.000000,0.00461542,0.01165856,0.02743897,2,5,12,0,1,5,0.00160329,0.00410780,0.01292908,0.32239129,0.44375885,0.59697850
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-19 00:00:00.000000,0.00579111,0.01427193,0.03089037,2,6,14,1,2,6,0.00239318,0.00549082,0.01505458,0.29980646,0.42369478,0.59689337
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-20 00:00:00.000000,0.00706514,0.01694393,0.03473156,3,7,16,1,3,8,0.00294562,0.00703813,0.01760179,0.28289120,0.39722014,0.59550693
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-21 00:00:00.000000,0.00844427,0.01989855,0.03896357,3,9,18,1,3,9,0.00357329,0.00860998,0.02035919,0.27149877,0.36937653,0.59290756
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-22 00:00:00.000000,0.00993211,0.02260458,0.04362493,4,10,20,2,4,10,0.00433222,0.01022898,0.02323912,0.26050768,0.34104675,0.58022487
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-23 00:00:00.000000,0.01168916,0.02524895,0.05139547,5,11,23,2,5,12,0.00519911,0.01191622,0.02608475,0.22706381,0.31954918,0.53932405
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-24 00:00:00.000000,0.01296793,0.02869472,0.05926493,5,13,27,2,6,13,0.00618114,0.01360200,0.02869130,0.21454988,0.30084361,0.49439428
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-25 00:00:00.000000,0.01446116,0.03187782,0.06638526,6,14,30,3,7,14,0.00728349,0.01550681,0.03104943,0.20948675,0.28455518,0.44415184
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-26 00:00:00.000000,0.01589875,0.03589098,0.07125976,7,16,32,3,8,16,0.00853008,0.01748767,0.03492771,0.18820824,0.27136838,0.40432294
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-27 00:00:00.000000,0.01782034,0.04009223,0.07632731,8,18,35,4,8,18,0.00963993,0.01931703,0.03988936,0.17283776,0.25924391,0.39037171
18099,0,USIndianaMarshall,Indiana,Marshall,2021-12-09 23:48:50.592224,2020-03-28 00:00:00.000000,0.01965741,0.04405653,0.08359888,9,20,38,5,10,20,0.01090893,0.02197516,0.04365026,0.16205262,0.24186927,0.38103810
