FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-09 00:00:00.000000,0.00717037,0.02115850,0.05198437,1,4,10,0,1,5,0.00124614,0.00843689,0.02769045,0.33877356,0.48565773,0.66785893
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-10 00:00:00.000000,0.00929336,0.02764102,0.06180446,1,5,12,0,1,5,0.00218738,0.00930947,0.02684740,0.33877356,0.48559324,0.66775464
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-11 00:00:00.000000,0.01159510,0.03209486,0.07313230,2,6,15,0,2,6,0.00362578,0.01130547,0.02993176,0.33877356,0.48546745,0.66747221
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-12 00:00:00.000000,0.01400737,0.03943916,0.08530897,2,8,17,0,2,7,0.00441394,0.01374530,0.03483021,0.33877355,0.48521411,0.66670896
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-13 00:00:00.000000,0.01648969,0.04706096,0.09850835,3,9,20,1,3,8,0.00588458,0.01643618,0.04064490,0.33877349,0.48458911,0.66465973
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-14 00:00:00.000000,0.02015234,0.05352632,0.11285884,4,11,23,1,4,9,0.00767764,0.01966367,0.04723021,0.33877314,0.48318784,0.65925574
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-15 00:00:00.000000,0.02419747,0.05923430,0.12839796,5,12,26,2,4,11,0.00964157,0.02342307,0.05453758,0.33877095,0.48064374,0.64566331
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-16 00:00:00.000000,0.03277002,0.06887342,0.14233858,6,14,29,2,5,13,0.01142461,0.02653454,0.06250585,0.33875746,0.47715242,0.63227957
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-17 00:00:00.000000,0.03908594,0.08196986,0.15772555,8,17,32,2,6,14,0.01359603,0.03013950,0.07046962,0.33867667,0.47114243,0.63025618
18119,0,USIndianaOwen,Indiana,Owen,2021-10-28 19:28:30.213922,2020-03-18 00:00:00.000000,0.04573887,0.09081969,0.17378680,9,18,36,3,7,15,0.01621935,0.03524848,0.07481808,0.31319564,0.45841292,0.59369620
