FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-09 00:00:00.000000,0.01552635,0.04921945,0.15588877,1,3,11,0,1,6,0.00308921,0.01989254,0.09057909,0.33353661,0.50109199,0.70147130
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-10 00:00:00.000000,0.02178150,0.06338486,0.17211284,1,4,12,0,1,6,0.00515155,0.02172601,0.08693300,0.33353666,0.50086345,0.70147128
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-11 00:00:00.000000,0.02911506,0.07968884,0.18956569,2,5,13,0,1,6,0.00842286,0.02515711,0.08816818,0.33353679,0.50048786,0.70147123
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-12 00:00:00.000000,0.03548051,0.09280946,0.21282633,2,6,15,0,2,6,0.01060586,0.03122283,0.09322057,0.33353709,0.49985062,0.70147100
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-13 00:00:00.000000,0.04317143,0.11082897,0.24375920,3,7,17,1,2,7,0.01439763,0.03701515,0.10066080,0.33353783,0.49873477,0.70147000
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-14 00:00:00.000000,0.05038794,0.12947331,0.27662218,3,9,19,1,3,7,0.01589454,0.04415543,0.11048845,0.33353962,0.49658415,0.70146546
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-15 00:00:00.000000,0.05774671,0.14978850,0.31727884,4,10,22,1,3,8,0.01935162,0.05220301,0.12168134,0.33354390,0.49041117,0.70143861
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-16 00:00:00.000000,0.06137078,0.15850956,0.33808710,4,11,24,1,4,10,0.02333453,0.06079872,0.14127457,0.33355417,0.48004330,0.70075406
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-17 00:00:00.000000,0.06555320,0.16760960,0.35114649,4,11,25,1,4,11,0.02670058,0.06916621,0.15840376,0.33357880,0.47315160,0.67126573
19001,0,USIowaAdair,Iowa,Adair,2021-02-10 10:37:43.327135,2020-03-18 00:00:00.000000,0.07005388,0.17866743,0.37248084,5,12,26,2,5,12,0.02967749,0.07581688,0.16892502,0.30616454,0.45655917,0.64557363
