FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-09 00:00:00.000000,0.00414583,0.01241642,0.04120185,0,2,7,0,1,4,0.00203246,0.00768616,0.02591081,0.33321182,0.47155758,0.63225354
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-10 00:00:00.000000,0.00476600,0.01328176,0.04514795,0,2,7,0,1,4,0.00211201,0.00764903,0.02476071,0.33323552,0.47154271,0.63224874
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-11 00:00:00.000000,0.00500717,0.01455809,0.04847107,0,2,8,0,1,4,0.00227502,0.00765607,0.02678264,0.33327768,0.47150953,0.63223721
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-12 00:00:00.000000,0.00523323,0.01593017,0.05192600,0,2,8,0,1,4,0.00248642,0.00804389,0.02739964,0.33335238,0.47143550,0.63219017
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-13 00:00:00.000000,0.00547876,0.01752576,0.05554086,0,2,9,0,1,4,0.00254103,0.00856195,0.02807097,0.33348395,0.47127053,0.63188118
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-14 00:00:00.000000,0.00574272,0.01890459,0.05933751,0,3,10,0,1,4,0.00262632,0.00949936,0.02892428,0.33371326,0.46941597,0.63127689
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-15 00:00:00.000000,0.00610472,0.02044884,0.06333216,1,3,10,0,1,5,0.00283436,0.01017145,0.03087404,0.33410618,0.46830824,0.61401867
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-16 00:00:00.000000,0.01210310,0.02765062,0.07582944,2,4,12,0,1,5,0.00306779,0.01074899,0.03320223,0.29329948,0.45781115,0.59481772
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-17 00:00:00.000000,0.01659792,0.03554969,0.08853072,2,6,15,0,2,6,0.00517393,0.01271973,0.03749252,0.28837396,0.44677274,0.59467601
19055,0,USIowaDelaware,Iowa,Delaware,2021-10-28 18:43:17.495699,2020-03-18 00:00:00.000000,0.02131677,0.04170304,0.10377509,3,7,17,1,2,7,0.00667364,0.01586303,0.04329033,0.27588744,0.42863517,0.59424159
