FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-09 00:00:00.000000,0.00222098,0.00895983,0.03513060,0,1,5,0,0,3,0.00123956,0.00524106,0.02158462,0.35442663,0.47317039,0.66929913
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-10 00:00:00.000000,0.00258148,0.00974534,0.04024633,0,1,6,0,0,3,0.00123783,0.00537367,0.02142784,0.35442662,0.47316745,0.66929911
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-11 00:00:00.000000,0.00296060,0.01050127,0.04543835,0,1,7,0,0,3,0.00133294,0.00566069,0.02267819,0.35442659,0.47315993,0.66929906
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-12 00:00:00.000000,0.00321812,0.01159995,0.05092558,0,1,8,0,1,4,0.00149977,0.00607221,0.02431066,0.35442649,0.47314055,0.66929887
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-13 00:00:00.000000,0.00345968,0.01275067,0.05683565,0,2,9,0,1,4,0.00159341,0.00637635,0.02654157,0.35442616,0.47309051,0.66929815
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-14 00:00:00.000000,0.00369161,0.01382614,0.06323529,0,2,10,0,1,4,0.00169014,0.00692802,0.02924234,0.35442506,0.47303456,0.66929536
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-15 00:00:00.000000,0.00391544,0.01496139,0.07014133,0,2,11,0,1,5,0.00179296,0.00759017,0.03234749,0.35442137,0.47290437,0.66924522
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-16 00:00:00.000000,0.00730056,0.02290620,0.08715663,1,3,14,0,1,6,0.00189820,0.00835160,0.03582018,0.35440931,0.47052372,0.66910386
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-17 00:00:00.000000,0.01036392,0.03132226,0.10391674,1,5,17,0,1,7,0.00285193,0.01040538,0.04162575,0.33588471,0.46614436,0.66873030
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-18 00:00:00.000000,0.01409375,0.03892982,0.12039187,2,6,20,0,2,8,0.00368360,0.01336879,0.04908383,0.31419432,0.45703734,0.66733752
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-19 00:00:00.000000,0.01783053,0.04768166,0.14240362,3,8,23,0,2,9,0.00520278,0.01657570,0.05843579,0.27476896,0.43256322,0.64139453
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-20 00:00:00.000000,0.02177590,0.05528083,0.16262066,3,9,27,1,3,11,0.00702204,0.02047764,0.07054582,0.25356415,0.40109784,0.60662210
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-21 00:00:00.000000,0.02571597,0.06359127,0.18366916,4,10,30,1,4,13,0.00903406,0.02492120,0.08098144,0.22931562,0.37167236,0.53141069
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-22 00:00:00.000000,0.02837480,0.07208545,0.20554057,4,12,34,1,5,15,0.01119698,0.03056539,0.09231569,0.21706419,0.34055878,0.49557285
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-23 00:00:00.000000,0.02934469,0.07418420,0.21855596,4,12,36,2,6,17,0.01348559,0.03608253,0.10437505,0.20855199,0.32663394,0.47502694
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-24 00:00:00.000000,0.03039032,0.07736037,0.23233112,5,13,39,2,6,19,0.01525367,0.04040868,0.11494363,0.19256834,0.30666558,0.45899368
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-25 00:00:00.000000,0.03147088,0.07880644,0.24615651,5,13,41,2,7,20,0.01666775,0.04371890,0.12414419,0.17538277,0.29346983,0.45119643
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-26 00:00:00.000000,0.03258574,0.08037018,0.25940960,5,13,43,3,7,22,0.01784525,0.04590199,0.13206203,0.17469771,0.27823419,0.43950571
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-27 00:00:00.000000,0.03372713,0.08334095,0.27177692,5,14,45,3,8,23,0.01886199,0.04771509,0.13977672,0.16320970,0.26166062,0.41328810
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-28 00:00:00.000000,0.03484877,0.08626826,0.28340370,5,14,47,3,8,24,0.01976385,0.04986205,0.14818648,0.15818806,0.24891982,0.38007029
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-29 00:00:00.000000,0.03578394,0.08975953,0.28819232,6,15,48,3,8,26,0.02056463,0.05140411,0.15612421,0.15459371,0.22946393,0.35506163
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-30 00:00:00.000000,0.03901958,0.09929401,0.30763727,6,16,51,3,8,27,0.02111289,0.05265062,0.16358935,0.15302949,0.21840940,0.34181807
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-03-31 00:00:00.000000,0.04455836,0.10936995,0.32149248,7,18,54,3,9,28,0.02244462,0.05503869,0.17129289,0.15134340,0.21173720,0.33493957
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-01 00:00:00.000000,0.05214764,0.11945243,0.33464716,8,20,56,4,9,30,0.02442099,0.05924437,0.17916738,0.14712610,0.20319367,0.32774195
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-02 00:00:00.000000,0.05982851,0.12674670,0.34341916,10,21,57,4,10,31,0.02673684,0.06254620,0.18702189,0.12845714,0.19724052,0.30891995
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-03 00:00:00.000000,0.06569324,0.13547479,0.35679989,11,22,60,4,11,32,0.02954815,0.06795594,0.19472092,0.12439074,0.19554691,0.29702607
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-04 00:00:00.000000,0.07023863,0.14329837,0.36293735,11,24,61,5,12,34,0.03242888,0.07220930,0.20750314,0.12389069,0.18689884,0.29523837
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-05 00:00:00.000000,0.07248543,0.15100100,0.37361029,12,25,62,5,12,37,0.03539370,0.07673898,0.22183088,0.12310983,0.17369498,0.27786606
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-06 00:00:00.000000,0.07371365,0.15948142,0.37885154,12,26,63,6,13,38,0.03786122,0.08173487,0.23147535,0.12144769,0.16435813,0.26901047
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-07 00:00:00.000000,0.07477333,0.16707869,0.38339831,12,28,64,6,14,39,0.04040177,0.08651522,0.23475246,0.10990001,0.15867955,0.24993506
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-08 00:00:00.000000,0.07544549,0.17781633,0.38701254,12,29,65,7,15,39,0.04196292,0.09243061,0.23714787,0.10118395,0.15550393,0.23505755
19083,0,USIowaHardin,Iowa,Hardin,2021-09-29 16:24:38.618821,2020-04-09 00:00:00.000000,0.07958761,0.18769374,0.38925386,13,31,65,7,16,40,0.04302562,0.09797471,0.23885839,0.09732734,0.15083929,0.22684570
