FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-09 00:00:00.000000,0.00335584,0.03658228,0.14009992,0,2,8,0,1,3,0.00154662,0.01990525,0.06232483,0.41927205,0.53198804,0.68177811
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-10 00:00:00.000000,0.00397529,0.04041446,0.15627308,0,2,9,0,1,3,0.00152547,0.01885381,0.05902987,0.41927203,0.53195431,0.68177796
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-11 00:00:00.000000,0.00456465,0.04405898,0.17205511,0,2,10,0,1,3,0.00161603,0.01917129,0.06160077,0.41927200,0.52880083,0.68177757
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-12 00:00:00.000000,0.00514498,0.04855040,0.18075542,0,2,10,0,1,3,0.00177366,0.02074507,0.06514283,0.41927188,0.52819660,0.68177649
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-13 00:00:00.000000,0.00573118,0.05303402,0.18917187,0,3,11,0,1,4,0.00197290,0.02251480,0.06949160,0.41927151,0.52767096,0.68177345
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-14 00:00:00.000000,0.00633438,0.05757697,0.19748527,0,3,11,0,1,4,0.00220737,0.02464101,0.07591437,0.41927036,0.52747985,0.68176456
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-15 00:00:00.000000,0.00696335,0.06228049,0.20581934,0,3,12,0,1,4,0.00247099,0.02697576,0.08320332,0.41926670,0.52594105,0.68173776
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-16 00:00:00.000000,0.00762524,0.06716411,0.21465112,0,4,12,0,1,5,0.00275446,0.02946357,0.09127203,0.41648665,0.52076829,0.68165493
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-17 00:00:00.000000,0.00832567,0.07228041,0.23414607,0,4,13,0,1,5,0.00305720,0.03185059,0.10006217,0.38959676,0.51290798,0.68139397
19143,0,USIowaOsceola,Iowa,Osceola,2021-03-04 21:49:26.385084,2020-03-18 00:00:00.000000,0.00906770,0.07754590,0.25422829,0,4,15,0,2,6,0.00337806,0.03468052,0.10950353,0.38247047,0.50647921,0.67874827
