FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-09 00:00:00.000000,0.00055360,0.00983396,0.07059868,0,0,6,0,0,3,0.00031661,0.00544607,0.03810921,0.39130168,0.52092233,0.71368307
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-10 00:00:00.000000,0.00059522,0.01086264,0.07481785,0,0,6,0,0,3,0.00031380,0.00526887,0.03783912,0.39130165,0.52092197,0.71368306
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-11 00:00:00.000000,0.00064045,0.01196452,0.07921088,0,1,7,0,0,3,0.00032168,0.00552637,0.03847141,0.39130159,0.51932071,0.71368304
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-12 00:00:00.000000,0.00068998,0.01315256,0.08380436,0,1,7,0,0,3,0.00033664,0.00605910,0.03963676,0.39130146,0.51925046,0.71368301
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-13 00:00:00.000000,0.00074430,0.01443771,0.08802785,0,1,7,0,0,3,0.00035673,0.00655813,0.04111800,0.39033798,0.51908613,0.71368291
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-14 00:00:00.000000,0.00080375,0.01562336,0.09168800,0,1,8,0,0,3,0.00038093,0.00706205,0.04278912,0.38860122,0.51713494,0.71368247
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-15 00:00:00.000000,0.00086860,0.01685398,0.09540505,0,1,8,0,0,3,0.00040874,0.00765637,0.04457830,0.38839564,0.51626110,0.71367966
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-16 00:00:00.000000,0.00093901,0.01839594,0.09918632,0,1,8,0,0,4,0.00043990,0.00849036,0.04644556,0.38819448,0.51431395,0.71365914
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-17 00:00:00.000000,0.00101503,0.02025398,0.10303876,0,1,9,0,0,4,0.00047433,0.00936895,0.04836927,0.36228908,0.50200425,0.71350724
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-18 00:00:00.000000,0.00109659,0.02190758,0.10697038,0,1,9,0,0,4,0.00051197,0.01019501,0.05033852,0.35707018,0.48527778,0.68163037
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-19 00:00:00.000000,0.00118348,0.02394208,0.11098653,0,2,9,0,0,4,0.00055276,0.01124915,0.05234887,0.32161036,0.47725543,0.65770780
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-20 00:00:00.000000,0.00127548,0.02584868,0.11507562,0,2,10,0,1,5,0.00059666,0.01206863,0.05652041,0.29560401,0.46152401,0.64404168
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-21 00:00:00.000000,0.00137240,0.02745396,0.11916980,0,2,10,0,1,5,0.00064354,0.01296726,0.06136558,0.28301590,0.43598337,0.61707520
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-22 00:00:00.000000,0.00147411,0.02872203,0.12513198,0,2,11,0,1,5,0.00069332,0.01399448,0.06623332,0.27786893,0.41245542,0.60887419
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-23 00:00:00.000000,0.00160090,0.03003577,0.12998520,0,2,11,0,1,6,0.00074590,0.01509127,0.07083002,0.26957912,0.39742542,0.60787275
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-24 00:00:00.000000,0.00174486,0.03192325,0.13394653,0,2,11,0,1,6,0.00080119,0.01608691,0.07495021,0.24918312,0.37874314,0.60678070
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-25 00:00:00.000000,0.00189775,0.03422525,0.13859686,0,3,12,0,1,6,0.00085909,0.01685886,0.07856277,0.23453019,0.36748357,0.60629030
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-26 00:00:00.000000,0.00206435,0.03654821,0.14541461,0,3,12,0,1,7,0.00091961,0.01763905,0.08174585,0.21578195,0.35764669,0.59946512
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-27 00:00:00.000000,0.00224617,0.03833591,0.15397480,0,3,13,0,1,7,0.00098278,0.01863321,0.08536304,0.19802446,0.33756768,0.58298213
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-28 00:00:00.000000,0.00244424,0.03989575,0.16067006,0,3,14,0,1,7,0.00105327,0.02004213,0.08874008,0.19227684,0.33216454,0.58321825
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-29 00:00:00.000000,0.00265980,0.04186274,0.16555641,0,3,14,0,1,8,0.00114765,0.02142750,0.09044303,0.19051767,0.32778370,0.58314913
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-30 00:00:00.000000,0.00289422,0.04391531,0.17024364,0,3,15,0,1,8,0.00124982,0.02223649,0.09340026,0.19016146,0.32403398,0.58269975
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-03-31 00:00:00.000000,0.00314892,0.04611016,0.17490856,0,4,15,0,2,8,0.00136064,0.02326872,0.09704852,0.18872636,0.30862284,0.58157081
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-01 00:00:00.000000,0.00342471,0.04813824,0.17953593,0,4,15,0,2,8,0.00148092,0.02399488,0.10048248,0.17408893,0.29693379,0.56720748
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-02 00:00:00.000000,0.00372249,0.04898978,0.18396366,0,4,16,0,2,9,0.00161131,0.02520737,0.10375987,0.16928883,0.29196614,0.52284863
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-03 00:00:00.000000,0.00404449,0.05042609,0.18788933,0,4,16,0,2,9,0.00175239,0.02697819,0.10689133,0.16437815,0.28253496,0.48867450
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-04 00:00:00.000000,0.00439199,0.05224260,0.19107216,0,4,16,0,2,9,0.00190500,0.02888366,0.10982841,0.15475178,0.27253805,0.46950224
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-05 00:00:00.000000,0.00476551,0.05295125,0.19356705,0,4,17,0,2,9,0.00206994,0.03048377,0.11249163,0.15028880,0.25323198,0.46370833
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-06 00:00:00.000000,0.00516405,0.05364676,0.19560863,0,4,17,0,2,10,0.00224781,0.03082438,0.11483126,0.14757903,0.24374058,0.46048035
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-07 00:00:00.000000,0.00558289,0.05505252,0.19744758,0,4,17,0,2,10,0.00243883,0.03087166,0.11685408,0.14595844,0.23959477,0.45997212
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-08 00:00:00.000000,0.00601239,0.05643395,0.19916701,0,5,17,0,2,10,0.00264221,0.03160736,0.11861810,0.13764740,0.23373243,0.46275262
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-09 00:00:00.000000,0.00643618,0.05647031,0.20066874,0,5,17,0,2,10,0.00285524,0.03231062,0.12018110,0.13837040,0.22717127,0.46854215
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-10 00:00:00.000000,0.00684759,0.05782227,0.19780319,0,5,17,0,2,10,0.00307317,0.03288505,0.12156409,0.13943974,0.22259304,0.47545919
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-11 00:00:00.000000,0.00725567,0.05878256,0.20014329,0,5,17,0,2,10,0.00329177,0.03333410,0.12270801,0.13213116,0.21894089,0.45702414
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-12 00:00:00.000000,0.00767286,0.05849551,0.20091133,0,5,17,0,3,10,0.00351006,0.03383424,0.12349441,0.13018428,0.21495160,0.44762357
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-13 00:00:00.000000,0.00810775,0.05822578,0.20095946,0,5,17,0,3,10,0.00372987,0.03380141,0.12353083,0.12522107,0.20918120,0.44369105
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-14 00:00:00.000000,0.00856583,0.05790476,0.20082162,0,5,17,0,3,11,0.00395462,0.03437505,0.12420346,0.12486903,0.20646869,0.44246342
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-15 00:00:00.000000,0.00905240,0.05781176,0.20067766,0,5,17,0,3,11,0.00418770,0.03456258,0.12427398,0.12087778,0.20606494,0.43695291
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-16 00:00:00.000000,0.00957693,0.05845584,0.20063145,0,5,17,0,3,11,0.00443103,0.03442736,0.12424669,0.11079653,0.20119448,0.39459015
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-17 00:00:00.000000,0.00938966,0.05818760,0.20071773,0,5,17,0,3,11,0.00468827,0.03422072,0.12420717,0.10542645,0.19802053,0.37823915
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-18 00:00:00.000000,0.00917028,0.05778199,0.20092094,0,5,17,0,3,11,0.00496548,0.03435907,0.12422614,0.10390324,0.19485262,0.37842990
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-19 00:00:00.000000,0.00895350,0.05737696,0.20118072,0,5,17,0,3,11,0.00527190,0.03539574,0.12434737,0.10354293,0.18223534,0.37557394
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-20 00:00:00.000000,0.01403958,0.06990367,0.21953603,1,6,19,0,3,11,0.00534431,0.03593222,0.12471720,0.10348360,0.17785997,0.35446551
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-21 00:00:00.000000,0.02278874,0.08235766,0.23863209,2,7,21,0,3,11,0.00577165,0.03658784,0.13098660,0.10358480,0.17537372,0.35287153
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-22 00:00:00.000000,0.02952786,0.09435071,0.25416751,2,8,22,0,3,12,0.00667276,0.04142583,0.13937687,0.10394628,0.17321733,0.35083705
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-23 00:00:00.000000,0.03572904,0.11026618,0.27630789,3,9,24,0,3,13,0.00996436,0.04466050,0.14920283,0.10487080,0.17230745,0.33447071
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-24 00:00:00.000000,0.04218131,0.11848240,0.29424045,3,10,26,1,4,14,0.01368803,0.05206758,0.15931925,0.10693162,0.16937350,0.32238697
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-25 00:00:00.000000,0.05018322,0.13307232,0.32205528,4,11,28,1,5,14,0.01770482,0.05734683,0.16290484,0.11021633,0.16774135,0.29325332
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-26 00:00:00.000000,0.05705997,0.14389164,0.35702609,5,12,31,1,5,15,0.02192290,0.06505332,0.17038952,0.10985434,0.16634340,0.29563196
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-27 00:00:00.000000,0.06699469,0.15692220,0.36103672,5,13,32,2,6,16,0.02582703,0.07218295,0.18810701,0.10229911,0.16234884,0.28742492
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-28 00:00:00.000000,0.07470681,0.16786514,0.37118389,6,14,32,2,7,17,0.02983318,0.08011730,0.19977042,0.09846094,0.16094597,0.29060821
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-29 00:00:00.000000,0.08239867,0.18364121,0.37969818,7,16,33,2,7,19,0.03360932,0.08719117,0.21489381,0.09678671,0.15949720,0.28855377
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-04-30 00:00:00.000000,0.09003712,0.20136502,0.39468401,8,17,35,3,8,20,0.03723446,0.09314777,0.22653833,0.09609965,0.15750778,0.28312554
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-05-01 00:00:00.000000,0.09772799,0.21444428,0.41370963,8,19,36,3,8,20,0.03987552,0.10048911,0.23584653,0.09064555,0.15843198,0.27473760
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-05-02 00:00:00.000000,0.10539825,0.22862887,0.44618465,9,20,39,3,9,21,0.04204363,0.10792829,0.24350787,0.09213873,0.15757486,0.26982983
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-05-03 00:00:00.000000,0.11305724,0.24446095,0.47889700,10,21,42,4,10,22,0.04573857,0.12022768,0.24990666,0.09387406,0.15409259,0.26842155
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-05-04 00:00:00.000000,0.12909139,0.26245345,0.48966530,11,23,43,4,11,22,0.04948718,0.12834105,0.25777587,0.09422272,0.15303447,0.26940772
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-05-05 00:00:00.000000,0.15035097,0.26975748,0.51001724,13,23,45,5,12,24,0.05796618,0.13541842,0.27572558,0.09220153,0.14804578,0.26985882
19147,0,USIowaPaloAlto,Iowa,Palo Alto,2021-02-10 10:17:22.157802,2020-05-06 00:00:00.000000,0.15546609,0.28076803,0.51260156,13,24,45,6,12,25,0.06835747,0.14181010,0.29155059,0.09073052,0.14548785,0.26965460
