FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-09 00:00:00.000000,0.00153988,0.00610574,0.02367220,0,1,5,0,0,3,0.00086298,0.00369909,0.01290016,0.35947817,0.49344575,0.64863082
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-10 00:00:00.000000,0.00175504,0.00690331,0.02569692,0,1,6,0,0,3,0.00090322,0.00363268,0.01344912,0.35947779,0.49344354,0.64862387
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-11 00:00:00.000000,0.00196798,0.00781305,0.02767398,0,1,6,0,0,3,0.00099870,0.00384764,0.01419849,0.35947673,0.49343671,0.64860822
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-12 00:00:00.000000,0.00220643,0.00862467,0.02972579,0,2,7,0,1,3,0.00114058,0.00420939,0.01511072,0.35947376,0.49341553,0.64857303
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-13 00:00:00.000000,0.00248638,0.00946461,0.03186690,0,2,8,0,1,4,0.00127953,0.00467360,0.01614490,0.35946546,0.49320000,0.64849406
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-14 00:00:00.000000,0.00285283,0.01037402,0.03410789,0,2,8,0,1,4,0.00142575,0.00519568,0.01727738,0.35944223,0.49195570,0.64831859
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-15 00:00:00.000000,0.00326520,0.01143576,0.03645587,0,2,9,0,1,4,0.00158909,0.00577059,0.01856210,0.35937727,0.49013272,0.64783506
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-16 00:00:00.000000,0.00611674,0.01542163,0.04455825,1,3,11,0,1,5,0.00176934,0.00631160,0.02030257,0.34665757,0.48892174,0.62430591
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-17 00:00:00.000000,0.00882599,0.01993246,0.05564481,2,5,14,0,1,6,0.00268754,0.00784657,0.02411710,0.34663294,0.47758304,0.60592641
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-18 00:00:00.000000,0.01170129,0.02494625,0.06732137,2,6,16,0,2,7,0.00374098,0.01001042,0.02958736,0.34326535,0.46383502,0.60317004
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-19 00:00:00.000000,0.01427570,0.02993977,0.07880504,3,7,19,1,3,9,0.00503953,0.01203536,0.03633101,0.31616495,0.43246158,0.58923687
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-20 00:00:00.000000,0.01719967,0.03634216,0.08950976,4,9,22,1,3,11,0.00653075,0.01469988,0.04410050,0.27474964,0.40649189,0.58044878
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-21 00:00:00.000000,0.02041201,0.04224260,0.10001190,5,10,25,2,4,13,0.00832440,0.01815417,0.05223193,0.25709725,0.37836931,0.56801958
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-22 00:00:00.000000,0.02359062,0.04768037,0.11584407,5,12,29,2,5,14,0.01027787,0.02153742,0.05917170,0.24726088,0.36546758,0.53864534
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-23 00:00:00.000000,0.02636694,0.05515233,0.12574415,6,13,31,3,6,16,0.01233681,0.02494665,0.06605740,0.24188707,0.35119332,0.51507533
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-24 00:00:00.000000,0.02968281,0.06264093,0.13566813,7,15,34,3,7,18,0.01482650,0.02909854,0.07367747,0.22725119,0.34145539,0.49536758
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-25 00:00:00.000000,0.03324155,0.07152861,0.14560275,8,18,36,4,8,20,0.01648359,0.03335733,0.07985931,0.21799378,0.32938671,0.47544376
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-26 00:00:00.000000,0.03706042,0.08043130,0.15564612,9,20,39,4,9,21,0.01818305,0.03887381,0.08685940,0.20901647,0.30698978,0.45836678
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-27 00:00:00.000000,0.04115211,0.08964784,0.17257580,10,22,43,5,10,23,0.02031165,0.04343328,0.09423824,0.19635842,0.29418703,0.44261499
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-28 00:00:00.000000,0.04502761,0.09872813,0.19238293,11,24,48,5,12,25,0.02273523,0.04901249,0.10156800,0.18766122,0.27277428,0.42684110
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-29 00:00:00.000000,0.04839298,0.10544117,0.20837099,12,26,52,6,13,27,0.02482921,0.05436720,0.10895464,0.17841607,0.26598716,0.40612100
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-30 00:00:00.000000,0.05445776,0.11391259,0.22498158,13,28,56,6,15,29,0.02690469,0.06028162,0.11646746,0.16847186,0.26183626,0.38157222
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-03-31 00:00:00.000000,0.06061179,0.12288551,0.24049954,15,30,60,7,16,31,0.02960011,0.06563220,0.12463147,0.16793820,0.25788525,0.36561487
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-01 00:00:00.000000,0.06690768,0.13126327,0.25622470,16,33,64,8,17,33,0.03273037,0.07131302,0.13338200,0.16846080,0.25183019,0.36019252
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-02 00:00:00.000000,0.07332128,0.13954730,0.27277095,18,35,68,9,19,35,0.03616931,0.07679044,0.14213189,0.15931136,0.24535685,0.35002237
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-03 00:00:00.000000,0.07983324,0.14696716,0.28985071,20,37,72,10,20,37,0.03983164,0.08269684,0.15053979,0.15403176,0.24350717,0.34076773
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-04 00:00:00.000000,0.08642731,0.15599581,0.30699268,21,39,77,10,22,40,0.04365906,0.08808073,0.15896987,0.15257347,0.23568948,0.32139105
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-05 00:00:00.000000,0.09309163,0.16783633,0.32403624,23,42,81,11,23,42,0.04761094,0.09382650,0.16692881,0.14944217,0.22940033,0.30936449
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-06 00:00:00.000000,0.10302467,0.17777280,0.33184358,25,44,83,13,25,43,0.05165878,0.10028447,0.17421416,0.14581427,0.22503700,0.32501727
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-07 00:00:00.000000,0.11301821,0.18811297,0.33942191,28,47,85,14,26,45,0.05649379,0.10674566,0.18049178,0.14482189,0.22294999,0.31402320
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-08 00:00:00.000000,0.12318114,0.19424749,0.34584187,31,48,87,15,28,47,0.06186811,0.11337057,0.18758959,0.14506880,0.21584404,0.30596572
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-09 00:00:00.000000,0.13283405,0.20640279,0.34961746,33,51,88,17,30,48,0.06762356,0.12099421,0.19372163,0.14228372,0.21312768,0.30065199
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-10 00:00:00.000000,0.14048229,0.21966748,0.35149914,35,55,88,18,32,50,0.07366038,0.12781804,0.19961640,0.12959324,0.20737142,0.29817146
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-11 00:00:00.000000,0.14818853,0.22795321,0.35741686,37,57,89,20,33,53,0.07991593,0.13323675,0.21153496,0.12809880,0.20198947,0.29510027
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-12 00:00:00.000000,0.15493660,0.23541211,0.37322663,39,59,93,21,35,56,0.08635007,0.13946152,0.22295199,0.12638783,0.19780501,0.28614384
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-13 00:00:00.000000,0.16311014,0.24778804,0.39389684,41,62,99,22,37,58,0.09132761,0.14697883,0.23395752,0.12449047,0.19305865,0.28195820
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-14 00:00:00.000000,0.16707113,0.25796466,0.41454266,42,64,104,23,38,60,0.09346867,0.15416164,0.24125688,0.12262011,0.18993835,0.28117320
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-15 00:00:00.000000,0.17042755,0.27296262,0.43515399,42,68,109,24,41,61,0.09560220,0.16307324,0.24612903,0.12227953,0.18658844,0.28295662
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-16 00:00:00.000000,0.17373795,0.28872259,0.45577753,43,72,114,24,43,64,0.09770428,0.17127387,0.25563347,0.12067586,0.18382783,0.28848289
19149,0,USIowaPlymouth,Iowa,Plymouth,2021-11-11 16:41:22.805211,2020-04-17 00:00:00.000000,0.17704939,0.29830635,0.48339220,44,75,121,25,44,67,0.09977471,0.17773208,0.26977582,0.11953236,0.18422467,0.30206295
