FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-09 00:00:00.000000,0.00331912,0.02594494,0.07902742,0,1,5,0,0,3,0.00159734,0.01355478,0.04740599,0.39079667,0.52802186,0.71415830
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-10 00:00:00.000000,0.00392179,0.02797802,0.08782053,0,1,5,0,0,3,0.00173161,0.01371744,0.04880466,0.39079642,0.52779527,0.71262794
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-11 00:00:00.000000,0.00454860,0.03080051,0.09717212,0,1,6,0,0,3,0.00192600,0.01413835,0.05229477,0.39079591,0.52745762,0.70957923
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-12 00:00:00.000000,0.00521578,0.03319089,0.10723014,0,2,6,0,0,3,0.00207989,0.01536113,0.05632458,0.39079476,0.52695795,0.70359231
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-13 00:00:00.000000,0.00593665,0.03541436,0.11809204,0,2,7,0,1,3,0.00228166,0.01709693,0.06046786,0.39079174,0.52622605,0.69216068
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-14 00:00:00.000000,0.00672267,0.03747832,0.12969107,0,2,8,0,1,4,0.00252458,0.01822657,0.06755280,0.39078243,0.52030349,0.68868779
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-15 00:00:00.000000,0.00758262,0.03967610,0.14154708,0,2,9,0,1,4,0.00285895,0.01957263,0.07487694,0.39074912,0.51870409,0.68868720
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-16 00:00:00.000000,0.00851772,0.04214193,0.15318168,0,2,9,0,1,5,0.00324332,0.02135541,0.08171925,0.38283509,0.51406836,0.68868453
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-17 00:00:00.000000,0.00950970,0.04490635,0.16441961,0,2,10,0,1,5,0.00366131,0.02323145,0.08877691,0.37807384,0.50711533,0.68865278
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-18 00:00:00.000000,0.01051161,0.04831920,0.17386785,0,3,11,0,1,6,0.00411003,0.02516205,0.09586244,0.37183997,0.49914821,0.68816791
19185,0,USIowaWayne,Iowa,Wayne,2021-11-25 21:54:27.176257,2020-03-19 00:00:00.000000,0.01148389,0.05230331,0.17945896,0,3,11,0,1,6,0.00457726,0.02707269,0.10286048,0.35040876,0.48900704,0.65990973
