FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-09 00:00:00.000000,0.00110287,0.01333245,0.03858580,0,1,5,0,1,3,0.00060904,0.00733020,0.02476162,0.34252909,0.47367092,0.66333063
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-10 00:00:00.000000,0.00121544,0.01496128,0.04024240,0,2,5,0,1,3,0.00061569,0.00739898,0.02342174,0.34252837,0.47364511,0.66315847
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-11 00:00:00.000000,0.00133122,0.01613238,0.04215932,0,2,6,0,1,3,0.00064511,0.00755142,0.02290641,0.34252604,0.47358632,0.66285597
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-12 00:00:00.000000,0.00145278,0.01741975,0.04475698,0,2,6,0,1,3,0.00068938,0.00797783,0.02292236,0.34251828,0.47345248,0.66232544
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-13 00:00:00.000000,0.00158179,0.01895076,0.04746959,0,2,6,0,1,3,0.00074413,0.00855751,0.02328586,0.34249213,0.47265290,0.66139813
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-14 00:00:00.000000,0.00178632,0.02027609,0.05031132,0,2,7,0,1,3,0.00081041,0.00925066,0.02388197,0.34240308,0.47046260,0.65978673
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-15 00:00:00.000000,0.00201107,0.02177994,0.05329502,0,3,7,0,1,3,0.00092552,0.01017511,0.02531829,0.34209861,0.46832915,0.65701493
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-16 00:00:00.000000,0.00662214,0.03035307,0.06762251,0,4,9,0,1,4,0.00105030,0.01111288,0.02835706,0.34106348,0.46415900,0.65205546
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-17 00:00:00.000000,0.01105903,0.04035361,0.08532985,1,5,12,0,1,4,0.00196968,0.01276675,0.03306955,0.33765469,0.45998472,0.61335464
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-18 00:00:00.000000,0.01425955,0.04998321,0.09739438,2,7,14,0,2,5,0.00361995,0.01633684,0.03899567,0.32877884,0.44951861,0.57573548
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-19 00:00:00.000000,0.01770335,0.05998991,0.11314755,2,8,16,0,3,6,0.00571242,0.02278140,0.04584209,0.30488230,0.43903217,0.56678280
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-20 00:00:00.000000,0.02139462,0.06816900,0.13040531,3,9,18,1,3,7,0.00745664,0.02654417,0.05287392,0.28909634,0.41857067,0.55646354
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-21 00:00:00.000000,0.02527004,0.07799832,0.15135511,3,11,21,1,4,9,0.00925668,0.03043319,0.06214747,0.27156270,0.38906849,0.53423719
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-22 00:00:00.000000,0.02919625,0.08935486,0.17754022,4,12,25,1,5,10,0.01122131,0.03577913,0.07152760,0.25193704,0.36556918,0.50240784
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-23 00:00:00.000000,0.03938005,0.09797551,0.18692657,5,14,27,1,5,11,0.01330392,0.04083346,0.08106876,0.24931538,0.34784942,0.47572064
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-24 00:00:00.000000,0.04953001,0.10785717,0.19634241,7,15,28,2,6,13,0.01674061,0.04713373,0.09060928,0.23641166,0.32757969,0.44132741
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-25 00:00:00.000000,0.05896119,0.12121780,0.21661635,8,17,31,3,7,14,0.02107750,0.05307533,0.10035800,0.20472706,0.31074886,0.42627602
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-26 00:00:00.000000,0.06652692,0.13228984,0.22912945,9,19,33,3,8,16,0.02604224,0.05775380,0.11045015,0.20133242,0.29742577,0.41581977
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-27 00:00:00.000000,0.07410593,0.14179255,0.23660367,10,20,34,4,9,17,0.03129259,0.06224292,0.11895116,0.19029010,0.28742396,0.39605465
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-28 00:00:00.000000,0.08128419,0.15474746,0.24391651,11,22,35,5,9,19,0.03545986,0.06790979,0.13164942,0.17976983,0.27285191,0.36912999
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-29 00:00:00.000000,0.08359853,0.16646998,0.25634599,12,24,37,5,10,20,0.03965443,0.07491513,0.14233120,0.17066948,0.26143071,0.36807187
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-30 00:00:00.000000,0.08798132,0.17484440,0.27948670,12,25,40,6,11,22,0.04380959,0.08179148,0.15276215,0.16576804,0.24604618,0.35694798
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-03-31 00:00:00.000000,0.09291862,0.18586086,0.30278622,13,27,44,6,12,23,0.04768385,0.08604853,0.16455349,0.16067282,0.23679426,0.32171835
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-04-01 00:00:00.000000,0.09968387,0.20022885,0.32672698,14,29,47,7,13,25,0.05054817,0.09238714,0.17635371,0.15565047,0.22774709,0.31724640
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-04-02 00:00:00.000000,0.10671968,0.21355607,0.35127997,15,31,51,7,14,27,0.05380854,0.10195468,0.18733332,0.14193282,0.21527048,0.31200066
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-04-03 00:00:00.000000,0.11437731,0.21960611,0.37642832,16,31,54,8,15,28,0.05782830,0.10725778,0.19733326,0.13012625,0.20613147,0.31187595
20011,0,USKansasBourbon,Kansas,Bourbon,2021-11-25 23:30:24.882528,2020-04-04 00:00:00.000000,0.12228955,0.22752518,0.40213355,17,33,58,8,16,30,0.06078901,0.11384750,0.20651376,0.12708171,0.19934448,0.31129440
