FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-09 00:00:00.000000,0.00538295,0.05341664,0.23609254,0,0,4,0,0,2,0.00338930,0.02855297,0.14642991,0.41010228,0.49460100,0.67180188
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-10 00:00:00.000000,0.00583345,0.05793338,0.25362950,0,0,4,0,0,2,0.00335427,0.02976674,0.15048941,0.41010218,0.49459249,0.67172461
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-11 00:00:00.000000,0.00635867,0.06189713,0.27261306,0,1,4,0,0,2,0.00354405,0.03245588,0.15893056,0.41010155,0.49457775,0.67155962
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-12 00:00:00.000000,0.00694832,0.06734224,0.29318584,0,1,4,0,0,2,0.00387514,0.03412346,0.16898512,0.41009716,0.49454995,0.67120733
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-13 00:00:00.000000,0.00760144,0.07286772,0.31542890,0,1,5,0,0,3,0.00423722,0.03742356,0.18053302,0.41006620,0.49448751,0.67045602
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-14 00:00:00.000000,0.00832011,0.07903343,0.33904150,0,1,5,0,0,3,0.00462787,0.04092561,0.19080796,0.40984738,0.49430640,0.66885915
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-15 00:00:00.000000,0.00910526,0.08400678,0.35843769,0,1,6,0,0,3,0.00506124,0.04443172,0.19881297,0.40831221,0.49364569,0.66617792
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-16 00:00:00.000000,0.00994937,0.09128143,0.38001763,0,1,6,0,0,3,0.00553717,0.04897660,0.20740803,0.40024781,0.49286784,0.66610265
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-17 00:00:00.000000,0.01081994,0.09920944,0.41876607,0,1,7,0,0,3,0.00605290,0.05318926,0.21654307,0.37406798,0.48287962,0.66585757
20033,0,USKansasComanche,Kansas,Comanche,2021-12-09 23:44:45.686971,2020-03-18 00:00:00.000000,0.01164381,0.10772996,0.45183450,0,1,7,0,0,3,0.00659494,0.05761337,0.22616714,0.34320268,0.47910147,0.65685671
