FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-09 00:00:00.000000,0.00288508,0.02724318,0.10091157,0,1,5,0,0,3,0.00161900,0.01547866,0.06435635,0.32114431,0.50946061,0.73314575
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-10 00:00:00.000000,0.00316290,0.02839385,0.10845980,0,1,5,0,0,3,0.00177734,0.01630289,0.06860577,0.32114354,0.50946057,0.73314431
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-11 00:00:00.000000,0.00349446,0.03022908,0.11659387,0,1,6,0,0,3,0.00199105,0.01752580,0.07336283,0.32114036,0.50946044,0.73313965
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-12 00:00:00.000000,0.00385919,0.03304316,0.12528357,0,1,6,0,1,4,0.00222570,0.01900816,0.07857018,0.32112729,0.50945993,0.73312458
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-13 00:00:00.000000,0.00425508,0.03600318,0.13449595,0,1,7,0,1,4,0.00247661,0.02049634,0.08420318,0.32107333,0.50945786,0.73307584
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-14 00:00:00.000000,0.00468234,0.03908687,0.14412546,0,2,7,0,1,4,0.00274492,0.02209764,0.09023855,0.32085080,0.50927901,0.73291828
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-15 00:00:00.000000,0.00513703,0.04230628,0.15408559,0,2,8,0,1,5,0.00303196,0.02416718,0.09663894,0.31993963,0.50555837,0.73240945
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-16 00:00:00.000000,0.00560314,0.04503908,0.16425228,0,2,8,0,1,5,0.00333638,0.02609503,0.10333084,0.31632316,0.50471327,0.73077464
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-17 00:00:00.000000,0.00604433,0.04829241,0.17440621,0,2,9,0,1,5,0.00360236,0.02807679,0.11019581,0.30680556,0.49203615,0.72560083
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-18 00:00:00.000000,0.00641657,0.05095626,0.18428393,0,2,10,0,1,6,0.00388051,0.02997428,0.11714101,0.30583696,0.47572351,0.71020917
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-19 00:00:00.000000,0.00670765,0.05378065,0.19361885,0,2,10,0,1,6,0.00418049,0.03144967,0.12399961,0.30520013,0.46202592,0.67106347
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-20 00:00:00.000000,0.00694014,0.05647923,0.20219173,0,3,10,0,1,7,0.00442256,0.03280993,0.13059184,0.30372184,0.43940959,0.60329117
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-21 00:00:00.000000,0.00713977,0.05926126,0.20985928,0,3,11,0,1,7,0.00458829,0.03471602,0.13675512,0.28294827,0.42285157,0.58087344
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-22 00:00:00.000000,0.00732291,0.06308194,0.21657609,0,3,11,0,2,7,0.00472794,0.03693460,0.14236838,0.27749544,0.39937140,0.57604309
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-23 00:00:00.000000,0.00749755,0.06535782,0.22242792,0,3,12,0,2,7,0.00485443,0.03977732,0.14613322,0.26019372,0.38376062,0.59178282
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-24 00:00:00.000000,0.00779420,0.06721561,0.22753628,0,3,12,0,2,8,0.00497448,0.04115623,0.14730508,0.23159487,0.35876376,0.58255499
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-25 00:00:00.000000,0.00813711,0.07000409,0.22856452,0,3,12,0,2,8,0.00514516,0.04218153,0.14958851,0.22677670,0.34668052,0.57292851
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-26 00:00:00.000000,0.00850904,0.07141459,0.22797257,0,3,12,0,2,8,0.00534810,0.04290393,0.15214025,0.21050088,0.33950291,0.53397871
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-27 00:00:00.000000,0.00903658,0.07137857,0.23183650,0,3,12,0,2,8,0.00535124,0.04371610,0.15247801,0.20652268,0.33209423,0.51700930
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-28 00:00:00.000000,0.00945642,0.07078573,0.23115473,0,3,12,0,2,8,0.00549457,0.04491135,0.15127891,0.19811400,0.32226051,0.50104354
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-29 00:00:00.000000,0.00987934,0.07094091,0.23557747,0,3,12,0,2,8,0.00586700,0.04601917,0.14991177,0.18305403,0.31464497,0.47146224
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-30 00:00:00.000000,0.01030294,0.07065307,0.23897024,0,3,12,0,2,8,0.00623861,0.04617922,0.15678469,0.17100962,0.29923583,0.44788803
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-03-31 00:00:00.000000,0.01072827,0.07039670,0.24233605,0,3,13,0,2,8,0.00661963,0.04587793,0.16045414,0.16399457,0.28679065,0.43532086
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-01 00:00:00.000000,0.01116131,0.07054762,0.25156993,0,3,13,0,2,8,0.00701704,0.04588174,0.16449081,0.16386940,0.27702466,0.43507456
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-02 00:00:00.000000,0.01115627,0.07049927,0.25077205,0,3,13,0,2,9,0.00716707,0.04703014,0.16706088,0.16367194,0.25906712,0.43426154
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-03 00:00:00.000000,0.01087640,0.07000656,0.24902873,0,3,13,0,2,9,0.00704168,0.04790963,0.16683075,0.16347285,0.25079556,0.42834715
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-04 00:00:00.000000,0.01057693,0.06895138,0.24650001,0,3,13,0,2,9,0.00688190,0.04919673,0.16631602,0.14866622,0.24296948,0.42175369
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-05 00:00:00.000000,0.01027329,0.06764182,0.24258973,0,3,13,0,2,8,0.00670561,0.04799484,0.16533478,0.14133189,0.23339055,0.40282813
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-06 00:00:00.000000,0.00997184,0.06497060,0.23728696,0,3,12,0,2,8,0.00652307,0.04644254,0.16478670,0.13872374,0.22373720,0.40195643
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-07 00:00:00.000000,0.00967221,0.06513962,0.23123155,0,3,12,0,2,8,0.00633899,0.04648728,0.16177723,0.13783133,0.22044823,0.40017131
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-08 00:00:00.000000,0.00936838,0.06549611,0.22484561,0,3,12,0,2,8,0.00615422,0.04518437,0.15814702,0.13754380,0.21816817,0.39691815
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-09 00:00:00.000000,0.00905167,0.06367045,0.21835130,0,3,11,0,2,8,0.00596630,0.04341611,0.15416063,0.13645956,0.21485349,0.37416614
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-10 00:00:00.000000,0.00871947,0.06168985,0.21179020,0,3,11,0,2,8,0.00577078,0.04255004,0.14992675,0.13373544,0.20935164,0.33144176
20077,0,USKansasHarper,Kansas,Harper,2021-07-21 16:22:48.721187,2020-04-11 00:00:00.000000,0.00837685,0.05957532,0.20491806,0,3,11,0,2,7,0.00556561,0.04074446,0.14561233,0.13276151,0.20427879,0.33214282
