FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-09 00:00:00.000000,0.00693241,0.06996125,0.32850412,0,1,5,0,0,2,0.00438234,0.03489061,0.17565073,0.37561352,0.52917366,0.72304632
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-10 00:00:00.000000,0.00767569,0.07657969,0.35263019,0,1,5,0,0,2,0.00448989,0.03447040,0.17926357,0.37561351,0.52916101,0.72304607
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-11 00:00:00.000000,0.00847447,0.08267005,0.37844198,0,1,5,0,0,2,0.00478040,0.03538497,0.18831819,0.37561336,0.52913453,0.72304523
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-12 00:00:00.000000,0.00935286,0.08875826,0.40548590,0,1,6,0,0,3,0.00518428,0.03767767,0.20045928,0.37560987,0.52895951,0.72304243
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-13 00:00:00.000000,0.01031591,0.09613411,0.40857924,0,1,6,0,0,3,0.00567014,0.04196586,0.21416444,0.37552999,0.52800070,0.72303313
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-14 00:00:00.000000,0.01137539,0.10095572,0.41253896,0,1,6,0,0,3,0.00622540,0.04578692,0.21876686,0.37373161,0.52781032,0.72300230
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-15 00:00:00.000000,0.01254300,0.11022918,0.42411700,0,1,6,0,0,3,0.00684694,0.04882152,0.21921961,0.34651478,0.52643954,0.72290027
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-16 00:00:00.000000,0.01412750,0.11956836,0.45170953,0,1,6,0,0,3,0.00753865,0.05241485,0.22108555,0.34623860,0.52212235,0.72256312
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-17 00:00:00.000000,0.01599903,0.13057736,0.47930704,0,2,7,0,0,3,0.00830771,0.05744929,0.23606711,0.34496594,0.50807646,0.72145325
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-18 00:00:00.000000,0.01810293,0.14216671,0.50693293,0,2,7,0,0,3,0.00915765,0.06377659,0.25180295,0.32783785,0.49375493,0.71782117
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-19 00:00:00.000000,0.02046172,0.15226026,0.53455611,0,2,8,0,1,4,0.01009649,0.07007288,0.26797463,0.26422444,0.47224810,0.70641138
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-20 00:00:00.000000,0.02308356,0.16275450,0.56188479,0,2,8,0,1,4,0.01113329,0.07701573,0.28407164,0.26387120,0.45997038,0.69632606
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-21 00:00:00.000000,0.02594342,0.17297491,0.58835562,0,2,9,0,1,4,0.01227808,0.08442922,0.29937205,0.26381298,0.44408273,0.69053402
20101,0,USKansasLane,Kansas,Lane,2021-12-09 22:06:15.183410,2020-03-22 00:00:00.000000,0.02898663,0.18518644,0.61324739,0,2,9,0,1,4,0.01354161,0.08976036,0.31312330,0.26379185,0.41875236,0.64574554
