FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-09 00:00:00.000000,0.00708698,0.01510784,0.03836178,2,5,13,1,2,5,0.00342572,0.00697818,0.01683546,0.41593065,0.55321644,0.73308765
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-10 00:00:00.000000,0.00752529,0.01599353,0.03886351,2,5,13,1,2,5,0.00307742,0.00643143,0.01474093,0.41562809,0.55320073,0.73256111
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-11 00:00:00.000000,0.00794158,0.01700366,0.03950512,2,5,13,0,2,4,0.00289543,0.00621023,0.01336098,0.41508572,0.55317193,0.73140454
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-12 00:00:00.000000,0.00833938,0.01764608,0.04025418,2,6,13,0,2,4,0.00282687,0.00597828,0.01247118,0.41412372,0.55311901,0.72888228
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-13 00:00:00.000000,0.00872071,0.01833069,0.04091401,2,6,14,0,1,4,0.00280543,0.00574852,0.01178440,0.41244904,0.55302148,0.72346682
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-14 00:00:00.000000,0.00908842,0.01889645,0.04121558,3,6,14,0,1,3,0.00277350,0.00574485,0.01139102,0.40962645,0.55284163,0.71221998
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-15 00:00:00.000000,0.00944570,0.01933573,0.04151635,3,6,14,0,1,3,0.00277867,0.00584036,0.01117943,0.40511896,0.55251053,0.69785962
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-16 00:00:00.000000,0.01235955,0.02431310,0.04391274,4,8,15,0,2,3,0.00280789,0.00598226,0.01101176,0.39850638,0.55105274,0.69142654
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-17 00:00:00.000000,0.01512055,0.02865215,0.04790132,5,9,16,1,2,3,0.00309323,0.00649126,0.01109301,0.38992166,0.54528975,0.68798107
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-18 00:00:00.000000,0.01748137,0.03211684,0.05396363,5,10,18,1,2,4,0.00332678,0.00719586,0.01189896,0.38911695,0.53619876,0.68575941
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-19 00:00:00.000000,0.02020457,0.03569154,0.06040112,6,12,20,1,2,4,0.00367445,0.00806387,0.01328356,0.38845726,0.52503675,0.67963898
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-20 00:00:00.000000,0.02274162,0.04011519,0.06705689,7,13,22,1,3,5,0.00440528,0.00895991,0.01596522,0.37952001,0.50735866,0.65155894
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-21 00:00:00.000000,0.02522613,0.04523920,0.07390149,8,15,25,1,3,6,0.00513966,0.00991204,0.01885654,0.36722983,0.48460847,0.63799418
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-22 00:00:00.000000,0.02774661,0.04990017,0.08083379,9,17,27,1,3,7,0.00564619,0.01118274,0.02189375,0.35538004,0.47046956,0.59506668
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-23 00:00:00.000000,0.03492933,0.05411047,0.09329299,11,18,31,2,4,8,0.00617546,0.01252451,0.02503426,0.35354682,0.45841768,0.57544306
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-24 00:00:00.000000,0.04210520,0.06072875,0.10562208,14,20,36,2,4,9,0.00703948,0.01386166,0.02784082,0.35263992,0.43907875,0.54714260
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-25 00:00:00.000000,0.04715712,0.06653477,0.11803064,16,22,40,2,5,10,0.00813769,0.01542287,0.03045474,0.35086173,0.42319971,0.52421129
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-26 00:00:00.000000,0.05152843,0.07236457,0.13061329,17,24,44,3,5,11,0.00968724,0.01693736,0.03296717,0.34128429,0.41056671,0.51362414
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-27 00:00:00.000000,0.05532229,0.07879702,0.14003035,18,26,47,3,6,12,0.01111892,0.01896075,0.03543603,0.32162942,0.39085087,0.50810436
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-28 00:00:00.000000,0.05829248,0.08527604,0.15055709,19,29,51,4,7,12,0.01238958,0.02086818,0.03789573,0.30166039,0.37171282,0.50347337
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-29 00:00:00.000000,0.06116687,0.09163076,0.16263953,20,31,55,4,7,13,0.01349571,0.02255346,0.04036130,0.29162936,0.36092083,0.45546355
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-30 00:00:00.000000,0.06383872,0.09398620,0.16502228,21,32,56,4,8,14,0.01457427,0.02395888,0.04282635,0.28391550,0.35030778,0.43292980
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-03-31 00:00:00.000000,0.06629368,0.09578938,0.17107381,22,32,58,5,8,15,0.01547215,0.02549471,0.04538321,0.27580406,0.33905573,0.41040844
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-01 00:00:00.000000,0.06850601,0.09768017,0.17637046,23,33,60,5,9,16,0.01622985,0.02697922,0.04792646,0.27106963,0.33471512,0.40109905
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-02 00:00:00.000000,0.07039324,0.09959068,0.18082256,24,34,61,5,9,17,0.01687959,0.02832897,0.05037637,0.26691143,0.32677650,0.39310090
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-03 00:00:00.000000,0.07217618,0.10244116,0.18447197,24,35,63,6,10,18,0.01766125,0.02940395,0.05269598,0.26064850,0.31442008,0.38352502
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-04 00:00:00.000000,0.07358433,0.10547246,0.18746343,25,36,64,6,10,18,0.01848752,0.03030207,0.05487256,0.25568624,0.29843079,0.37548079
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-05 00:00:00.000000,0.07459026,0.10774883,0.18756081,25,36,64,6,10,19,0.01876607,0.03098723,0.05689599,0.23323395,0.29288917,0.37088028
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-06 00:00:00.000000,0.07922527,0.10911378,0.18780709,27,37,64,6,10,20,0.01899303,0.03159242,0.05875308,0.21792442,0.28327513,0.35896758
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-07 00:00:00.000000,0.08232308,0.11065767,0.18952206,28,37,64,6,11,20,0.02006258,0.03216683,0.06074177,0.21282269,0.27278523,0.32481398
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-08 00:00:00.000000,0.08511426,0.11331185,0.18957434,29,38,64,7,11,21,0.02119837,0.03295890,0.06274930,0.21140756,0.26710314,0.31424139
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-09 00:00:00.000000,0.08839380,0.11538944,0.19272647,30,39,65,7,11,22,0.02221401,0.03399071,0.06470900,0.20624228,0.25535830,0.31304644
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-10 00:00:00.000000,0.08971344,0.11771069,0.19727385,30,40,67,8,11,22,0.02370460,0.03492842,0.06657700,0.19539698,0.24775968,0.30881271
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-11 00:00:00.000000,0.09022369,0.12085982,0.20179821,30,41,69,8,12,23,0.02526747,0.03644526,0.06831021,0.17032210,0.24333321,0.30491165
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-12 00:00:00.000000,0.09063482,0.12584444,0.20638486,31,43,70,9,12,23,0.02689855,0.03675048,0.06987323,0.15438578,0.23473454,0.30264969
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-13 00:00:00.000000,0.09310681,0.12890152,0.20648169,31,44,70,9,12,24,0.02861739,0.03708980,0.07125243,0.15251409,0.23249066,0.30161319
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-14 00:00:00.000000,0.09218369,0.12917220,0.20371059,31,44,69,9,12,24,0.02910962,0.03767983,0.07207808,0.15232836,0.23182712,0.29804167
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-15 00:00:00.000000,0.09113927,0.13366465,0.20401358,31,45,69,10,13,24,0.02937784,0.03862038,0.07252354,0.15223893,0.23231774,0.29798993
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-16 00:00:00.000000,0.09065757,0.13827138,0.21325074,31,47,73,10,13,24,0.02922331,0.03989169,0.07268323,0.15384910,0.22617824,0.29795866
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-17 00:00:00.000000,0.08980678,0.14304463,0.22404506,30,48,76,9,13,24,0.02895343,0.04019947,0.07260963,0.15724791,0.22025793,0.29172928
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-18 00:00:00.000000,0.08894359,0.14278929,0.23417054,30,48,80,9,14,25,0.02866701,0.04110942,0.07320463,0.16086894,0.21272547,0.29105269
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-19 00:00:00.000000,0.08804561,0.14681895,0.24923839,30,50,85,9,14,25,0.02836928,0.04204446,0.07390692,0.15817020,0.20756349,0.29932328
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-20 00:00:00.000000,0.09037575,0.14909131,0.24691835,30,51,84,9,14,24,0.02806067,0.04273670,0.07278091,0.15615511,0.20029472,0.30766993
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-21 00:00:00.000000,0.09264623,0.15179783,0.24444211,31,51,83,9,14,24,0.02810939,0.04309512,0.07131394,0.15115400,0.19709186,0.31361797
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-22 00:00:00.000000,0.09232867,0.15186496,0.24443790,31,51,83,9,14,23,0.02839452,0.04344895,0.06963072,0.15033487,0.19020048,0.31521104
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-23 00:00:00.000000,0.09135701,0.14867529,0.24426718,31,50,83,9,15,23,0.02883053,0.04418564,0.06781861,0.14621789,0.18751434,0.31226207
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-24 00:00:00.000000,0.09027536,0.14561940,0.24398285,30,49,83,10,15,22,0.02935710,0.04442879,0.06712389,0.13996957,0.18485354,0.31083007
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-25 00:00:00.000000,0.08906887,0.14491519,0.24360079,30,49,83,10,15,22,0.02993211,0.04448394,0.06691439,0.13187089,0.18079019,0.30982017
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-26 00:00:00.000000,0.08764949,0.14390187,0.24236537,30,49,82,10,15,22,0.02992739,0.04473453,0.06655293,0.12980979,0.17236316,0.29925333
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-27 00:00:00.000000,0.09360125,0.14202729,0.24940659,32,48,85,10,15,24,0.02950798,0.04486587,0.07121239,0.12653137,0.16266399,0.30314643
20121,0,USKansasMiami,Kansas,Miami,2021-01-29 23:47:10.066263,2020-04-28 00:00:00.000000,0.09674864,0.14247398,0.25894799,33,48,88,10,15,25,0.02926132,0.04513622,0.07522000,0.12335013,0.15581699,0.30915046
