FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-09 00:00:00.000000,0.00504456,0.00629970,0.00974069,3,4,7,1,1,2,0.00142689,0.00229637,0.00395765,0.42727588,0.48810849,0.54720559
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-10 00:00:00.000000,0.00685577,0.00824557,0.01038281,5,6,7,1,1,2,0.00177834,0.00244711,0.00395744,0.42727080,0.48808293,0.54719675
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-11 00:00:00.000000,0.00842497,0.01049545,0.01191892,6,7,8,1,2,3,0.00248805,0.00294262,0.00411684,0.42726034,0.48803325,0.54717730
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-12 00:00:00.000000,0.00988725,0.01217589,0.01456964,7,9,10,2,2,3,0.00306013,0.00378336,0.00442724,0.42723879,0.48793531,0.54713117
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-13 00:00:00.000000,0.01125070,0.01427461,0.01754085,8,10,13,2,3,3,0.00358802,0.00464106,0.00523349,0.42719439,0.48714403,0.54701474
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-14 00:00:00.000000,0.01220323,0.01642066,0.02078454,9,12,15,3,4,4,0.00416106,0.00540946,0.00634920,0.42710301,0.48569143,0.54670759
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-15 00:00:00.000000,0.01314596,0.01860065,0.02405860,9,13,17,3,4,5,0.00468964,0.00637156,0.00757614,0.42691525,0.48318600,0.54587540
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-16 00:00:00.000000,0.01555635,0.02159117,0.02709848,11,16,20,3,5,6,0.00509485,0.00735459,0.00887866,0.42653081,0.47963427,0.54359535
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-17 00:00:00.000000,0.01798348,0.02450433,0.03057242,13,18,22,4,6,7,0.00580460,0.00842017,0.01015831,0.42369720,0.47693357,0.53743428
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-18 00:00:00.000000,0.02047452,0.02734413,0.03429308,15,20,25,4,7,8,0.00668236,0.00943945,0.01150549,0.41778078,0.47121609,0.52178315
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-19 00:00:00.000000,0.02294567,0.03005840,0.03809667,17,22,28,5,7,9,0.00763898,0.01050033,0.01303450,0.41520062,0.45769377,0.49061774
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-20 00:00:00.000000,0.02518768,0.03257991,0.04198777,18,24,31,6,8,10,0.00862067,0.01172855,0.01452694,0.39849276,0.43005074,0.46200227
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-21 00:00:00.000000,0.02735657,0.03493116,0.04562696,20,25,33,7,9,11,0.00958658,0.01287612,0.01613230,0.36018020,0.40274715,0.45426249
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-22 00:00:00.000000,0.02932844,0.03729964,0.04906878,21,27,36,7,10,13,0.01050541,0.01401524,0.01766498,0.33924022,0.37990587,0.44233953
20161,0,USKansasRiley,Kansas,Riley,2021-10-14 17:31:06.761769,2020-03-23 00:00:00.000000,0.03045448,0.03852108,0.05045264,22,28,37,8,11,14,0.01135824,0.01518245,0.01910322,0.32090093,0.36707405,0.42765176
