FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-09 00:00:00.000000,0.00418549,0.03274145,0.15246937,0,0,4,0,0,2,0.00232073,0.01814171,0.08065214,0.35268223,0.48907822,0.73289773
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-10 00:00:00.000000,0.00458889,0.03622129,0.15324208,0,1,4,0,0,2,0.00249058,0.01865731,0.07706602,0.35265980,0.48908247,0.73288744
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-11 00:00:00.000000,0.00505311,0.03995906,0.15594591,0,1,4,0,0,2,0.00260075,0.01990881,0.07911037,0.35260779,0.48909298,0.73286891
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-12 00:00:00.000000,0.00558220,0.04319638,0.15972661,0,1,4,0,0,2,0.00289589,0.02181386,0.08327028,0.35248725,0.48911610,0.73283551
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-13 00:00:00.000000,0.00618101,0.04735870,0.16446993,0,1,4,0,0,2,0.00323795,0.02375669,0.08670459,0.35220832,0.48916188,0.73277533
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-14 00:00:00.000000,0.00685542,0.05147997,0.17096207,0,1,5,0,0,2,0.00362186,0.02574859,0.08986735,0.35174664,0.48923877,0.73266696
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-15 00:00:00.000000,0.00761230,0.05540793,0.17784327,0,1,5,0,0,2,0.00404838,0.02797114,0.09307227,0.35168764,0.48931549,0.73247184
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-16 00:00:00.000000,0.00845964,0.06020333,0.18491652,0,1,5,0,0,2,0.00452106,0.03061168,0.09759797,0.34645880,0.48579260,0.73212071
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-17 00:00:00.000000,0.00940635,0.06588088,0.19183777,0,2,5,0,1,3,0.00504496,0.03394350,0.10482485,0.33837009,0.48012675,0.73148869
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-18 00:00:00.000000,0.01046197,0.07206084,0.20175420,0,2,6,0,1,3,0.00562605,0.03701161,0.11330122,0.32110182,0.46769045,0.72850568
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-19 00:00:00.000000,0.01163504,0.07823958,0.21788274,0,2,6,0,1,3,0.00627157,0.04063103,0.12244069,0.28785654,0.44964694,0.72805491
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-20 00:00:00.000000,0.01293098,0.08325158,0.23519688,0,2,7,0,1,4,0.00699359,0.04403016,0.13229250,0.25802640,0.43190610,0.72417757
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-21 00:00:00.000000,0.01432410,0.08786990,0.25323102,0,2,7,0,1,4,0.00779151,0.04695859,0.14038322,0.24141116,0.41110565,0.69337794
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-22 00:00:00.000000,0.01567485,0.09284304,0.26904128,0,2,8,0,1,4,0.00865957,0.05048968,0.15431084,0.22373081,0.39489504,0.62133085
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-23 00:00:00.000000,0.01678318,0.09829489,0.28476220,0,2,8,0,1,5,0.00955731,0.05506217,0.16529040,0.22269867,0.37625182,0.59092791
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-24 00:00:00.000000,0.01767973,0.10253818,0.29487095,0,3,8,0,1,5,0.01032513,0.05849127,0.17049815,0.20715937,0.36122838,0.56445332
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-25 00:00:00.000000,0.01848336,0.10765983,0.30443949,0,3,9,0,1,5,0.01102734,0.06123702,0.17207292,0.19256815,0.35423039,0.54198294
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-26 00:00:00.000000,0.01931123,0.11275304,0.31183896,0,3,9,0,1,5,0.01175852,0.06466934,0.17336521,0.18954843,0.34283436,0.53423582
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-27 00:00:00.000000,0.02197408,0.11733750,0.32072923,0,3,9,0,2,5,0.01248873,0.06607714,0.17515258,0.18888829,0.32859439,0.52651701
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-28 00:00:00.000000,0.02451261,0.12182792,0.32619020,0,3,9,0,2,5,0.01330318,0.06816311,0.18035546,0.18061700,0.31785234,0.51979731
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-29 00:00:00.000000,0.02578570,0.12457958,0.33022119,0,3,10,0,2,5,0.01408685,0.06988335,0.18490570,0.16887483,0.30818864,0.51181681
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-30 00:00:00.000000,0.02698423,0.12304144,0.33336444,0,3,10,0,2,5,0.01487241,0.07098437,0.18867135,0.15296070,0.29516567,0.48305889
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-03-31 00:00:00.000000,0.02806286,0.12432080,0.33582877,0,3,10,0,2,5,0.01563925,0.07177374,0.19175747,0.14427992,0.28690735,0.43167580
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-01 00:00:00.000000,0.02742902,0.12406579,0.33759368,0,3,10,0,2,5,0.01581246,0.07245614,0.19427579,0.13905800,0.27423969,0.42099468
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-02 00:00:00.000000,0.02661865,0.12260683,0.33852991,0,3,10,0,2,5,0.01597931,0.07362597,0.19628796,0.13822955,0.26750602,0.41365112
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-03 00:00:00.000000,0.02584897,0.12399771,0.33847366,0,3,10,0,2,6,0.01657649,0.07391531,0.19779872,0.13516700,0.25674672,0.40493826
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-04 00:00:00.000000,0.02678675,0.12489651,0.33735766,0,3,10,0,2,6,0.01719335,0.07341999,0.19876706,0.13606105,0.24932386,0.39507949
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-05 00:00:00.000000,0.02777091,0.12561770,0.33532045,0,3,10,0,2,6,0.01783239,0.07419640,0.19915067,0.12987262,0.23667904,0.38887691
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-06 00:00:00.000000,0.02881880,0.12823675,0.33255886,0,3,10,0,2,6,0.01849735,0.07504924,0.19896567,0.12401447,0.23051756,0.38861553
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-07 00:00:00.000000,0.02997069,0.12976645,0.32925735,0,3,9,0,2,6,0.01886910,0.07694706,0.19827098,0.11938029,0.22549034,0.38812615
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-08 00:00:00.000000,0.03121481,0.12877409,0.32553741,0,3,9,0,2,5,0.01864820,0.07894229,0.19714173,0.11984228,0.22006979,0.38759900
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-09 00:00:00.000000,0.03095693,0.12970418,0.32415068,0,3,9,0,2,5,0.01842567,0.07944226,0.19564693,0.11788838,0.21812608,0.37422420
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-10 00:00:00.000000,0.03021978,0.12733156,0.32404072,0,3,9,0,2,5,0.01819287,0.07865912,0.19380083,0.11650688,0.21475004,0.36802839
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-11 00:00:00.000000,0.02949278,0.12485455,0.32265756,0,3,9,0,2,5,0.01795312,0.07777239,0.19265856,0.11448376,0.21074124,0.36086989
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-12 00:00:00.000000,0.02878621,0.12192584,0.32022484,0,3,9,0,2,5,0.01770907,0.07707830,0.19268852,0.11232519,0.20785801,0.35075249
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-13 00:00:00.000000,0.02831330,0.12054972,0.30671007,0,3,9,0,2,5,0.01746312,0.07467707,0.19016782,0.10923846,0.20132606,0.34088776
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-14 00:00:00.000000,0.02905296,0.12275866,0.29304254,0,3,8,0,2,5,0.01721728,0.07552057,0.18292206,0.10730849,0.20049465,0.33009641
20165,0,USKansasRush,Kansas,Rush,2021-11-11 07:13:36.079281,2020-04-15 00:00:00.000000,0.02914549,0.12115025,0.28825183,0,3,8,0,2,5,0.01712171,0.07583184,0.17987781,0.10178707,0.19851746,0.32436823
