FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-09 00:00:00.000000,0.00060806,0.00525172,0.02890183,0,0,2,0,0,1,0.00036687,0.00286850,0.01872258,0.38767227,0.52151101,0.74137018
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-10 00:00:00.000000,0.00068516,0.00593332,0.03210217,0,0,2,0,0,1,0.00038497,0.00273120,0.01784584,0.38766921,0.52151080,0.74133488
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-11 00:00:00.000000,0.00076253,0.00673470,0.03539989,0,0,2,0,0,1,0.00039368,0.00284578,0.01790539,0.38766234,0.52151049,0.73984824
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-12 00:00:00.000000,0.00084299,0.00743495,0.03891868,0,0,3,0,0,1,0.00041443,0.00306100,0.01857560,0.38764620,0.52151004,0.73687195
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-13 00:00:00.000000,0.00092854,0.00809909,0.04274204,0,0,3,0,0,1,0.00044413,0.00331167,0.01967766,0.38760648,0.52150939,0.73356290
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-14 00:00:00.000000,0.00102091,0.00883690,0.04693275,0,0,3,0,0,1,0.00048133,0.00354505,0.02111614,0.38750465,0.52150850,0.72786578
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-15 00:00:00.000000,0.00112181,0.00960278,0.05154362,0,0,4,0,0,1,0.00052461,0.00385953,0.02284352,0.38723553,0.52150743,0.71829434
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-16 00:00:00.000000,0.00123122,0.01040960,0.05661244,0,0,4,0,0,1,0.00057356,0.00422985,0.02484020,0.38113659,0.51028383,0.70688375
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-17 00:00:00.000000,0.00137295,0.01128601,0.06217994,0,0,4,0,0,2,0.00062801,0.00463534,0.02710305,0.37520328,0.50919745,0.70435139
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-18 00:00:00.000000,0.00155593,0.01223865,0.06822586,0,0,5,0,0,2,0.00068780,0.00507651,0.02963470,0.36425042,0.50335653,0.70457313
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-19 00:00:00.000000,0.00175808,0.01327385,0.07447421,0,1,5,0,0,2,0.00075237,0.00555390,0.03242365,0.36175016,0.49189003,0.73071586
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-20 00:00:00.000000,0.00197660,0.01452142,0.08042491,0,1,6,0,0,2,0.00084988,0.00606952,0.03542747,0.34090626,0.47772946,0.71631275
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-21 00:00:00.000000,0.00220794,0.01577329,0.08626460,0,1,6,0,0,2,0.00095907,0.00674139,0.03851351,0.32951868,0.47513346,0.68647309
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-22 00:00:00.000000,0.00245189,0.01701881,0.09238147,0,1,7,0,0,3,0.00107707,0.00734703,0.04163005,0.28578417,0.45706788,0.67343042
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-23 00:00:00.000000,0.00271380,0.01820899,0.09888167,0,1,7,0,0,3,0.00120315,0.00797456,0.04482022,0.25045518,0.43548439,0.66071385
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-24 00:00:00.000000,0.00299869,0.01937907,0.10580987,0,1,8,0,0,3,0.00133784,0.00859906,0.04813971,0.23596253,0.42428944,0.62999550
20193,0,USKansasThomas,Kansas,Thomas,2021-11-12 18:04:54.090028,2020-03-25 00:00:00.000000,0.00330870,0.02056981,0.11318759,0,1,8,0,0,4,0.00148271,0.00921517,0.05163240,0.23141193,0.41185241,0.61502299
