FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-09 00:00:00.000000,0.02114970,0.09366456,0.31523592,0,2,9,0,1,5,0.01252925,0.05147098,0.18334374,0.37142263,0.46702596,0.64150419
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-10 00:00:00.000000,0.02249919,0.09785530,0.32920701,0,3,10,0,1,5,0.01251166,0.04885310,0.16922278,0.37142241,0.46588424,0.64147261
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-11 00:00:00.000000,0.02389611,0.10438205,0.34697502,0,3,10,0,1,5,0.01286773,0.04950000,0.16509783,0.37142200,0.46588373,0.64142164
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-12 00:00:00.000000,0.02534724,0.11082045,0.36575845,0,3,11,0,1,5,0.01344440,0.05295578,0.16455409,0.37142127,0.46587293,0.64133823
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-13 00:00:00.000000,0.02685785,0.11894978,0.38575722,0,3,12,0,1,5,0.01401762,0.05742488,0.16729904,0.37141993,0.46563489,0.64115156
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-14 00:00:00.000000,0.02843028,0.12769809,0.40708446,0,4,12,0,1,5,0.01467147,0.06014355,0.17239308,0.37141748,0.46505457,0.64062041
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-15 00:00:00.000000,0.03005965,0.13530893,0.42976782,0,4,13,0,2,5,0.01542866,0.06395103,0.17923965,0.37141299,0.46365633,0.63399204
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-16 00:00:00.000000,0.06697893,0.18654490,0.48095693,2,5,15,0,2,5,0.01625956,0.06735264,0.18745315,0.36866098,0.45624965,0.62151088
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-17 00:00:00.000000,0.09267109,0.23196003,0.53211747,2,7,16,0,2,6,0.02401429,0.07923672,0.20118499,0.35803086,0.44526252,0.62124026
20207,0,USKansasWoodson,Kansas,Woodson,2021-10-28 17:23:29.312233,2020-03-18 00:00:00.000000,0.11898963,0.28137228,0.58466639,3,8,18,1,3,7,0.03353570,0.10044692,0.22550847,0.33572853,0.43574783,0.62059867
