FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-09 00:00:00.000000,0.00118332,0.01435457,0.06536588,0,1,8,0,1,4,0.00079619,0.00802394,0.03963033,0.33486715,0.47222362,0.62635570
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-10 00:00:00.000000,0.00129214,0.01575475,0.07067915,0,1,8,0,1,4,0.00077508,0.00818517,0.03994901,0.33486586,0.47215203,0.62628848
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-11 00:00:00.000000,0.00140507,0.01737058,0.07762119,0,2,9,0,1,5,0.00078607,0.00904195,0.04137460,0.33486383,0.47204312,0.62612464
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-12 00:00:00.000000,0.00152530,0.01880585,0.08209271,0,2,10,0,1,5,0.00081835,0.00986674,0.04343834,0.33486063,0.46846144,0.62572581
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-13 00:00:00.000000,0.00165510,0.02059740,0.08717414,0,2,10,0,1,5,0.00086583,0.01079912,0.04589063,0.33485558,0.46741018,0.62475780
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-14 00:00:00.000000,0.00179619,0.02263125,0.09258752,0,2,11,0,1,6,0.00092512,0.01189630,0.04856343,0.33484760,0.46516140,0.62242527
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-15 00:00:00.000000,0.00195006,0.02494208,0.10131616,0,3,12,0,1,6,0.00099449,0.01280071,0.05132873,0.33483471,0.45778102,0.61723861
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-16 00:00:00.000000,0.00773166,0.03588672,0.11584251,0,4,14,0,1,6,0.00107315,0.01376371,0.05446818,0.32547890,0.44979288,0.61718598
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-17 00:00:00.000000,0.01354686,0.04530299,0.12989825,1,5,16,0,2,7,0.00237336,0.01723861,0.06108712,0.29672499,0.44411844,0.61704075
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-18 00:00:00.000000,0.02012122,0.05724294,0.14492796,2,7,18,0,2,8,0.00451677,0.02121899,0.06892698,0.28804797,0.43304120,0.61659412
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-19 00:00:00.000000,0.02745720,0.07051374,0.16065578,3,8,20,0,3,9,0.00727026,0.02752335,0.07695213,0.26172199,0.42565881,0.61393504
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-20 00:00:00.000000,0.03548210,0.08492039,0.17744943,4,10,22,1,4,10,0.01051343,0.03293272,0.08553563,0.24577473,0.39402476,0.58992914
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-21 00:00:00.000000,0.04160558,0.09864142,0.19424129,5,12,24,1,4,11,0.01417780,0.03963980,0.09475682,0.23498246,0.36982845,0.55159515
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-22 00:00:00.000000,0.04817451,0.11259414,0.21176194,6,14,26,2,5,13,0.01812936,0.04777982,0.10436291,0.22414974,0.34774633,0.54625837
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-23 00:00:00.000000,0.06127330,0.12507043,0.23023727,7,15,28,2,6,14,0.02236971,0.05571923,0.11735605,0.21279287,0.31996698,0.53894607
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-24 00:00:00.000000,0.07321269,0.13625219,0.25062869,9,17,31,3,7,16,0.02787772,0.06394739,0.12926757,0.18378557,0.30815443,0.48722364
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-25 00:00:00.000000,0.08565772,0.14921969,0.26585348,10,18,33,4,8,17,0.03350404,0.07146816,0.13739122,0.16051051,0.29241279,0.43437273
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-26 00:00:00.000000,0.09857519,0.16342362,0.29731868,12,20,37,4,10,18,0.03968765,0.08002170,0.14696297,0.14974290,0.27580628,0.43332823
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-27 00:00:00.000000,0.11020514,0.17704825,0.31292022,13,22,39,5,10,20,0.04628387,0.08763428,0.16583527,0.14021746,0.26822758,0.42936046
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-28 00:00:00.000000,0.12045432,0.18734515,0.32757955,15,23,40,6,11,22,0.05321291,0.09311671,0.17905976,0.12046221,0.25370830,0.40919306
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-29 00:00:00.000000,0.13169092,0.19397734,0.34059085,16,24,42,7,12,23,0.06041805,0.10311418,0.18799063,0.11706080,0.23551694,0.37173657
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-30 00:00:00.000000,0.14101574,0.21311355,0.35581734,17,26,44,8,13,24,0.06796553,0.11112679,0.19619733,0.11678763,0.22009603,0.30393501
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-03-31 00:00:00.000000,0.14631050,0.22591464,0.36673994,18,28,45,9,14,25,0.07515032,0.11613462,0.20614370,0.11214637,0.21506145,0.29187143
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-04-01 00:00:00.000000,0.15183097,0.23693466,0.40172160,18,29,50,9,15,27,0.07975633,0.12325692,0.21714501,0.10698009,0.20243382,0.28693716
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-04-02 00:00:00.000000,0.16552789,0.24658966,0.44246677,20,30,55,10,16,28,0.08146982,0.12981614,0.22874615,0.10227284,0.19440811,0.28237839
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-04-03 00:00:00.000000,0.17385728,0.25517695,0.44605467,21,31,55,11,16,30,0.08912313,0.13491855,0.24063877,0.09617316,0.18107803,0.27101176
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-04-04 00:00:00.000000,0.17982445,0.26202603,0.44828177,22,32,56,12,17,32,0.09677952,0.13945561,0.25774880,0.09507904,0.17540537,0.25057394
21011,0,USKentuckyBath,Kentucky,Bath,2021-09-29 15:15:30.970507,2020-04-05 00:00:00.000000,0.18142517,0.26873467,0.48158244,22,33,60,12,18,34,0.09990897,0.14460240,0.27543231,0.08362784,0.16987591,0.24435937
