FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-09 00:00:00.000000,0.00080779,0.00407163,0.01386982,0,3,11,0,1,6,0.00041962,0.00227103,0.00760213,0.35170258,0.52390057,0.68015550
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-10 00:00:00.000000,0.00091973,0.00456191,0.01512897,0,3,12,0,1,6,0.00043676,0.00227444,0.00758708,0.35168247,0.52389040,0.68015550
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-11 00:00:00.000000,0.00098782,0.00495764,0.01649295,0,4,13,0,1,6,0.00045587,0.00238746,0.00783793,0.35163972,0.52386402,0.68015548
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-12 00:00:00.000000,0.00105654,0.00530881,0.01797216,0,4,14,0,2,6,0.00047398,0.00260353,0.00823884,0.35154890,0.52379555,0.68015535
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-13 00:00:00.000000,0.00113219,0.00580584,0.01957793,0,4,15,0,2,7,0.00053347,0.00290582,0.00899348,0.35140432,0.52361805,0.68015431
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-14 00:00:00.000000,0.00121233,0.00624368,0.02132245,0,5,17,0,2,8,0.00059985,0.00321236,0.00994562,0.35112531,0.52312076,0.68014594
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-15 00:00:00.000000,0.00129331,0.00674652,0.02321852,1,5,18,0,2,8,0.00067255,0.00349428,0.01100816,0.35053224,0.51765771,0.66474041
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-16 00:00:00.000000,0.00209285,0.00942756,0.02577245,1,7,21,0,3,9,0.00073143,0.00386066,0.01218389,0.34928184,0.51496721,0.66448677
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-17 00:00:00.000000,0.00311572,0.01155199,0.02848143,2,9,23,0,3,11,0.00099906,0.00486516,0.01379312,0.34669009,0.50006313,0.66315830
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-18 00:00:00.000000,0.00424581,0.01425488,0.03274219,3,11,26,1,4,12,0.00137192,0.00598528,0.01570992,0.34150154,0.49517673,0.64505513
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-19 00:00:00.000000,0.00539851,0.01669323,0.04052282,4,13,33,1,5,14,0.00194312,0.00717505,0.01789958,0.32899964,0.48877472,0.62277617
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-20 00:00:00.000000,0.00617923,0.01953420,0.04777472,5,15,39,2,6,16,0.00258779,0.00849229,0.02078807,0.31512965,0.46640973,0.60992047
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-21 00:00:00.000000,0.00686380,0.02216115,0.05542722,5,18,45,2,7,19,0.00323942,0.00965494,0.02418798,0.29342470,0.44358936,0.60203560
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-22 00:00:00.000000,0.00723733,0.02512920,0.06244601,5,20,51,3,9,22,0.00370575,0.01173041,0.02783828,0.28825618,0.42273801,0.58581371
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-23 00:00:00.000000,0.00929115,0.02980931,0.06511382,7,24,53,3,10,27,0.00421097,0.01333924,0.03345146,0.27024392,0.40380064,0.56646255
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-24 00:00:00.000000,0.01108067,0.03422211,0.07168277,9,27,58,4,12,30,0.00522050,0.01577798,0.03721424,0.24433108,0.38720046,0.55018489
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-25 00:00:00.000000,0.01327933,0.03759090,0.08245549,10,30,67,5,14,32,0.00642402,0.01782523,0.03965751,0.21577333,0.36124533,0.49749752
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-26 00:00:00.000000,0.01492520,0.04081820,0.09378592,12,33,76,6,16,37,0.00743013,0.01989820,0.04536570,0.20024752,0.34951141,0.48928039
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-27 00:00:00.000000,0.01638317,0.04374670,0.10498844,13,35,85,6,17,40,0.00831310,0.02198644,0.04962671,0.18459400,0.32990786,0.48814285
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-28 00:00:00.000000,0.01798493,0.04676145,0.11182834,14,38,91,7,19,46,0.00919059,0.02408412,0.05639033,0.17196309,0.31001415,0.48612693
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-29 00:00:00.000000,0.01922076,0.05049323,0.11716315,15,41,95,8,21,49,0.01005698,0.02617521,0.06008768,0.16419245,0.29818671,0.48245992
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-30 00:00:00.000000,0.02288865,0.05215292,0.12019213,18,42,98,8,23,50,0.01091113,0.02821485,0.06222040,0.15673734,0.28735690,0.45604990
21029,0,USKentuckyBullitt,Kentucky,Bullitt,2021-03-04 21:40:58.617074,2020-03-31 00:00:00.000000,0.02603279,0.05615854,0.12290721,21,45,100,10,24,52,0.01251392,0.03026092,0.06427985,0.15210619,0.27473052,0.42727533
