FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-09 00:00:00.000000,0.00114556,0.00997251,0.03980664,0,2,10,0,1,5,0.00057819,0.00578902,0.02139548,0.38915190,0.51374232,0.69436706
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-10 00:00:00.000000,0.00126825,0.01121871,0.04197483,0,3,11,0,1,5,0.00057090,0.00560757,0.02218122,0.38912856,0.51373833,0.69436613
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-11 00:00:00.000000,0.00138855,0.01267302,0.04416823,0,3,11,0,1,6,0.00058134,0.00571010,0.02276077,0.38908117,0.51372764,0.69436308
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-12 00:00:00.000000,0.00146598,0.01371946,0.04639876,0,3,12,0,1,6,0.00061222,0.00608980,0.02316251,0.38898516,0.51120218,0.69435297
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-13 00:00:00.000000,0.00154454,0.01482127,0.04979578,0,3,13,0,1,6,0.00066119,0.00643943,0.02385575,0.38879154,0.51065621,0.69431937
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-14 00:00:00.000000,0.00162475,0.01630106,0.05415218,0,4,14,0,1,6,0.00072249,0.00684102,0.02474558,0.38840463,0.51029886,0.69420753
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-15 00:00:00.000000,0.00170704,0.01767779,0.05874878,0,4,15,0,2,6,0.00079244,0.00750379,0.02605156,0.38764565,0.51029857,0.69383544
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-16 00:00:00.000000,0.00373910,0.02466465,0.06483324,1,6,17,0,2,7,0.00083537,0.00821167,0.02827867,0.37759436,0.50567832,0.69260141
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-17 00:00:00.000000,0.00542940,0.03089367,0.07111911,1,8,19,0,2,8,0.00109890,0.00964982,0.03174587,0.36666879,0.50030451,0.68855532
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-18 00:00:00.000000,0.00740941,0.03595051,0.08010396,1,9,21,0,3,9,0.00183058,0.01124030,0.03617486,0.34556093,0.48988052,0.67614145
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-19 00:00:00.000000,0.00932251,0.04290228,0.09036028,2,11,24,0,3,11,0.00251287,0.01352424,0.04139880,0.32020703,0.46815120,0.66254911
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-20 00:00:00.000000,0.01070749,0.05170874,0.10086008,2,13,27,0,4,12,0.00331583,0.01561720,0.04702270,0.29662277,0.44164723,0.66002508
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-21 00:00:00.000000,0.01218174,0.05868035,0.11301405,3,15,30,1,5,13,0.00418251,0.01871003,0.05119205,0.27593148,0.39889244,0.60750163
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-22 00:00:00.000000,0.01371053,0.06411695,0.13261377,3,17,35,1,6,15,0.00506809,0.02255995,0.05869018,0.24882543,0.38090069,0.56826197
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-23 00:00:00.000000,0.02184124,0.07272316,0.14199851,5,19,38,1,6,17,0.00603466,0.02566027,0.06544280,0.23500880,0.37110523,0.54793707
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-24 00:00:00.000000,0.02789658,0.07806317,0.15402612,7,20,41,2,7,18,0.00799717,0.02976802,0.07021546,0.23452059,0.36369624,0.53578092
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-25 00:00:00.000000,0.03483158,0.08478282,0.16081355,9,22,43,2,9,19,0.01046581,0.03375467,0.07448100,0.23204996,0.35693251,0.50374471
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-26 00:00:00.000000,0.04224984,0.09189649,0.17495741,11,24,46,3,9,20,0.01306855,0.03676546,0.07834930,0.21023984,0.34731305,0.46014821
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-27 00:00:00.000000,0.04745510,0.09828998,0.19676297,12,26,52,4,10,22,0.01600805,0.04012178,0.08263217,0.19743725,0.33051489,0.45898742
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-28 00:00:00.000000,0.05385717,0.10603838,0.21540844,14,28,57,5,11,24,0.01974183,0.04383092,0.09280105,0.18586785,0.31252476,0.44566613
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-29 00:00:00.000000,0.05799644,0.11311168,0.23320332,15,30,62,6,12,26,0.02287226,0.04743615,0.09821864,0.17860551,0.29318264,0.44483406
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-30 00:00:00.000000,0.06224940,0.11915467,0.24055988,16,31,64,7,13,27,0.02642718,0.05110719,0.10346995,0.17488500,0.27214987,0.44947283
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-03-31 00:00:00.000000,0.06606807,0.12466292,0.24618265,17,33,65,7,14,29,0.02883592,0.05567613,0.11001915,0.16684110,0.26191288,0.44928965
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-01 00:00:00.000000,0.06959439,0.13090011,0.25188912,18,35,67,8,15,31,0.03056478,0.05963566,0.11907952,0.15163010,0.25279487,0.44870912
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-02 00:00:00.000000,0.07287704,0.13684652,0.26588706,19,36,71,8,16,34,0.03227733,0.06305159,0.12740284,0.14432615,0.23974453,0.44669897
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-03 00:00:00.000000,0.07596284,0.14386056,0.26427720,20,38,70,9,17,36,0.03535785,0.06554450,0.13491150,0.13309019,0.22950000,0.42943682
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-04 00:00:00.000000,0.07875590,0.14829636,0.27193851,21,39,72,9,18,38,0.03674026,0.06884295,0.14244791,0.13217249,0.21929116,0.41160498
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-05 00:00:00.000000,0.08134520,0.15179254,0.28123383,21,40,75,10,19,39,0.03781248,0.07239038,0.14834391,0.12254824,0.20736132,0.38896072
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-06 00:00:00.000000,0.08625287,0.15783680,0.28831979,23,42,77,10,20,41,0.03875136,0.07623539,0.15441501,0.11777452,0.20107108,0.36894154
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-07 00:00:00.000000,0.09370025,0.16362211,0.29504286,25,43,79,11,21,42,0.04109328,0.07924313,0.15982008,0.11635554,0.19481126,0.34477179
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-08 00:00:00.000000,0.09831102,0.17014443,0.30111759,26,45,80,11,22,44,0.04443877,0.08211522,0.16450105,0.11289934,0.19192820,0.34670893
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-09 00:00:00.000000,0.09973669,0.17384993,0.30622451,26,46,82,12,22,45,0.04842079,0.08504922,0.16837499,0.10834696,0.18848257,0.32786959
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-10 00:00:00.000000,0.10087986,0.17736221,0.31005567,27,47,83,13,23,46,0.04968801,0.08708465,0.17287408,0.10582495,0.18427439,0.31222297
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-11 00:00:00.000000,0.10174136,0.18302231,0.31501961,27,49,84,13,23,47,0.05079708,0.08904847,0.17676316,0.10406960,0.18033639,0.28102760
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-12 00:00:00.000000,0.10246450,0.18941179,0.31592350,27,50,84,13,24,48,0.05182725,0.09092485,0.17950308,0.09866843,0.17384617,0.27868838
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-13 00:00:00.000000,0.11042211,0.18881374,0.31892381,29,50,85,14,25,48,0.05284739,0.09343583,0.17983543,0.09559099,0.16834820,0.26101016
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-14 00:00:00.000000,0.11441787,0.18903399,0.32636895,30,50,87,14,25,48,0.05537958,0.09570854,0.18098804,0.09471092,0.16171145,0.26099762
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-15 00:00:00.000000,0.11828623,0.19467278,0.33382653,31,52,89,15,25,49,0.05792072,0.09642773,0.18303333,0.09268521,0.15972102,0.26099001
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-16 00:00:00.000000,0.12170762,0.19599294,0.34122003,32,52,91,16,26,49,0.05972995,0.09766729,0.18361099,0.09219863,0.15652538,0.26097312
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-17 00:00:00.000000,0.12439975,0.19886452,0.34839093,33,53,93,16,26,50,0.06154532,0.09796089,0.18682811,0.09221945,0.15029303,0.26071740
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-18 00:00:00.000000,0.12647252,0.20439052,0.35450784,33,54,94,16,26,50,0.06320351,0.09981929,0.18768719,0.09215462,0.14456792,0.25589149
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-19 00:00:00.000000,0.12817157,0.20842741,0.35829850,34,55,96,17,27,50,0.06464890,0.10201226,0.18845007,0.09016473,0.14057872,0.24108841
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-20 00:00:00.000000,0.13048921,0.21091995,0.35431181,34,56,94,17,27,50,0.06591840,0.10368489,0.18919755,0.08601346,0.13756952,0.23843957
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-21 00:00:00.000000,0.13264853,0.21236941,0.34684285,35,56,92,17,28,51,0.06713112,0.10543313,0.19142742,0.07907812,0.13732192,0.23812796
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-22 00:00:00.000000,0.13287059,0.21795094,0.34782587,35,58,93,18,28,52,0.06827619,0.10754939,0.19460296,0.07554513,0.13604403,0.23790664
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-23 00:00:00.000000,0.13104965,0.21881488,0.35123818,35,58,94,18,29,53,0.06787590,0.10967715,0.19870258,0.07412527,0.13522078,0.23774793
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-24 00:00:00.000000,0.12923563,0.22023422,0.35777330,34,59,95,17,29,54,0.06696548,0.11122567,0.20236155,0.07368552,0.13302243,0.23594510
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-25 00:00:00.000000,0.12739275,0.22547680,0.36363178,34,60,97,17,30,55,0.06607370,0.11341509,0.20644965,0.07464262,0.13209659,0.22597487
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-26 00:00:00.000000,0.12551341,0.22910294,0.36509573,33,61,97,17,31,56,0.06472936,0.11658581,0.21050587,0.07410158,0.13111951,0.21796438
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-27 00:00:00.000000,0.13010800,0.22638553,0.36455056,34,60,97,16,31,57,0.06319476,0.11859675,0.21450641,0.07505246,0.12721976,0.21190443
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-28 00:00:00.000000,0.13229952,0.22628949,0.35990663,35,60,96,16,32,58,0.06177992,0.12106273,0.21844156,0.07471800,0.12391902,0.20691035
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-29 00:00:00.000000,0.12930538,0.22542497,0.35491587,34,60,95,16,32,58,0.06179033,0.12097768,0.21918220,0.07448333,0.12209873,0.20216795
21043,0,USKentuckyCarter,Kentucky,Carter,2021-03-04 21:24:52.727947,2020-04-30 00:00:00.000000,0.12540141,0.22357586,0.36841956,33,59,98,16,32,58,0.06204790,0.12166985,0.21876398,0.07417799,0.11946003,0.19686214
