FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-09 00:00:00.000000,0.00176356,0.01052112,0.03033793,0,3,10,0,1,5,0.00089670,0.00555007,0.01657973,0.36933384,0.48484831,0.65786240
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-10 00:00:00.000000,0.00203384,0.01114460,0.03264606,0,3,11,0,1,5,0.00084144,0.00525848,0.01611122,0.36933348,0.48476718,0.65786123
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-11 00:00:00.000000,0.00231032,0.01182298,0.03557081,0,4,12,0,1,5,0.00084211,0.00537172,0.01590366,0.36933299,0.48462410,0.65785852
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-12 00:00:00.000000,0.00258131,0.01248096,0.03852858,0,4,13,0,2,6,0.00093631,0.00587793,0.01708134,0.36933233,0.48437236,0.65785202
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-13 00:00:00.000000,0.00264792,0.01371341,0.04156472,0,4,14,0,2,6,0.00105824,0.00628819,0.01805838,0.36933141,0.48404039,0.65783611
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-14 00:00:00.000000,0.00271520,0.01504609,0.04416824,0,5,15,0,2,6,0.00111433,0.00650136,0.01916244,0.36933016,0.48243277,0.65779626
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-15 00:00:00.000000,0.00278331,0.01609577,0.04684244,0,5,16,0,2,7,0.00112850,0.00715765,0.02071225,0.36932844,0.48241071,0.65660032
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-16 00:00:00.000000,0.00558217,0.02042588,0.05256008,1,7,18,0,2,7,0.00114984,0.00764824,0.02233869,0.36932608,0.48235591,0.64818414
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-17 00:00:00.000000,0.00809220,0.02500218,0.05833731,2,8,20,0,3,8,0.00183902,0.00888820,0.02424784,0.36932282,0.47563141,0.62979233
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-18 00:00:00.000000,0.00970535,0.02880904,0.06435806,3,10,22,0,3,9,0.00261164,0.01045722,0.02633225,0.36624636,0.46089175,0.60303179
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-19 00:00:00.000000,0.01186494,0.03356397,0.07131837,4,11,25,1,4,10,0.00366366,0.01251563,0.02879321,0.33902681,0.44113018,0.60004645
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-20 00:00:00.000000,0.01457067,0.03959501,0.08031036,5,14,28,1,5,11,0.00437330,0.01419323,0.03252267,0.31108547,0.42700621,0.58735447
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-21 00:00:00.000000,0.01742776,0.04437903,0.08809981,6,15,31,1,6,13,0.00560615,0.01698160,0.03835765,0.28867022,0.40744238,0.55917789
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-22 00:00:00.000000,0.02041254,0.04983951,0.09945153,7,17,35,2,6,15,0.00695189,0.01957952,0.04426848,0.24498306,0.38283875,0.55430199
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-23 00:00:00.000000,0.02236369,0.05613648,0.10810940,7,19,38,2,7,17,0.00839507,0.02204040,0.04835405,0.23655349,0.36306876,0.55444437
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-24 00:00:00.000000,0.02432562,0.06219196,0.11707152,8,22,41,3,8,18,0.00945205,0.02484426,0.05213750,0.23052295,0.34783155,0.53002054
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-25 00:00:00.000000,0.02630666,0.06827148,0.12501981,9,24,44,3,9,20,0.01025571,0.02762409,0.05706251,0.21228650,0.33276703,0.52843216
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-26 00:00:00.000000,0.02936236,0.07425994,0.13481109,10,26,47,3,10,22,0.01103729,0.03079161,0.06214842,0.20125762,0.32000545,0.47901663
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-27 00:00:00.000000,0.03201894,0.08057606,0.14215375,11,28,50,4,12,23,0.01182978,0.03415596,0.06728703,0.20112460,0.29976885,0.44991792
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-28 00:00:00.000000,0.03452114,0.08680574,0.15054955,12,30,53,4,13,25,0.01360206,0.03795134,0.07247571,0.18311276,0.28256334,0.43453068
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-29 00:00:00.000000,0.03695707,0.09168055,0.15995947,13,32,56,5,14,27,0.01591735,0.04119740,0.07771535,0.17641573,0.27585673,0.41572949
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-30 00:00:00.000000,0.04023274,0.09743566,0.16728672,14,34,59,6,15,29,0.01745209,0.04435100,0.08300496,0.17576114,0.26614583,0.40545897
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-03-31 00:00:00.000000,0.04338739,0.10116349,0.17723228,15,36,63,6,16,31,0.01915627,0.04705751,0.08814061,0.17676417,0.26101587,0.37928432
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-04-01 00:00:00.000000,0.04652258,0.10616283,0.18580694,16,37,66,7,17,33,0.02135743,0.05030674,0.09314829,0.17985180,0.25288369,0.36378427
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-04-02 00:00:00.000000,0.04962836,0.11166359,0.19378789,17,39,68,8,19,34,0.02391919,0.05346658,0.09803674,0.16158884,0.24427954,0.34443240
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-04-03 00:00:00.000000,0.05323408,0.11501761,0.20095673,18,40,71,9,19,36,0.02674822,0.05551395,0.10276897,0.15504829,0.23651917,0.34300986
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-04-04 00:00:00.000000,0.05718616,0.11807525,0.20425660,20,42,72,10,20,38,0.02956986,0.05738617,0.10721448,0.15029245,0.22937448,0.34775818
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-04-05 00:00:00.000000,0.06115311,0.11893797,0.20721485,21,42,73,11,21,39,0.03095002,0.06001150,0.11147818,0.14194955,0.22273089,0.34460049
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-04-06 00:00:00.000000,0.06782708,0.12141307,0.21089286,24,43,75,10,21,41,0.03084263,0.06108867,0.11571431,0.14106534,0.21191333,0.33359235
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-04-07 00:00:00.000000,0.07218387,0.12427424,0.21916113,25,44,77,11,21,42,0.03108101,0.06176341,0.11842992,0.13914488,0.20675357,0.31032256
21071,0,USKentuckyFloyd,Kentucky,Floyd,2021-01-29 22:19:15.543083,2020-04-08 00:00:00.000000,0.07657331,0.12663503,0.22191106,27,45,78,11,22,42,0.03153691,0.06378919,0.12019817,0.12837727,0.20157521,0.28607671
